Name,playerid,WAR21,WAR22
Brandon Lyon,1312,1.1,-0.2
Dan Petry,1010246,2.5,2.1
Tom Griffin,1005054,2.4,0.5
Charlie Kerfeld,1006860,0.3,0.7
Storm Davis,1003080,3.7,4.7
Don Demola,1003197,0.3,0.0
Frank Pastore,1010048,1.5,3.4
Jose Fernandez,11530,1.8,2.1
Larry Christenson,1002215,2.9,2.4
Ron Bryant,1001608,-0.3,1.3
Tim Collins,3164,-0.1,0.8
Jim Maloney,1008039,-0.6,1.5
Sidney Ponson,161,1.2,1.4
Joel Zumaya,4699,2.0,0.2
Jim Clancy,1002255,0.5,3.0
Lance McCullers,1008436,0.1,0.7
Randall Delgado,5985,-0.2,0.6
Larry Demery,1003192,0.0,0.7
Dennis Eckersley,1003660,4.6,4.6
Rick Wise,1014155,3.4,2.0
Ruben Quevedo,705,-0.6,0.6
Britt Burns,1001702,4.5,2.4
Fred Newman,1009542,-0.2,3.4
John Smoltz,115,-0.4,4.0
Chad Billingsley,5842,0.7,2.2
Bill Gullickson,1005136,3.2,4.8
Catfish Hunter,1006199,5.2,1.4
Clay Kirby,1006960,0.6,-0.1
Dennys Reyes,444,1.2,0.9
Doyle Alexander,1000122,1.1,0.8
Mat Latos,3815,0.3,4.3
Mike Witt,1014174,3.8,0.7
Tom Carroll,1002007,-0.3,0.3
Don Carrithers,1001992,0.4,-0.2
Ed Farmer,1003935,-0.2,-0.9
George Stone,1012565,0.3,1.3
Ryan Dempster,517,-0.3,0.7
Jose Rosado,1011192,2.8,2.5
Ken Brett,1001402,2.0,0.2
Nate Cornejo,462,-0.7,0.2
Matt Cain,4732,3.8,4.1
Taijuan Walker,11836,0.3,1.8
Jerry Garvin,1004558,1.9,0.7
Neftali Feliz,18,1.1,2.0
Richard Dotson,1003424,1.5,1.3
Bud Smith,1182,1.0,0.3
Lance McCullers Jr.,14120,2.5,1.9
Wade Blasingame,1001057,0.7,0.6
Marty Bystrom,1001802,0.9,0.7
Bob Kipper,1006956,0.8,-0.5
Victor Cruz,1002845,-0.1,1.4
Bob Miller,1008877,1.2,0.3
Lary Sorensen,1012279,2.3,5.0
Wayne Simpson,1011999,1.7,-0.4
Tyler Skaggs,10190,0.0,1.5
Rick Jones,1006584,1.4,-0.8
Steve Baker,1000467,0.2,-0.2
Matt Keough,1006858,0.3,3.2
Jim Slaton,1012054,0.1,0.0
Andy Benes,1144,0.9,2.9
Huston Street,8258,1.7,2.3
Dan Larson,1007361,1.4,-0.6
Tom Hall,1005262,2.4,4.1
Miguel Asencio,586,0.5,0.6
Vida Blue,1001094,8.8,2.1
Dean Chance,1002130,3.5,4.8
Martin Perez,6902,0.5,1.4
Lloyd Allen,1000152,1.0,-1.0
Mike Norris,1009637,-0.4,-0.3
Dontrelle Willis,1703,3.4,3.1
Jon Matlack,1008246,0.5,4.9
Mike McCormick,1008420,5.1,2.5
Brett Anderson,8223,3.7,2.5
John Candelaria,1001909,2.6,2.5
Andy Hassler,1005480,0.4,1.1
Don Gullett,1005134,1.0,2.5
Bill Stafford,1012375,3.2,2.0
Nelson Briles,1001432,1.0,1.2
Mark Gubicza,1005115,2.7,2.2
Tom Kelley,1006782,0.6,-0.2
Ryan Feierabend,6336,-0.5,0.2
Blue Moon Odom,1009726,1.3,-0.1
Ray Sadecki,1011360,0.7,1.2
Ambiorix Burgos,3246,0.6,-1.2
Tyler Chatwood,4338,0.0,0.2
Felix Hernandez,4772,3.5,3.6
Oliver Perez,1514,0.4,4.5
Bert Blyleven,1001098,5.9,10.8
Wally Bunker,1001652,1.2,0.5
Rich Gossage,1004894,-0.8,0.7
Dave Morehead,1009156,1.9,2.5
Javier Vazquez,801,0.5,2.2
Tom Glavine,90,0.0,2.0
Pete Broberg,1001454,1.3,0.9
Dave Boswell,1001222,3.0,3.9
Rickey Clark,1002304,0.3,0.6
Homer Bailey,8362,0.5,-0.4
Greg Swindell,76,0.9,1.4
Greg Maddux,104,1.5,3.7
Clayton Kershaw,2036,4.1,4.5
Joel Davis,1003061,1.1,0.1
Mike Hampton,430,-0.1,2.3
Trevor Cahill,6249,0.4,2.0
Rich Harden,1772,1.4,4.1
Dave Stieb,1012532,1.6,4.3
Wilson Alvarez,1193,-0.2,-0.6
Larry Dierker,1003288,1.9,7.3
Billy McCool,1008409,1.9,0.6
Lowell Palmer,1009974,-0.3,-0.3
Ramon Martinez,1008193,0.8,4.9
Bob Welch,1013750,2.4,1.0
Jim Abbott,1000012,2.5,2.8
Arthur Rhodes,1097,0.1,2.0
Ismael Valdez,1283,3.8,4.4
Gene Nelson,1009501,0.9,-0.4
Dave McNally,1008655,1.4,2.3
Ken Holtzman,1005989,0.2,2.3
Don Schulze,1011629,1.0,1.3
Henderson Alvarez,5669,0.7,0.3
Tony Pierce,1010333,0.9,0.0
Danny Frisella,1004365,0.6,0.4
Dick Ellsworth,1003754,2.2,2.2
Francisco Rodriguez,1642,0.6,3.7
Alex Fernandez,1003993,2.7,1.8
Mitch Williams,1014025,-0.5,0.6
Matt Anderson,459,0.4,-0.6
Steve Carlton,1001964,0.9,4.4
Jim Kaat,1006660,-0.3,3.8
Dwight Gooden,1004852,4.8,4.5
Steve Trout,1013197,2.1,3.2
Pete Redfern,1010751,1.2,1.1
Mark Buehrle,225,0.6,4.0
Jose Rijo,349,1.7,0.8
Jeremy Bonderman,1667,2.4,3.2
Aaron Sanchez,11490,0.6,0.2
Scott Garrelts,1004546,-0.1,-0.8
Johan Santana,755,0.0,0.0
Ross Grimsley,1005071,1.0,1.4
Mark Prior,301,2.8,7.8
Tommie Sisk,1012018,0.7,-0.2
Tom Gordon,282,2.4,2.5
Rich Hand,1005301,0.6,-0.2
Don Sutton,1012745,4.7,3.0
Don Robinson,1011061,3.4,2.5
CC Sabathia,404,3.6,3.5
Floyd Youmans,1014361,0.8,3.4
Tony Cloninger,1002359,1.1,0.1
Roger Erickson,1003812,3.9,0.4
Tommy John,1006515,1.1,3.0
Milt Pappas,1009989,3.0,1.4
Phil Hughes,7450,1.0,0.4
Mark Fidrych,1004023,4.7,2.7
Jerry Reuss,1010853,2.0,1.4
Manny Sarmiento,1011450,-0.1,-0.8
Chris Tillman,5279,-0.2,-0.3
Luis Severino,15890,0.7,0.6
Don Stanhouse,1012401,0.0,0.2
Brandon McCarthy,4662,0.5,0.0
Brad Havens,1005507,1.1,1.3
John Henry Johnson,1006472,1.3,0.5
Gary Nolan,1009616,1.7,3.2
Johnny Ruffin,1011295,0.2,0.2
Dave Rozema,1011273,3.1,0.8
Scott Scudder,1011699,-0.3,-0.2
Jamey Wright,715,1.0,0.6
Madison Bumgarner,5524,4.3,2.6
Larry Bearnarth,1000723,0.1,-0.7
Mike Nagy,1009439,2.3,0.5
Roger Clemens,815,3.4,2.3
Gary Serum,1011755,2.8,0.0
Edwin Nunez,1009658,0.7,0.1
Fernando Valenzuela,1013327,6.1,4.2
Steve Avery,1706,2.6,3.5
Rick Porcello,2717,1.9,2.3
Jerome Williams,1137,2.0,1.0
Jerry Walker,1013523,-0.2,-0.4
Al Santorini,1011444,2.0,-0.6
Carlos Zambrano,305,1.1,4.7
Scott Kazmir,4897,3.6,3.6
Ryan Wagner,1770,-0.2,0.3
Chris Volstad,9901,1.5,0.0
Denny McLain,1008603,4.0,0.9
Byung-Hyun Kim,61,1.0,1.4
Brett Myers,962,-0.1,2.3
Salomon Torres,1628,-0.1,0.2
Cal Koonce,1007101,1.6,0.1
George Lauzerique,1007385,-0.8,-0.1
Marcelino Lopez,1007757,2.8,1.7
Eduardo Rodriguez,1011102,0.2,0.3
Frank Tanana,1012818,7.2,6.0
Sean O'Sullivan,9137,-0.3,-0.2
Jacob Turner,10185,0.2,0.3
Bob Moose,1009134,3.8,3.2
Jake Peavy,1051,1.7,0.8
Jon Garland,232,0.3,2.2
Pat Mahomes,291,0.7,-0.3
Jack Fisher,1004090,2.5,2.5
Steve Dunning,1003572,0.2,0.2
Terry Forster,1004236,3.1,3.0
John Roper,1011189,0.5,0.1
Pete Smith,1012191,0.2,1.9
Jimmy Gobble,1791,0.6,0.8
Nolan Ryan,1011348,0.6,1.7
Jerry Stephenson,1012494,0.3,0.5
Neil Allen,1000154,1.3,0.8
Bruce Kison,1006978,1.0,1.0
Sam McDowell,1008476,3.7,8.7
Jim Merritt,1008789,0.9,2.7
Bret Saberhagen,1011355,6.2,3.5
Jordan Lyles,7593,0.8,0.4
Michael Wacha,14078,1.2,2.0
Jair Jurrjens,5556,0.2,3.3
Scott Sanderson,1011422,1.3,2.5
Kelvim Escobar,1298,0.8,1.9
Nathan Eovaldi,9132,0.2,1.2
Pete Falcone,1003910,0.9,2.5
David Palmer,1009970,1.5,1.6
Bill Travers,1013161,-0.5,0.0
Juan Nieves,1009594,2.5,2.5
Ray Culp,1002869,2.1,0.4
Jaret Wright,415,1.3,2.1
Mark Lemongello,1007521,1.8,0.3
Gary Ross,1011230,0.2,-0.6
Pedro Martinez,200,1.7,3.4
Kyle Davies,3642,0.7,-0.2
Jimmy Freeman,1004321,-0.1,-0.5
Balor Moore,1009090,2.9,1.6
Rob Gardner,1004531,-0.2,0.5
Bob Wolcott,1014184,0.2,0.9
Tom Underwood,1013281,3.4,2.2
Moose Haas,1005172,1.8,0.3
Jim Nash,1009458,3.0,3.0
Joe Coleman,1002428,2.5,2.8
