Name,playerid,WAR21,WAR22,WAR23,WAR24
Dan Petry,1010246,2.5,2.1,4.4,1.3
Tom Griffin,1005054,2.4,0.5,0.0,1.0
Storm Davis,1003080,3.7,4.7,3.0,2.6
Frank Pastore,1010048,1.5,3.4,1.9,2.4
Larry Christenson,1002215,2.9,2.4,2.7,4.6
Ron Bryant,1001608,-0.3,1.3,1.8,1.6
Jim Maloney,1008039,-0.6,1.5,6.4,4.9
Sidney Ponson,161,1.2,1.4,3.2,1.3
Jim Clancy,1002255,0.5,3.0,0.4,3.2
Lance McCullers,1008436,0.1,0.7,1.7,-0.2
Randall Delgado,5985,-0.2,0.6,-0.1,0.5
Larry Demery,1003192,0.0,0.7,1.1,-0.8
Dennis Eckersley,1003660,4.6,4.6,3.9,4.4
Rick Wise,1014155,3.4,2.0,3.7,3.8
Ruben Quevedo,705,-0.6,0.6,-0.3,-0.6
Britt Burns,1001702,4.5,2.4,3.2,3.1
Fred Newman,1009542,-0.2,3.4,3.8,0.9
John Smoltz,115,-0.4,4.0,3.6,3.7
Chad Billingsley,5842,0.7,2.2,3.9,2.7
Bill Gullickson,1005136,3.2,4.8,2.8,3.4
Catfish Hunter,1006199,5.2,1.4,1.3,3.1
Clay Kirby,1006960,0.6,-0.1,4.4,1.6
Dennys Reyes,444,1.2,0.9,0.0,0.5
Doyle Alexander,1000122,1.1,0.8,0.6,1.2
Mat Latos,3815,0.3,4.3,4.1,2.7
Mike Witt,1014174,3.8,0.7,5.9,4.7
Don Carrithers,1001992,0.4,-0.2,0.4,0.2
Ed Farmer,1003935,-0.2,-0.9,-0.2,-0.3
George Stone,1012565,0.3,1.3,2.8,2.7
Ryan Dempster,517,-0.3,0.7,3.4,2.2
Jose Rosado,1011192,2.8,2.5,2.2,3.7
Ken Brett,1001402,2.0,0.2,0.7,2.6
Matt Cain,4732,3.8,4.1,3.7,3.3
Neftali Feliz,18,1.1,2.0,1.0,0.6
Richard Dotson,1003424,1.5,1.3,2.4,2.9
Wade Blasingame,1001057,0.7,0.6,0.1,0.0
Marty Bystrom,1001802,0.9,0.7,1.4,2.2
Bob Kipper,1006956,0.8,-0.5,-0.4,0.5
Bob Miller,1008877,1.2,0.3,0.7,2.7
Lary Sorensen,1012279,2.3,5.0,1.9,2.4
Wayne Simpson,1011999,1.7,-0.4,-0.1,0.9
Matt Keough,1006858,0.3,3.2,1.6,2.2
Jim Slaton,1012054,0.1,0.0,2.4,2.1
Andy Benes,1144,0.9,2.9,3.6,4.7
Huston Street,8258,1.7,2.3,1.4,1.1
Tom Hall,1005262,2.4,4.1,2.1,1.1
Vida Blue,1001094,8.8,2.1,2.1,5.5
Dean Chance,1002130,3.5,4.8,7.6,3.2
Martin Perez,6902,0.5,1.4,0.7,1.7
Mike Norris,1009637,-0.4,-0.3,0.2,1.0
Dontrelle Willis,1703,3.4,3.1,6.5,3.0
Jon Matlack,1008246,0.5,4.9,4.7,7.5
Mike McCormick,1008420,5.1,2.5,-1.0,-0.1
Brett Anderson,8223,3.7,2.5,1.0,0.9
John Candelaria,1001909,2.6,2.5,2.9,2.7
Andy Hassler,1005480,0.4,1.1,1.1,1.5
Don Gullett,1005134,1.0,2.5,4.2,2.4
Bill Stafford,1012375,3.2,2.0,-0.8,0.4
Nelson Briles,1001432,1.0,1.2,2.1,2.4
Mark Gubicza,1005115,2.7,2.2,3.0,3.8
Blue Moon Odom,1009726,1.3,-0.1,2.7,2.9
Ray Sadecki,1011360,0.7,1.2,3.7,1.2
Felix Hernandez,4772,3.5,3.6,7.0,6.8
Oliver Perez,1514,0.4,4.5,-0.8,0.1
Bert Blyleven,1001098,5.9,10.8,8.5,6.2
Wally Bunker,1001652,1.2,0.5,1.3,2.3
Rich Gossage,1004894,-0.8,0.7,4.0,2.0
Javier Vazquez,801,0.5,2.2,5.2,6.1
Tom Glavine,90,0.0,2.0,2.0,2.9
Dave Boswell,1001222,3.0,3.9,1.2,5.2
Homer Bailey,8362,0.5,-0.4,1.1,1.6
Greg Swindell,76,0.9,1.4,6.3,3.3
Greg Maddux,104,1.5,3.7,3.7,5.1
Clayton Kershaw,2036,4.1,4.5,7.4,6.2
Mike Hampton,430,-0.1,2.3,2.4,3.1
Trevor Cahill,6249,0.4,2.0,2.1,2.4
Rich Harden,1772,1.4,4.1,3.6,0.7
Dave Stieb,1012532,1.6,4.3,2.9,4.8
Wilson Alvarez,1193,-0.2,-0.6,2.7,2.8
Larry Dierker,1003288,1.9,7.3,3.6,3.3
Billy McCool,1008409,1.9,0.6,-0.7,-0.6
Ramon Martinez,1008193,0.8,4.9,2.9,1.1
Bob Welch,1013750,2.4,1.0,2.9,1.9
Jim Abbott,1000012,2.5,2.8,5.5,4.4
Arthur Rhodes,1097,0.1,2.0,-0.4,0.5
Ismael Valdez,1283,3.8,4.4,3.9,2.2
Gene Nelson,1009501,0.9,-0.4,0.6,0.0
Dave McNally,1008655,1.4,2.3,3.0,0.7
Ken Holtzman,1005989,0.2,2.3,5.1,5.8
Henderson Alvarez,5669,0.7,0.3,2.0,2.5
Dick Ellsworth,1003754,2.2,2.2,6.6,1.7
