Name,playerid,WAR22,WAR23,WAR24,WAR25,WAR26,WAR27,WAR28,WAR29
Freddy Garcia,1077,3.8,1.0,5.3,3.4,1.6,4.8,4.0,3.1
Dan Petry,1010246,2.1,4.4,1.3,4.2,2.9,0.4,0.1,0.3
Mel Stottlemyre,1012579,1.8,4.5,3.6,2.5,2.9,3.7,3.1,4.4
Brian Anderson,44,1.3,-0.3,0.4,0.4,1.0,1.7,2.0,0.3
Tom Griffin,1005054,0.5,0.0,1.0,0.6,2.1,-0.4,0.0,-0.6
Storm Davis,1003080,4.7,3.0,2.6,1.1,2.1,0.5,1.4,0.1
Larry Christenson,1002215,2.4,2.7,4.6,1.3,1.2,1.7,4.2,1.3
Kent Mercker,439,-0.2,0.7,0.0,1.1,1.6,1.5,-0.3,0.9
Claude Osteen,1009878,2.1,2.3,4.4,3.5,4.8,3.8,1.9,5.5
Tom Seaver,1011708,3.3,5.8,4.4,8.3,9.1,5.6,7.3,5.1
Jim Maloney,1008039,1.5,6.4,4.9,6.5,4.9,4.5,2.9,2.3
Sidney Ponson,161,1.4,3.2,1.3,1.7,4.4,3.0,1.0,0.5
Jim Clancy,1002255,3.0,0.4,3.2,0.4,4.3,2.8,1.8,1.6
Danny Jackson,1006295,0.7,4.6,2.9,4.3,5.2,0.9,1.7,-0.5
Dennis Eckersley,1003660,4.6,3.9,4.4,2.9,3.2,3.1,0.8,3.2
Rick Wise,1014155,2.0,3.7,3.8,4.6,4.8,5.1,1.0,2.7
Jim McGlothlin,1008532,0.3,3.1,1.7,2.1,1.4,1.6,0.4,-1.1
John Smoltz,115,4.0,3.6,3.7,5.0,3.9,2.1,4.6,8.4
Catfish Hunter,1006199,1.4,1.3,3.1,3.2,4.5,0.5,6.3,5.7
Julian Tavarez,541,1.6,0.9,0.0,0.3,-0.3,1.5,2.2,1.0
Doyle Alexander,1000122,0.8,0.6,1.2,1.3,1.7,1.4,1.2,2.9
Juan Cruz,273,0.9,0.1,0.7,0.5,-0.2,1.6,0.6,0.5
Ben Sheets,710,1.3,3.8,3.8,8.0,3.7,4.0,2.5,4.7
Mike Witt,1014174,0.7,5.9,4.7,6.7,4.0,4.4,2.7,1.4
Dave LaRoche,1007354,0.0,1.0,0.1,-0.3,-0.1,1.3,2.6,0.3
Sparky Lyle,1007859,0.6,0.8,1.3,0.6,0.2,1.5,1.5,2.0
Andrew Miller,6785,0.3,1.9,0.7,-0.4,-0.1,0.5,0.3,2.2
Shane Rawley,1010719,0.9,1.9,1.6,0.9,3.2,3.2,1.6,1.6
Kevin Appier,3,3.2,4.7,4.8,6.8,4.0,5.3,6.3,5.2
Ben McDonald,1008454,1.8,1.3,2.0,4.5,3.0,1.0,4.2,3.0
Steve Barber,1000530,1.7,3.5,2.3,5.4,1.1,2.9,2.6,0.6
Kirk Rueter,1128,1.4,1.0,1.0,0.9,3.0,0.9,1.4,1.2
Brett Cecil,2660,0.3,2.5,0.5,0.1,0.9,1.2,1.3,0.4
Jose Lima,475,0.9,0.6,0.4,2.7,4.7,-0.1,-0.2,0.0
Joel Pineiro,1094,2.0,2.5,3.5,1.8,1.8,0.4,0.4,0.6
Ken Brett,1001402,0.2,0.7,2.6,4.0,0.7,3.3,2.0,-0.3
Matt Cain,4732,4.1,3.7,3.3,4.0,4.5,3.2,1.2,-0.2
John Smiley,1012084,-0.1,3.5,2.2,1.9,3.4,5.0,0.8,2.6
Richard Dotson,1003424,1.3,2.4,2.9,2.0,0.8,2.1,2.4,-0.4
Tommy Hunter,1157,1.7,1.0,0.5,-0.4,0.7,0.7,0.3,0.6
Mike Torrez,1013134,0.4,1.6,-0.4,2.2,1.0,2.4,2.4,3.3
Edinson Volquez,3990,-0.2,0.5,3.6,0.2,0.7,-0.3,1.4,0.7
Bob Miller,1008877,0.3,0.7,2.7,1.1,0.4,0.3,-1.0,0.7
Lary Sorensen,1012279,5.0,1.9,2.4,3.0,2.0,2.2,0.9,0.1
Al Downing,1003450,4.7,4.2,3.0,1.8,3.9,0.2,1.5,0.5
Jeff Suppan,633,1.5,0.5,2.8,1.9,2.5,1.3,2.7,1.4
Jim Slaton,1012054,0.0,2.4,2.1,0.8,4.1,1.5,1.3,3.5
Andy Benes,1144,2.9,3.6,4.7,3.5,4.2,3.3,2.4,5.1
Huston Street,8258,2.3,1.4,1.1,1.5,0.8,0.4,1.1,-0.8
Burt Hooton,1006005,4.1,5.3,2.4,3.9,3.1,5.2,3.3,4.4
Felix Heredia,1304,0.4,0.7,0.3,0.4,-0.2,0.0,-0.1,-0.1
John Danks,6329,0.6,5.0,2.7,4.5,2.9,0.3,0.2,0.6
Mike Jackson,732,0.0,0.7,0.6,0.1,1.5,0.4,0.9,1.1
Vida Blue,1001094,2.1,2.1,5.5,5.1,7.6,4.9,5.6,1.1
Dean Chance,1002130,4.8,7.6,3.2,2.9,6.9,7.7,1.3,1.7
Dan Spillner,1012342,1.0,1.5,-0.4,-0.5,1.3,1.4,1.4,1.6
Jon Matlack,1008246,4.9,4.7,7.5,4.4,4.4,2.6,6.8,1.2
