Name,playerid,WAR22,WAR23,WAR24,WAR25,WAR26,WAR27,WAR28,WAR29,WAR30,WAR31,WAR32,WAR33,WAR34
Claude Osteen,1009878,2.1,2.3,4.4,3.5,4.8,3.8,1.9,5.5,3.1,1.6,2.4,2.1,1.2
Tom Seaver,1011708,3.3,5.8,4.4,8.3,9.1,5.6,7.3,5.1,7.8,6.8,6.2,4.4,3.9
Jim Clancy,1002255,3.0,0.4,3.2,0.4,4.3,2.8,1.8,1.6,3.1,5.0,1.8,0.4,0.5
Danny Jackson,1006295,0.7,4.6,2.9,4.3,5.2,0.9,1.7,-0.5,2.8,3.2,3.9,0.3,0.4
Dennis Eckersley,1003660,4.6,3.9,4.4,2.9,3.2,3.1,0.8,3.2,4.3,3.7,3.4,2.3,1.7
Rick Wise,1014155,2.0,3.7,3.8,4.6,4.8,5.1,1.0,2.7,3.1,1.6,2.5,3.2,1.1
Julian Tavarez,541,1.6,0.9,0.0,0.3,-0.3,1.5,2.2,1.0,1.1,1.3,0.3,0.0,0.8
Doyle Alexander,1000122,0.8,0.6,1.2,1.3,1.7,1.4,1.2,2.9,1.6,-0.3,1.0,5.0,4.0
Dave LaRoche,1007354,0.0,1.0,0.1,-0.3,-0.1,1.3,2.6,0.3,0.6,-0.2,1.1,0.2,0.7
Sparky Lyle,1007859,0.6,0.8,1.3,0.6,0.2,1.5,1.5,2.0,2.0,0.8,2.5,0.5,0.6
Kirk Rueter,1128,1.4,1.0,1.0,0.9,3.0,0.9,1.4,1.2,0.8,1.3,0.7,0.7,0.0
Mike Torrez,1013134,0.4,1.6,-0.4,2.2,1.0,2.4,2.4,3.3,2.3,3.3,3.3,2.6,1.2
Bob Miller,1008877,0.3,0.7,2.7,1.1,0.4,0.3,-1.0,0.7,1.7,0.0,0.8,-0.3,-0.2
Al Downing,1003450,4.7,4.2,3.0,1.8,3.9,0.2,1.5,0.5,3.1,2.2,1.9,1.1,0.3
Jeff Suppan,633,1.5,0.5,2.8,1.9,2.5,1.3,2.7,1.4,1.8,1.9,2.6,0.0,-0.4
Andy Benes,1144,2.9,3.6,4.7,3.5,4.2,3.3,2.4,5.1,3.3,1.3,1.6,-1.5,0.7
Burt Hooton,1006005,4.1,5.3,2.4,3.9,3.1,5.2,3.3,4.4,1.8,3.3,1.8,0.3,0.6
Mike Jackson,732,0.0,0.7,0.6,0.1,1.5,0.4,0.9,1.1,0.3,0.7,1.7,1.9,0.3
John Candelaria,1001909,2.5,2.9,2.7,2.2,4.0,0.4,3.7,4.5,3.3,1.8,3.0,2.4,3.4
Livan Hernandez,1116,1.9,0.4,2.9,4.5,2.3,2.7,4.4,4.4,2.4,2.0,0.2,1.0,1.8
Kevin Millwood,106,1.3,3.4,5.5,4.0,0.9,4.6,4.7,2.9,3.4,4.3,2.1,3.2,2.1
Kevin Gross,1005088,0.5,1.3,3.6,1.5,0.8,2.4,1.6,2.4,0.9,3.4,3.2,3.4,0.9
Nelson Briles,1001432,1.2,2.1,2.4,3.4,0.7,1.2,3.5,2.7,1.3,0.4,2.6,0.4,0.1
Ray Sadecki,1011360,1.2,3.7,1.2,-0.3,4.0,4.6,0.7,1.0,3.2,0.4,1.3,0.8,0.6
Kyle Lohse,739,0.3,1.2,2.8,1.0,1.6,1.5,3.0,2.8,0.7,0.5,2.2,3.3,1.7
Rich Gossage,1004894,0.7,4.0,2.0,4.2,2.4,1.0,3.2,1.4,3.6,3.5,1.5,2.6,0.7
Javier Vazquez,801,2.2,5.2,6.1,4.6,6.0,2.0,3.5,4.7,4.8,4.9,5.8,0.1,3.4
Bill Lee,1007448,-0.2,0.5,1.1,0.3,5.2,3.7,3.5,-0.2,1.2,0.7,1.8,0.3,0.8
Tom Glavine,90,2.0,2.0,2.9,5.4,4.6,3.3,3.6,4.3,5.3,3.6,4.8,4.2,4.7
Dennis Martinez,1008161,2.3,3.8,4.3,-0.2,2.8,1.9,0.7,0.1,0.0,1.0,2.8,2.2,3.1
Jason Marquis,105,1.2,0.3,0.0,1.8,0.7,-0.5,1.4,1.7,3.2,-0.5,1.0,-0.2,-1.3
Frank Viola,1013435,0.9,0.1,3.5,3.9,2.9,5.4,6.3,5.0,5.8,2.5,3.7,2.7,0.3
Greg Swindell,76,1.4,6.3,3.3,2.7,5.9,4.6,2.0,1.2,1.0,-0.7,1.4,0.0,0.6
Greg Maddux,104,3.7,3.7,5.1,5.8,7.0,7.5,7.4,7.9,7.8,8.0,7.5,5.6,7.2
Barry Zito,944,2.1,4.8,4.5,4.4,3.1,3.0,2.2,1.6,1.3,2.0,1.8,-0.6,1.0
Dave Stieb,1012532,4.3,2.9,4.8,5.1,5.6,4.5,0.8,2.5,3.1,2.7,4.3,0.8,0.4
