Name,playerid,WAR25,WAR26,WAR27,WAR28,WAR29,WAR30,WAR31,WAR32,WAR33,WAR34,WAR35,WAR36,WAR37,WAR38
John Franco,874,1.4,1.5,1.1,1.3,1.3,1.3,0.5,-0.5,1.0,0.8,1.2,1.3,0.9,0.9
Jerry Koosman,1007103,3.6,5.4,2.3,2.2,2.9,4.4,5.4,3.1,4.9,4.6,3.2,5.5,3.8,2.0
Curt Schilling,73,4.2,4.5,0.8,2.8,4.7,8.2,8.3,3.3,4.6,7.2,9.3,5.6,6.5,1.7
Tom Seaver,1011708,8.3,9.1,5.6,7.3,5.1,7.8,6.8,6.2,4.4,3.9,0.4,1.8,0.3,2.4
Dennis Eckersley,1003660,2.9,3.2,3.1,0.8,3.2,4.3,3.7,3.4,2.3,1.7,3.2,1.7,3.1,2.0
Gaylord Perry,1010210,3.6,2.3,7.3,5.6,5.5,5.9,6.3,4.7,8.1,5.7,6.3,7.0,5.1,5.2
Mike Stanton,849,0.1,0.3,0.3,-0.1,0.7,1.4,0.1,1.5,1.6,1.7,1.2,0.0,0.6,0.3
Doyle Alexander,1000122,1.3,1.7,1.4,1.2,2.9,1.6,-0.3,1.0,5.0,4.0,3.9,3.2,2.6,0.9
Grant Jackson,1006298,0.6,4.3,1.5,1.1,0.9,0.7,0.7,0.7,0.9,-0.5,0.4,-0.7,0.6,0.0
Lindy McDaniel,1008441,0.7,1.3,0.6,1.6,0.5,1.9,0.4,0.1,1.3,1.8,-1.0,0.3,1.6,1.3
Kenny Rogers,1277,1.3,-0.5,1.1,3.6,2.5,3.0,2.2,0.6,4.5,3.5,4.3,0.8,2.7,2.5
Charlie Hough,1006050,0.3,-0.5,-0.3,-0.4,0.5,0.0,0.0,0.2,1.4,3.1,3.2,3.1,3.6,1.8
Danny Darwin,1002996,1.7,1.0,3.2,3.7,1.3,3.2,2.6,1.0,1.6,2.8,-0.1,3.1,2.9,0.8
Todd Jones,436,-0.1,1.4,0.4,-0.4,1.8,0.3,0.8,1.4,0.1,0.9,0.0,0.9,2.4,1.0
