Name,playerid,WAR25,WAR26,WAR27,WAR28,WAR29,WAR30,WAR31,WAR32,WAR33,WAR34,WAR35,WAR36,WAR37,WAR38,WAR39,WAR40,WAR41,WAR42,WAR43
Dennis Eckersley,1003660,2.9,3.2,3.1,0.8,3.2,4.3,3.7,3.4,2.3,1.7,3.2,1.7,3.1,2.0,0.9,0.9,0.7,0.3,0.0
Gaylord Perry,1010210,3.6,2.3,7.3,5.6,5.5,5.9,6.3,4.7,8.1,5.7,6.3,7.0,5.1,5.2,5.9,4.3,3.7,2.8,3.3
Kenny Rogers,1277,1.3,-0.5,1.1,3.6,2.5,3.0,2.2,0.6,4.5,3.5,4.3,0.8,2.7,2.5,3.2,3.1,2.1,0.4,0.9
Charlie Hough,1006050,0.3,-0.5,-0.3,-0.4,0.5,0.0,0.0,0.2,1.4,3.1,3.2,3.1,3.6,1.8,3.7,2.7,-0.8,0.2,0.8
David Wells,855,-0.9,1.8,3.8,2.5,0.4,3.0,2.3,3.7,3.4,4.3,4.4,3.9,6.2,1.7,4.5,3.8,3.1,3.0,0.9
Dennis Martinez,1008161,-0.2,2.8,1.9,0.7,0.1,0.0,1.0,2.8,2.2,3.1,4.6,4.2,3.8,1.9,3.6,3.3,1.5,-0.4,1.1
Jim Kaat,1006660,4.7,4.3,6.4,6.4,3.9,3.5,3.2,5.9,2.6,2.7,5.2,5.1,2.9,1.0,1.7,0.5,1.1,-0.1,-0.1
Don Sutton,1012745,1.9,7.1,6.8,6.0,4.7,5.4,3.3,3.8,2.7,3.7,3.0,3.9,4.6,3.4,3.3,3.0,2.2,1.1,0.5
Roger Clemens,815,9.2,5.1,8.2,8.5,7.6,3.7,4.2,2.4,6.8,10.7,8.2,3.2,3.6,5.6,4.3,4.5,5.7,6.0,3.4
Nolan Ryan,1011348,5.4,8.7,6.8,2.4,5.3,6.6,5.0,5.1,4.5,3.8,3.5,3.4,4.0,4.4,3.2,6.4,3.4,7.0,5.2
Randy Johnson,60,1.6,2.0,2.6,3.4,7.0,5.2,9.5,1.6,7.0,7.6,9.5,9.6,10.4,8.1,2.4,9.6,4.1,3.2,1.6
