Name,playerid,WAR27,WAR28,WAR29,WAR30,WAR31,WAR32
Mike Cuellar,1002853,0.4,0.8,6.1,5.1,3.3,6.6
Dan Petry,1010246,0.4,0.1,0.3,-0.6,0.8,-0.8
Mel Stottlemyre,1012579,3.7,3.1,4.4,2.4,4.1,1.3
Brian Anderson,44,1.7,2.0,0.3,1.6,1.9,0.2
Jim Brower,313,0.0,0.4,0.3,0.6,0.7,-0.8
Chad Qualls,2170,0.2,0.8,1.8,0.9,0.0,0.0
Tom Griffin,1005054,-0.4,0.0,-0.6,-0.5,0.2,-0.1
Jason Schmidt,1131,0.7,3.0,4.5,6.6,6.4,3.0
Steve Stone,1012573,2.4,0.9,1.7,2.2,0.3,2.9
Storm Davis,1003080,0.5,1.4,0.1,0.8,0.8,0.3
Andy McGaffigan,1008497,1.1,2.7,1.9,2.0,0.8,0.2
Vern Ruhle,1011297,1.3,0.4,2.2,1.2,1.2,-0.7
Bobby Jones,1039,1.8,1.8,1.3,1.0,0.8,0.4
John Franco,874,1.1,1.3,1.3,1.3,0.5,-0.5
Doug Bair,1000439,-0.7,2.0,0.6,0.1,0.1,0.3
Charlie Leibrandt,1007492,1.9,4.1,3.7,4.4,3.4,1.2
Francisco Cordero,1243,1.2,2.1,2.7,1.4,1.3,2.4
Jerry Koosman,1007103,2.3,2.2,2.9,4.4,5.4,3.1
Curt Schilling,73,0.8,2.8,4.7,8.2,8.3,3.3
Kent Mercker,439,1.5,-0.3,0.9,2.3,1.1,-0.6
Daisuke Matsuzaka,7775,2.7,0.3,2.1,0.2,-0.4,0.4
Sergio Romo,9817,1.2,2.0,1.0,1.0,-0.2,1.8
Al Hrabosky,1006116,-0.6,0.8,0.3,-0.7,0.3,-0.4
Claude Osteen,1009878,3.8,1.9,5.5,3.1,1.6,2.4
Tom Seaver,1011708,5.6,7.3,5.1,7.8,6.8,6.2
Mike Stanton,1012421,0.7,0.3,1.8,1.1,1.4,-0.4
Jim Kern,1006868,3.6,2.4,2.0,4.7,-0.3,0.1
Bob Shaw,1011819,1.7,2.2,3.3,1.7,0.5,4.3
Sidney Ponson,161,3.0,1.0,0.5,-0.2,0.9,0.4
Jim Clancy,1002255,2.8,1.8,1.6,3.1,5.0,1.8
Ron Guidry,1005124,9.1,6.2,3.9,2.8,4.0,3.9
Mike Magnante,929,0.5,0.4,0.2,0.1,0.3,1.1
Craig Lefferts,1007476,0.3,0.8,-0.2,0.6,0.6,0.5
Al Fitzmorris,1004119,1.4,2.3,2.6,3.7,1.2,-0.3
Danny Jackson,1006295,0.9,1.7,-0.5,2.8,3.2,3.9
Mike Proly,1010545,0.8,0.5,0.9,-0.3,0.2,0.0
Miguel Batista,46,0.7,2.0,-0.9,1.3,3.1,4.3
Dennis Eckersley,1003660,3.1,0.8,3.2,4.3,3.7,3.4
Gaylord Perry,1010210,7.3,5.6,5.5,5.9,6.3,4.7
Rick Wise,1014155,5.1,1.0,2.7,3.1,1.6,2.5
Mike Stanton,849,0.3,-0.1,0.7,1.4,0.1,1.5
Kelly Downs,1003453,2.9,0.9,1.0,-0.4,0.6,0.0
Al Jackson,1006288,1.3,2.0,2.3,2.9,0.7,1.4
Jon Lieber,287,3.2,2.6,4.5,4.4,4.4,3.1
Don Drysdale,1003516,6.9,3.4,4.1,4.3,3.0,-0.2
Ed Whitson,1013911,1.1,-0.1,2.6,2.0,0.2,1.1
Jason Isringhausen,1158,0.9,1.8,2.5,0.9,1.7,0.7
John Smoltz,115,2.1,4.6,8.4,6.7,5.2,5.4
Dick Tidrow,1013056,2.4,0.1,1.5,0.5,2.2,0.7
Mike Morgan,67,3.1,0.5,2.5,2.1,4.5,3.2
Jeremy Affeldt,583,-0.5,0.4,0.4,0.5,0.1,0.0
Jason Frasor,1906,0.6,0.2,1.0,-0.1,1.4,0.9
Catfish Hunter,1006199,0.5,6.3,5.7,3.9,-0.8,0.8
Julian Tavarez,541,1.5,2.2,1.0,1.1,1.3,0.3
Al Leiter,883,0.9,2.5,3.0,3.4,1.3,4.8
Doyle Alexander,1000122,1.4,1.2,2.9,1.6,-0.3,1.0
Larry McWilliams,1008700,0.9,2.6,4.3,2.9,0.1,0.1
Ron Taylor,1012885,0.0,0.2,0.9,0.5,0.0,0.4
Aaron Heilman,1751,1.7,0.9,-0.4,0.3,-0.1,-0.4
Grant Jackson,1006298,1.5,1.1,0.9,0.7,0.7,0.7
Troy Percival,29,1.1,1.7,0.6,0.2,2.2,1.6
Armando Reynoso,72,2.0,0.3,0.7,1.4,1.0,0.7
Lindy McDaniel,1008441,0.6,1.6,0.5,1.9,0.4,0.1
Juan Acevedo,458,-0.2,1.3,-0.3,0.1,0.1,0.9
Woodie Fryman,1004381,0.3,2.9,3.0,2.4,3.1,2.7
Dave LaRoche,1007354,1.3,2.6,0.3,0.6,-0.2,1.1
Josh Fogg,989,1.7,0.5,1.7,1.3,-0.6,-0.1
Kenny Rogers,1277,1.1,3.6,2.5,3.0,2.2,0.6
Gary Lavelle,1007389,0.1,3.0,0.9,1.3,0.9,0.7
Sparky Lyle,1007859,1.5,1.5,2.0,2.0,0.8,2.5
Shane Rawley,1010719,3.2,1.6,1.6,1.7,2.4,-0.7
Scot Shields,35,2.4,2.1,2.2,1.6,0.8,0.6
Luis Vizcaino,714,1.5,-0.5,0.4,0.3,0.6,0.3
Charlie Hough,1006050,-0.3,-0.4,0.5,0.0,0.0,0.2
Michael Wuertz,1856,0.4,0.7,0.1,2.3,-0.1,-0.5
