Name,playerid,WAR28,WAR29,WAR30,WAR31,WAR32,WAR33,WAR34,WAR35,WAR36
Mike Cuellar,1002853,0.8,6.1,5.1,3.3,6.6,4.8,2.8,2.4,2.5
Chad Qualls,2170,0.8,1.8,0.9,0.0,0.0,-0.4,0.5,0.5,0.4
John Franco,874,1.3,1.3,1.3,0.5,-0.5,1.0,0.8,1.2,1.3
Doug Bair,1000439,2.0,0.6,0.1,0.1,0.3,-0.2,0.3,0.4,0.4
Charlie Leibrandt,1007492,4.1,3.7,4.4,3.4,1.2,3.2,3.6,3.6,2.2
Francisco Cordero,1243,2.1,2.7,1.4,1.3,2.4,0.7,1.3,0.3,0.0
Jerry Koosman,1007103,2.2,2.9,4.4,5.4,3.1,4.9,4.6,3.2,5.5
Curt Schilling,73,2.8,4.7,8.2,8.3,3.3,4.6,7.2,9.3,5.6
Tom Seaver,1011708,7.3,5.1,7.8,6.8,6.2,4.4,3.9,0.4,1.8
Ron Guidry,1005124,6.2,3.9,2.8,4.0,3.9,2.8,4.9,3.0,2.2
Mike Magnante,929,0.4,0.2,0.1,0.3,1.1,0.3,1.0,0.1,0.0
Brad Ziegler,7293,0.5,1.1,0.1,1.0,0.6,0.5,0.0,0.7,1.3
Craig Lefferts,1007476,0.8,-0.2,0.6,0.6,0.5,1.4,2.6,-0.3,-0.1
Miguel Batista,46,2.0,-0.9,1.3,3.1,4.3,1.6,0.5,2.9,2.2
Dennis Eckersley,1003660,0.8,3.2,4.3,3.7,3.4,2.3,1.7,3.2,1.7
Gaylord Perry,1010210,5.6,5.5,5.9,6.3,4.7,8.1,5.7,6.3,7.0
Mike Stanton,849,-0.1,0.7,1.4,0.1,1.5,1.6,1.7,1.2,0.0
Ed Whitson,1013911,-0.1,2.6,2.0,0.2,1.1,3.0,2.7,5.2,0.3
Dick Tidrow,1013056,0.1,1.5,0.5,2.2,0.7,0.4,-0.1,0.9,0.0
Mike Morgan,67,0.5,2.5,2.1,4.5,3.2,2.8,0.3,1.5,1.0
Jeremy Affeldt,583,0.4,0.4,0.5,0.1,0.0,0.8,-0.5,0.4,-0.8
Jason Frasor,1906,0.2,1.0,-0.1,1.4,0.9,0.1,0.2,0.7,0.4
Julian Tavarez,541,2.2,1.0,1.1,1.3,0.3,0.0,0.8,0.1,0.1
Al Leiter,883,2.5,3.0,3.4,1.3,4.8,3.3,4.8,3.8,3.2
Doyle Alexander,1000122,1.2,2.9,1.6,-0.3,1.0,5.0,4.0,3.9,3.2
Grant Jackson,1006298,1.1,0.9,0.7,0.7,0.7,0.9,-0.5,0.4,-0.7
Kent Tekulve,1012905,0.3,1.7,1.3,1.4,2.1,0.0,1.2,0.6,1.9
Lindy McDaniel,1008441,1.6,0.5,1.9,0.4,0.1,1.3,1.8,-1.0,0.3
Woodie Fryman,1004381,2.9,3.0,2.4,3.1,2.7,1.7,0.9,2.3,2.6
Kenny Rogers,1277,3.6,2.5,3.0,2.2,0.6,4.5,3.5,4.3,0.8
Gary Lavelle,1007389,3.0,0.9,1.3,0.9,0.7,1.3,2.1,0.7,0.8
Sparky Lyle,1007859,1.5,2.0,2.0,0.8,2.5,0.5,0.6,0.1,-0.2
Charlie Hough,1006050,-0.4,0.5,0.0,0.0,0.2,1.4,3.1,3.2,3.1
Jim Palmer,1009973,1.9,6.9,4.2,5.5,4.4,2.6,1.8,0.2,3.0
Hideo Nomo,666,3.4,1.4,2.1,2.1,3.0,2.9,3.3,-0.4,0.1
Danny Darwin,1002996,3.7,1.3,3.2,2.6,1.0,1.6,2.8,-0.1,3.1
Ryan Dempster,517,1.8,0.9,0.2,4.7,3.6,2.5,2.6,2.7,0.4
Dave Burba,1239,1.2,2.3,1.1,1.8,3.0,4.2,2.5,1.6,0.2
Paul Splittorff,1012346,2.0,0.9,3.7,2.9,1.8,2.4,0.7,1.9,2.2
Todd Jones,436,-0.4,1.8,0.3,0.8,1.4,0.1,0.9,0.0,0.9
A.J. Burnett,512,5.0,2.9,2.3,5.0,2.8,1.4,0.6,3.5,3.9
Mike Myers,68,-0.5,0.0,0.0,0.9,0.6,0.3,-0.3,-0.1,0.1
Mike Torrez,1013134,2.4,3.3,2.3,3.3,3.3,2.6,1.2,1.2,0.7
Dick Drago,1003475,2.8,1.9,0.8,-0.6,0.5,0.6,2.5,-0.1,0.8
Diego Segui,1011725,0.8,0.6,0.3,1.3,2.2,0.6,0.7,0.9,0.7
Jim Lonborg,1007724,0.7,1.9,2.3,0.8,4.4,2.1,3.2,1.8,-0.2
Clay Carroll,1001997,0.6,1.4,0.2,0.4,0.4,1.8,1.2,1.1,-0.4
Andy Pettitte,840,3.9,5.8,3.9,5.1,1.9,5.8,3.4,4.0,3.3
David Wells,855,2.5,0.4,3.0,2.3,3.7,3.4,4.3,4.4,3.9
Jim Rooker,1011183,0.8,1.2,2.9,5.4,1.9,2.2,1.6,0.8,0.6
Tim Worrell,1139,1.9,-0.2,1.0,0.7,0.3,0.9,1.0,1.4,1.1
Guillermo Mota,1467,0.4,2.1,1.3,0.6,-0.3,0.2,0.1,0.1,0.2
Bob Forsch,1004233,1.8,2.8,3.5,1.4,2.1,-0.1,0.0,0.6,2.2
Dave Stewart,1012519,-0.1,1.5,4.8,5.1,3.2,4.9,1.5,1.2,0.9
Derek Lowe,199,1.6,4.6,2.4,2.2,2.8,4.4,3.1,4.3,1.9
Dennis Lamp,1007284,2.3,3.4,1.7,0.0,2.0,0.5,0.5,1.3,1.6
Mike Marshall,1008144,0.3,1.8,1.6,4.4,0.4,0.4,0.8,1.9,2.1
Wilbur Wood,1014248,1.9,8.7,6.1,7.4,4.7,3.4,1.2,0.6,-0.3
Paul Quantrill,669,1.9,1.6,0.2,0.9,1.7,1.4,1.5,1.0,0.1
Bob Gibson,1004662,5.8,5.1,6.0,4.3,8.6,8.8,9.8,5.2,6.4
John Candelaria,1001909,3.7,4.5,3.3,1.8,3.0,2.4,3.4,0.3,0.7
Ken Forsch,1004234,0.7,0.5,1.5,2.4,1.8,2.4,3.1,2.4,2.6
Ted Lilly,833,3.0,0.5,2.1,3.8,2.8,3.7,2.5,2.2,0.8
Livan Hernandez,1116,4.4,4.4,2.4,2.0,0.2,1.0,1.8,2.5,1.5
Kevin Millwood,106,4.7,2.9,3.4,4.3,2.1,3.2,2.1,1.1,0.7
David Cone,1680,6.5,5.2,3.9,3.8,4.5,2.2,4.9,5.1,3.4
Luis Tiant,1013054,0.5,0.5,0.9,3.6,5.0,6.5,4.2,3.7,2.6
