Name,playerid,WAR28,WAR29,WAR30,WAR31,WAR32,WAR33,WAR34,WAR35,WAR36,WAR37,WAR38,WAR39
Mike Cuellar,1002853,0.8,6.1,5.1,3.3,6.6,4.8,2.8,2.4,2.5,3.3,3.3,-0.2
John Franco,874,1.3,1.3,1.3,0.5,-0.5,1.0,0.8,1.2,1.3,0.9,0.9,0.6
Jerry Koosman,1007103,2.2,2.9,4.4,5.4,3.1,4.9,4.6,3.2,5.5,3.8,2.0,3.7
Curt Schilling,73,2.8,4.7,8.2,8.3,3.3,4.6,7.2,9.3,5.6,6.5,1.7,4.6
Tom Seaver,1011708,7.3,5.1,7.8,6.8,6.2,4.4,3.9,0.4,1.8,0.3,2.4,3.2
Miguel Batista,46,2.0,-0.9,1.3,3.1,4.3,1.6,0.5,2.9,2.2,-1.3,0.1,-0.5
Dennis Eckersley,1003660,0.8,3.2,4.3,3.7,3.4,2.3,1.7,3.2,1.7,3.1,2.0,0.9
Gaylord Perry,1010210,5.6,5.5,5.9,6.3,4.7,8.1,5.7,6.3,7.0,5.1,5.2,5.9
Mike Stanton,849,-0.1,0.7,1.4,0.1,1.5,1.6,1.7,1.2,0.0,0.6,0.3,1.2
Mike Morgan,67,0.5,2.5,2.1,4.5,3.2,2.8,0.3,1.5,1.0,2.6,0.2,0.4
Al Leiter,883,2.5,3.0,3.4,1.3,4.8,3.3,4.8,3.8,3.2,2.4,1.5,0.5
Grant Jackson,1006298,1.1,0.9,0.7,0.7,0.7,0.9,-0.5,0.4,-0.7,0.6,0.0,-0.9
Kent Tekulve,1012905,0.3,1.7,1.3,1.4,2.1,0.0,1.2,0.6,1.9,0.2,0.2,2.0
Lindy McDaniel,1008441,1.6,0.5,1.9,0.4,0.1,1.3,1.8,-1.0,0.3,1.6,1.3,1.1
Woodie Fryman,1004381,2.9,3.0,2.4,3.1,2.7,1.7,0.9,2.3,2.6,-0.3,1.1,0.5
Kenny Rogers,1277,3.6,2.5,3.0,2.2,0.6,4.5,3.5,4.3,0.8,2.7,2.5,3.2
Charlie Hough,1006050,-0.4,0.5,0.0,0.0,0.2,1.4,3.1,3.2,3.1,3.6,1.8,3.7
Danny Darwin,1002996,3.7,1.3,3.2,2.6,1.0,1.6,2.8,-0.1,3.1,2.9,0.8,-0.4
Todd Jones,436,-0.4,1.8,0.3,0.8,1.4,0.1,0.9,0.0,0.9,2.4,1.0,0.7
David Wells,855,2.5,0.4,3.0,2.3,3.7,3.4,4.3,4.4,3.9,6.2,1.7,4.5
Bob Forsch,1004233,1.8,2.8,3.5,1.4,2.1,-0.1,0.0,0.6,2.2,2.5,0.3,-0.6
Derek Lowe,199,1.6,4.6,2.4,2.2,2.8,4.4,3.1,4.3,1.9,1.8,1.4,1.3
Bob Gibson,1004662,5.8,5.1,6.0,4.3,8.6,8.8,9.8,5.2,6.4,4.5,1.3,-0.2
Luis Tiant,1013054,0.5,0.5,0.9,3.6,5.0,6.5,4.2,3.7,2.6,2.4,2.8,2.2
Tom Glavine,90,3.6,4.3,5.3,3.6,4.8,4.2,4.7,1.7,2.9,1.3,2.6,3.7
Dennis Martinez,1008161,0.7,0.1,0.0,1.0,2.8,2.2,3.1,4.6,4.2,3.8,1.9,3.6
Greg Maddux,104,7.4,7.9,7.8,8.0,7.5,5.6,7.2,6.3,3.9,3.6,2.6,3.3
Jim Bunning,1001653,6.9,6.3,4.6,2.7,5.6,7.3,6.8,6.8,0.6,3.8,4.1,0.6
Mark Gardner,1004529,2.3,0.8,1.9,-0.1,0.4,0.4,1.4,1.4,2.0,-0.2,2.0,-0.3
Mike Timlin,1187,0.2,1.3,1.4,0.6,1.8,0.3,0.1,0.7,-0.3,1.0,0.7,1.8
Gene Garber,1004493,1.8,2.3,1.2,1.1,0.9,0.7,2.2,-0.1,0.9,0.8,2.0,0.7
David Weathers,902,1.9,0.1,0.5,1.1,0.5,0.7,-0.3,0.7,-0.4,1.3,0.0,-0.7
Mike Mussina,837,5.4,5.1,6.0,6.4,6.9,4.5,6.1,3.0,2.6,5.2,2.6,3.6
Tom Candiotti,1001911,4.3,1.3,4.5,4.4,2.3,5.8,3.5,4.2,2.5,2.7,1.1,0.2
Jesse Orosco,667,0.9,0.4,1.6,-0.4,1.1,-0.5,0.5,0.3,2.0,0.1,1.0,0.8
Rick Honeycutt,1005992,0.9,2.8,1.9,1.5,3.1,1.8,0.4,0.6,0.9,0.0,0.8,0.2
Steve Carlton,1001964,4.5,5.3,3.5,5.1,5.1,2.8,4.3,8.8,5.3,8.2,7.4,3.9
Jim Kaat,1006660,6.4,3.9,3.5,3.2,5.9,2.6,2.7,5.2,5.1,2.9,1.0,1.7
Mariano Rivera,844,1.2,2.1,1.9,3.2,1.4,2.5,2.5,2.9,2.2,2.0,3.0,2.0
Fergie Jenkins,1006388,9.6,4.8,4.2,7.8,2.7,3.7,2.3,5.3,2.0,2.7,0.3,2.9
Don Sutton,1012745,6.0,4.7,5.4,3.3,3.8,2.7,3.7,3.0,3.9,4.6,3.4,3.3
Jose Mesa,961,1.7,2.1,1.4,1.0,0.4,-0.9,0.4,1.6,0.6,-0.1,0.6,-0.3
Fernando Rodney,494,0.4,0.5,0.6,0.3,0.3,0.2,-0.4,2.2,1.2,1.0,-0.8,0.4
Terry Mulholland,665,4.6,3.8,2.9,0.5,0.1,2.5,1.3,1.4,2.1,1.1,-0.1,-0.4
Greg Harris,1005415,0.3,2.0,1.4,1.7,-0.1,-0.1,2.6,2.5,0.5,1.2,-0.2,0.3
Jerry Reuss,1010853,3.9,1.0,2.9,4.6,2.5,5.5,4.8,1.2,2.6,-0.4,0.9,2.3
Roger Clemens,815,8.5,7.6,3.7,4.2,2.4,6.8,10.7,8.2,3.2,3.6,5.6,4.3
Jim Perry,1010213,0.6,1.7,2.9,1.8,2.3,5.5,6.7,0.3,2.3,1.9,4.3,-0.2
Tim Wakefield,219,2.6,1.0,1.8,1.6,0.7,-0.3,2.2,2.7,3.6,1.4,1.8,1.2
Kevin Brown,642,4.4,3.4,4.5,6.7,6.5,9.6,7.3,6.8,3.0,0.5,6.1,2.3
Steve Reed,1053,-0.5,-0.1,1.7,0.3,-0.3,0.8,0.1,0.3,0.3,1.1,-0.2,0.6
Dan Plesac,1319,0.9,0.0,0.6,-0.2,0.3,1.0,1.7,0.6,1.3,0.6,0.4,1.2
Frank Tanana,1012818,2.6,2.6,2.1,3.6,2.3,4.1,2.1,3.1,0.8,1.9,0.5,1.3
Jeff Fassero,279,1.3,1.3,3.5,2.9,3.6,5.9,5.0,3.1,-0.5,1.8,1.7,-0.1
Woody Williams,1190,0.3,0.9,1.4,1.3,1.5,1.9,2.0,1.9,4.5,2.9,1.1,1.2
Chuck Finley,384,2.9,1.3,5.1,3.4,4.4,5.0,2.9,4.4,4.4,4.4,2.1,4.4
Tim Hudson,921,4.6,1.8,2.5,4.9,1.9,0.6,1.7,2.8,1.6,1.6,1.6,0.1
Tug McGraw,1008545,-0.1,-0.2,0.7,1.3,1.1,1.2,0.3,2.5,0.6,0.3,0.2,0.5
Nolan Ryan,1011348,2.4,5.3,6.6,5.0,5.1,4.5,3.8,3.5,3.4,4.0,4.4,3.2
Jack Morris,1009211,6.2,4.0,4.7,4.0,4.1,4.0,1.4,2.9,4.1,3.7,1.7,2.0
Phil Niekro,1009583,3.6,3.6,6.3,1.8,4.3,6.0,3.2,7.2,3.6,4.3,5.9,8.6
Buddy Groom,143,0.2,-0.3,0.6,0.1,0.6,1.1,1.1,1.9,1.4,0.0,0.4,-0.1
Randy Johnson,60,3.4,7.0,5.2,9.5,1.6,7.0,7.6,9.5,9.6,10.4,8.1,2.4
Ron Reed,1010773,2.9,3.1,2.5,3.3,6.9,2.2,1.7,1.8,0.5,0.9,0.2,1.5
Roberto Hernandez,605,1.9,0.8,1.0,3.2,1.2,0.4,2.2,1.0,0.5,0.6,-1.1,-0.2
