Name,playerid,WAR29,WAR30,WAR31,WAR32,WAR33,WAR34,WAR35,WAR36,WAR37,WAR38
Mike Cuellar,1002853,6.1,5.1,3.3,6.6,4.8,2.8,2.4,2.5,3.3,3.3
John Franco,874,1.3,1.3,0.5,-0.5,1.0,0.8,1.2,1.3,0.9,0.9
Jerry Koosman,1007103,2.9,4.4,5.4,3.1,4.9,4.6,3.2,5.5,3.8,2.0
Curt Schilling,73,4.7,8.2,8.3,3.3,4.6,7.2,9.3,5.6,6.5,1.7
Tom Seaver,1011708,5.1,7.8,6.8,6.2,4.4,3.9,0.4,1.8,0.3,2.4
Ron Villone,1010,2.4,0.2,0.8,0.4,1.2,0.3,0.7,-0.1,-0.1,-0.2
Joe Niekro,1009582,0.1,0.8,0.4,1.6,1.4,1.8,3.4,2.2,4.2,3.1
Miguel Batista,46,-0.9,1.3,3.1,4.3,1.6,0.5,2.9,2.2,-1.3,0.1
Hank Aguirre,1000087,2.1,-0.2,5.2,2.6,1.8,2.4,0.4,0.5,0.2,0.4
Dennis Eckersley,1003660,3.2,4.3,3.7,3.4,2.3,1.7,3.2,1.7,3.1,2.0
Gaylord Perry,1010210,5.5,5.9,6.3,4.7,8.1,5.7,6.3,7.0,5.1,5.2
Mike Stanton,849,0.7,1.4,0.1,1.5,1.6,1.7,1.2,0.0,0.6,0.3
Mike Morgan,67,2.5,2.1,4.5,3.2,2.8,0.3,1.5,1.0,2.6,0.2
Al Leiter,883,3.0,3.4,1.3,4.8,3.3,4.8,3.8,3.2,2.4,1.5
Doyle Alexander,1000122,2.9,1.6,-0.3,1.0,5.0,4.0,3.9,3.2,2.6,0.9
Grant Jackson,1006298,0.9,0.7,0.7,0.7,0.9,-0.5,0.4,-0.7,0.6,0.0
Kent Tekulve,1012905,1.7,1.3,1.4,2.1,0.0,1.2,0.6,1.9,0.2,0.2
Lindy McDaniel,1008441,0.5,1.9,0.4,0.1,1.3,1.8,-1.0,0.3,1.6,1.3
Woodie Fryman,1004381,3.0,2.4,3.1,2.7,1.7,0.9,2.3,2.6,-0.3,1.1
Kenny Rogers,1277,2.5,3.0,2.2,0.6,4.5,3.5,4.3,0.8,2.7,2.5
Charlie Hough,1006050,0.5,0.0,0.0,0.2,1.4,3.1,3.2,3.1,3.6,1.8
Danny Darwin,1002996,1.3,3.2,2.6,1.0,1.6,2.8,-0.1,3.1,2.9,0.8
Todd Jones,436,1.8,0.3,0.8,1.4,0.1,0.9,0.0,0.9,2.4,1.0
A.J. Burnett,512,2.9,2.3,5.0,2.8,1.4,0.6,3.5,3.9,1.8,2.6
Mike Myers,68,0.0,0.0,0.9,0.6,0.3,-0.3,-0.1,0.1,0.2,-0.2
Andy Pettitte,840,5.8,3.9,5.1,1.9,5.8,3.4,4.0,3.3,3.4,2.7
David Wells,855,0.4,3.0,2.3,3.7,3.4,4.3,4.4,3.9,6.2,1.7
Bob Forsch,1004233,2.8,3.5,1.4,2.1,-0.1,0.0,0.6,2.2,2.5,0.3
Dave Stewart,1012519,1.5,4.8,5.1,3.2,4.9,1.5,1.2,0.9,0.8,0.7
Derek Lowe,199,4.6,2.4,2.2,2.8,4.4,3.1,4.3,1.9,1.8,1.4
Dennis Lamp,1007284,3.4,1.7,0.0,2.0,0.5,0.5,1.3,1.6,0.3,0.4
Mike Marshall,1008144,1.8,1.6,4.4,0.4,0.4,0.8,1.9,2.1,0.1,0.0
Bob Gibson,1004662,5.1,6.0,4.3,8.6,8.8,9.8,5.2,6.4,4.5,1.3
David Cone,1680,5.2,3.9,3.8,4.5,2.2,4.9,5.1,3.4,1.0,1.4
Luis Tiant,1013054,0.5,0.9,3.6,5.0,6.5,4.2,3.7,2.6,2.4,2.8
Bud Black,1001007,0.1,1.1,0.6,3.4,2.4,0.8,-0.1,0.2,0.1,0.5
Lee Smith,1012175,2.9,1.6,1.5,2.4,2.0,1.2,0.1,0.8,1.0,0.3
Tom Glavine,90,4.3,5.3,3.6,4.8,4.2,4.7,1.7,2.9,1.3,2.6
Dennis Martinez,1008161,0.1,0.0,1.0,2.8,2.2,3.1,4.6,4.2,3.8,1.9
Matt Thornton,1918,0.9,0.9,1.8,2.3,2.2,1.4,1.3,0.1,0.6,0.4
Greg Maddux,104,7.9,7.8,8.0,7.5,5.6,7.2,6.3,3.9,3.6,2.6
Jim Bunning,1001653,6.3,4.6,2.7,5.6,7.3,6.8,6.8,0.6,3.8,4.1
Mark Gardner,1004529,0.8,1.9,-0.1,0.4,0.4,1.4,1.4,2.0,-0.2,2.0
Sonny Siebert,1011951,3.4,2.3,2.7,2.1,3.3,4.4,2.7,1.7,1.6,1.0
Mike Timlin,1187,1.3,1.4,0.6,1.8,0.3,0.1,0.7,-0.3,1.0,0.7
Rick Aguilera,1000086,1.5,0.8,1.0,0.8,1.3,1.5,0.8,1.4,0.8,-0.7
Scott Downs,773,1.0,0.5,1.1,1.0,0.8,1.1,0.6,0.2,0.5,-0.1
Gene Garber,1004493,2.3,1.2,1.1,0.9,0.7,2.2,-0.1,0.9,0.8,2.0
Mark Langston,1007323,4.6,3.0,5.4,5.6,1.6,4.1,1.7,0.0,0.1,0.3
David Weathers,902,0.1,0.5,1.1,0.5,0.7,-0.3,0.7,-0.4,1.3,0.0
Mike Mussina,837,5.1,6.0,6.4,6.9,4.5,6.1,3.0,2.6,5.2,2.6
Alan Embree,1030,0.5,0.6,-0.3,1.6,0.8,0.4,-0.3,1.1,1.1,0.0
Tom Candiotti,1001911,1.3,4.5,4.4,2.3,5.8,3.5,4.2,2.5,2.7,1.1
Jesse Orosco,667,0.4,1.6,-0.4,1.1,-0.5,0.5,0.3,2.0,0.1,1.0
Rick Honeycutt,1005992,2.8,1.9,1.5,3.1,1.8,0.4,0.6,0.9,0.0,0.8
Tim Belcher,1000789,4.1,3.1,3.0,1.2,1.7,3.8,1.9,1.9,0.1,-0.1
Steve Carlton,1001964,5.3,3.5,5.1,5.1,2.8,4.3,8.8,5.3,8.2,7.4
Jim Kaat,1006660,3.9,3.5,3.2,5.9,2.6,2.7,5.2,5.1,2.9,1.0
Mariano Rivera,844,2.1,1.9,3.2,1.4,2.5,2.5,2.9,2.2,2.0,3.0
Dick Hall,1005241,1.9,2.7,2.2,1.1,0.7,1.6,0.3,0.9,-0.1,1.0
Fergie Jenkins,1006388,4.8,4.2,7.8,2.7,3.7,2.3,5.3,2.0,2.7,0.3
Don Sutton,1012745,4.7,5.4,3.3,3.8,2.7,3.7,3.0,3.9,4.6,3.4
Jose Mesa,961,2.1,1.4,1.0,0.4,-0.9,0.4,1.6,0.6,-0.1,0.6
Fernando Rodney,494,0.5,0.6,0.3,0.3,0.2,-0.4,2.2,1.2,1.0,-0.8
Terry Mulholland,665,3.8,2.9,0.5,0.1,2.5,1.3,1.4,2.1,1.1,-0.1
Greg Harris,1005415,2.0,1.4,1.7,-0.1,-0.1,2.6,2.5,0.5,1.2,-0.2
