Name,playerid,WAR31,WAR32,WAR33,WAR34,WAR35,WAR36,WAR37,WAR38,WAR39,WAR40,WAR41
Jerry Koosman,1007103,5.4,3.1,4.9,4.6,3.2,5.5,3.8,2.0,3.7,1.5,4.7
Tom Seaver,1011708,6.8,6.2,4.4,3.9,0.4,1.8,0.3,2.4,3.2,3.9,2.6
Jamie Moyer,1091,1.9,1.2,1.6,3.2,5.2,4.6,1.8,3.0,3.8,3.8,-0.2
Joe Niekro,1009582,0.4,1.6,1.4,1.8,3.4,2.2,4.2,3.1,2.0,-0.1,0.5
Miguel Batista,46,3.1,4.3,1.6,0.5,2.9,2.2,-1.3,0.1,-0.5,-0.1,-0.4
Dennis Eckersley,1003660,3.7,3.4,2.3,1.7,3.2,1.7,3.1,2.0,0.9,0.9,0.7
Gaylord Perry,1010210,6.3,4.7,8.1,5.7,6.3,7.0,5.1,5.2,5.9,4.3,3.7
Mike Morgan,67,4.5,3.2,2.8,0.3,1.5,1.0,2.6,0.2,0.4,0.7,0.4
Kent Tekulve,1012905,1.4,2.1,0.0,1.2,0.6,1.9,0.2,0.2,2.0,1.1,0.7
Woodie Fryman,1004381,3.1,2.7,1.7,0.9,2.3,2.6,-0.3,1.1,0.5,1.9,0.7
Kenny Rogers,1277,2.2,0.6,4.5,3.5,4.3,0.8,2.7,2.5,3.2,3.1,2.1
Charlie Hough,1006050,0.0,0.2,1.4,3.1,3.2,3.1,3.6,1.8,3.7,2.7,-0.8
Danny Darwin,1002996,2.6,1.0,1.6,2.8,-0.1,3.1,2.9,0.8,-0.4,2.5,0.8
David Wells,855,2.3,3.7,3.4,4.3,4.4,3.9,6.2,1.7,4.5,3.8,3.1
Tom Glavine,90,3.6,4.8,4.2,4.7,1.7,2.9,1.3,2.6,3.7,2.9,1.5
Dennis Martinez,1008161,1.0,2.8,2.2,3.1,4.6,4.2,3.8,1.9,3.6,3.3,1.5
Greg Maddux,104,8.0,7.5,5.6,7.2,6.3,3.9,3.6,2.6,3.3,4.3,3.9
Don McMahon,1008629,0.2,0.9,-0.5,0.8,0.1,0.1,0.3,0.8,0.9,0.2,-0.2
Mike Timlin,1187,0.6,1.8,0.3,0.1,0.7,-0.3,1.0,0.7,1.8,0.2,0.0
Tom Candiotti,1001911,4.4,2.3,5.8,3.5,4.2,2.5,2.7,1.1,0.2,1.2,0.0
Jesse Orosco,667,-0.4,1.1,-0.5,0.5,0.3,2.0,0.1,1.0,0.8,0.1,0.4
Steve Carlton,1001964,5.1,5.1,2.8,4.3,8.8,5.3,8.2,7.4,3.9,0.5,0.5
Jim Kaat,1006660,3.2,5.9,2.6,2.7,5.2,5.1,2.9,1.0,1.7,0.5,1.1
Mariano Rivera,844,3.2,1.4,2.5,2.5,2.9,2.2,2.0,3.0,2.0,1.8,2.2
Don Sutton,1012745,3.3,3.8,2.7,3.7,3.0,3.9,4.6,3.4,3.3,3.0,2.2
Jose Mesa,961,1.0,0.4,-0.9,0.4,1.6,0.6,-0.1,0.6,-0.3,-0.3,-0.5
Terry Mulholland,665,0.5,0.1,2.5,1.3,1.4,2.1,1.1,-0.1,-0.4,-0.9,0.5
Larry Andersen,1000236,0.8,0.4,0.8,1.3,1.4,2.3,2.7,1.7,0.8,1.5,0.3
Roger Clemens,815,4.2,2.4,6.8,10.7,8.2,3.2,3.6,5.6,4.3,4.5,5.7
Tim Wakefield,219,1.6,0.7,-0.3,2.2,2.7,3.6,1.4,1.8,1.2,1.9,1.0
Dan Plesac,1319,-0.2,0.3,1.0,1.7,0.6,1.3,0.6,0.4,1.2,0.1,0.7
Jeff Fassero,279,2.9,3.6,5.9,5.0,3.1,-0.5,1.8,1.7,-0.1,-0.8,1.3
Nolan Ryan,1011348,5.0,5.1,4.5,3.8,3.5,3.4,4.0,4.4,3.2,6.4,3.4
Doug Jones,1006552,3.7,2.6,1.4,0.8,2.6,0.8,1.6,0.5,1.0,2.8,-0.2
Phil Niekro,1009583,1.8,4.3,6.0,3.2,7.2,3.6,4.3,5.9,8.6,4.1,3.7
Randy Johnson,60,9.5,1.6,7.0,7.6,9.5,9.6,10.4,8.1,2.4,9.6,4.1
Ron Reed,1010773,3.3,6.9,2.2,1.7,1.8,0.5,0.9,0.2,1.5,1.4,1.2
Roberto Hernandez,605,3.2,1.2,0.4,2.2,1.0,0.5,0.6,-1.1,-0.2,1.0,0.3
