"Name","playerid","WAR24","WAR25","WAR26","WAR27","Cluster"
"Jim Maloney","1008039","4.9","6.5","4.9","4.5","C"
"Ben Sheets","    710","3.8","8","3.7","4","D"
"Mike Witt","1014174","4.7","6.7","4","4.4","D"
"Kevin Appier","      3","4.8","6.8","4","5.3","C"
"Jim Palmer","1009973","6.2","4.6","4.4","4.6","B"
"Andy Pettitte","    840","4.6","7.2","3.2","2.6","D"
"Rick Reuschel","1010852","6.1","4.7","4.7","4.8","B"
"Vida Blue","1001094","5.5","5.1","7.6","4.9","B"
"Jon Matlack","1008246","7.5","4.4","4.4","2.6","E"
"Zack Greinke","   1943","4.2","8.6","4.9","3.2","D"
"Ubaldo Jimenez","   3374","4.2","5.3","5.9","3.3","A"
"Jose Quintana","  11423","3.5","5","4.3","5","C"
"Mark Gubicza","1005115","3.8","6.2","6.3","1.6","A"
"Felix Hernandez","   4772","6.8","5.3","6.6","6.1","B"
"Bert Blyleven","1001098","6.2","6.7","4.9","5.2","B"
"Chris Sale","  10603","4.9","5.1","5.6","5.4","B"
"Javier Vazquez","    801","6.1","4.6","6","2","A"
"Tom Glavine","     90","2.9","5.4","4.6","3.3","C"
"Tom Bradley","1001316","7.7","5.9","2.6","0.8","E"
"Bill Monbouquette","1009048","4.1","5.2","5.4","3","A"
"Dave Stieb","1012532","4.8","5.1","5.6","4.5","B"
"Mike Moore","1009122","4.2","5.9","3.7","3.1","C"
"Tim Lincecum","   5705","7.2","7.5","4.3","3.5","D"
"Jon Lester","   4930","4.2","5.4","5","2.6","A"
"Mark Buehrle","    225","4.3","4.5","5.9","1.7","A"
"Brad Radke","    748","4.9","4.2","3.7","4.2","C"
"Mario Soto","1012289","3.3","7.4","4.5","2.5","D"
"Roy Halladay","   1303","4","6.8","7","2.8","A"
"Jake Peavy","   1051","5.4","4.4","6.7","3.7","A"
"Bret Saberhagen","1011355","5.5","7.5","2.9","4.4","D"
"David Price","   3184","4.3","4.8","4.3","3.9","C"
"Joe Coleman","1002428","7.1","3.9","4.4","1.5","E"
"Len Barker","1000546","5.2","4.6","5.8","3","A"
"Jim O'Toole","1009897","5.6","4.6","4.8","5.9","B"
