playerid,NewCluster
1008497.0,E
1006373.0,C
1004119.0,H
946.0,E
1008700.0,H
7441.0,E
1004381.0,H
1277.0,H
1013215.0,E
1013134.0,H
1002347.0,E
633.0,E
1244.0,H
973.0,C
1004233.0,H
1013494.0,E
1089.0,I
2586.0,H
13071.0,E
1001432.0,E
739.0,E
1004894.0,H
491.0,I
898.0,E
150.0,E
1035.0,H
1002296.0,H
4264.0,E
75.0,H
1013652.0,H
1007512.0,H
1012788.0,E
1001058.0,H
1003950.0,I
1310.0,E
7450.0,I
1007185.0,H
9492.0,C
1008382.0,I
1009465.0,H
2047.0,E
1010835.0,E
1007453.0,E
1009970.0,E
206.0,E
168.0,H
1620.0,E
1003210.0,H
1009583.0,N
1123.0,E
1012400.0,H
