Name,playerid,WAR32,WAR33,WAR34,WAR35,Cluster,Name,playerid,WAR33,WAR34,WAR35,WAR36,NewCluster
Jamie Moyer,1091.0,1.2,1.6,3.2,5.2,H,Jamie Moyer,1091.0,1.6,3.2,5.2,4.6,J
Joe Niekro,1009582.0,1.6,1.4,1.8,3.4,H,Joe Niekro,1009582.0,1.4,1.8,3.4,2.2,E
Miguel Batista,46.0,4.3,1.6,0.5,2.9,H,Miguel Batista,46.0,1.6,0.5,2.9,2.2,I
Dennis Eckersley,1003660.0,3.4,2.3,1.7,3.2,H,Dennis Eckersley,1003660.0,2.3,1.7,3.2,1.7,E
Woodie Fryman,1004381.0,2.7,1.7,0.9,2.3,H,Woodie Fryman,1004381.0,1.7,0.9,2.3,2.6,I
Charlie Hough,1006050.0,0.2,1.4,3.1,3.2,H,Charlie Hough,1006050.0,1.4,3.1,3.2,3.1,E
Rick Reed,750.0,3.0,1.5,2.6,3.3,H,Rick Reed,750.0,1.5,2.6,3.3,2.0,E
A.J. Burnett,512.0,2.8,1.4,0.6,3.5,H,A.J. Burnett,512.0,1.4,0.6,3.5,3.9,I
Rick Mahler,1007988.0,2.1,1.0,4.3,3.2,H,Rick Mahler,1007988.0,1.0,4.3,3.2,0.8,E
Mike Flanagan,1004133.0,2.4,0.3,2.6,3.1,H,Mike Flanagan,1004133.0,0.3,2.6,3.1,1.1,E
Mariano Rivera,844.0,1.4,2.5,2.5,2.9,H,Mariano Rivera,844.0,2.5,2.5,2.9,2.2,E
Vern Law,1007410.0,1.3,0.1,2.3,3.4,H,Vern Law,1007410.0,0.1,2.3,3.4,2.3,E
Mark Buehrle,225.0,3.1,1.6,2.2,3.7,H,Mark Buehrle,225.0,1.6,2.2,3.7,2.0,E
Jim Bibby,1000945.0,3.8,1.0,2.5,2.6,H,Jim Bibby,1000945.0,1.0,2.5,2.6,1.7,E
Tim Wakefield,219.0,0.7,-0.3,2.2,2.7,H,Tim Wakefield,219.0,-0.3,2.2,2.7,3.6,E
Tim Hudson,921.0,1.9,0.6,1.7,2.8,H,Tim Hudson,921.0,0.6,1.7,2.8,1.6,E
Rafael Betancourt,177.0,3.3,0.2,1.4,1.8,H,Rafael Betancourt,177.0,0.2,1.4,1.8,1.7,D
Doug Jones,1006552.0,2.6,1.4,0.8,2.6,H,Doug Jones,1006552.0,1.4,0.8,2.6,0.8,D
Rudy May,1008310.0,2.2,1.1,1.4,4.1,H,Rudy May,1008310.0,1.1,1.4,4.1,2.4,E
Steve Sparks,499.0,1.5,0.5,2.1,3.2,H,Steve Sparks,499.0,0.5,2.1,3.2,1.2,E
Kevin Tapani,1012824.0,2.7,1.6,2.1,2.6,H,Kevin Tapani,1012824.0,1.6,2.1,2.6,2.3,E
