Name,playerid,_c2,_c3,Cluster
Chris Capuano,1701.0,2.9,2.9,H
Ron Guidry,1005124.0,2.8,2.8,H
Geoff Zahn,1014410.0,2.7,2.7,H
Ed Whitson,1013911.0,3.0,3.0,H
Mike Morgan,67.0,2.8,2.8,H
Jim Palmer,1009973.0,2.6,2.6,H
Hideo Nomo,666.0,2.9,2.9,H
Ryan Dempster,517.0,2.5,2.5,H
Hisashi Iwakuma,13048.0,2.7,2.7,H
Mike Torrez,1013134.0,2.6,2.6,H
J.A. Happ,7410.0,2.9,2.9,H
Wandy Rodriguez,2586.0,2.8,2.8,H
Ricky Nolasco,3830.0,2.8,2.8,H
Walt Terrell,1012924.0,2.7,2.7,H
Rich Gossage,1004894.0,2.6,2.6,H
Larry Gura,1005150.0,2.7,2.7,H
Frank Viola,1013435.0,2.7,2.7,H
Wilson Alvarez,1193.0,2.5,2.5,H
Robin Roberts,1011046.0,2.8,2.8,H
Steve Carlton,1001964.0,2.8,2.8,H
Jim Kaat,1006660.0,2.6,2.6,H
Mariano Rivera,844.0,2.5,2.5,H
Fred Norman,1009632.0,2.7,2.7,H
Don Sutton,1012745.0,2.7,2.7,H
Terry Mulholland,665.0,2.5,2.5,H
Billy Pierce,1010326.0,2.7,2.7,H
Roy Oswalt,571.0,2.8,2.8,H
Seunghwan Oh,18719.0,2.6,2.6,H
John Denny,1003210.0,2.6,2.6,H
Shane Reynolds,574.0,2.6,2.6,H
