Season,Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,Kd9,BBd9,KdBB,Hd9,HRd9,AVG,WHIP,BABIP,LOBp,FIP,RAR,WAR,playerid,ServiceTime,deltaWAR
2005,Rodrigo Lopez,Orioles,29,15,12,4.9,35,35,0,0,0,209.1,918,232,126,114,28,63,1,7,5,1,118,5.07,2.71,1.87,9.97,1.2,0.274,1.41,0.291,67.00%,4.63,20.5,2.0,150,4,-0.3
2000,Darren Oliver,Rangers,29,2,9,7.42,21,21,0,0,0,108.0,501,151,95,89,16,42,3,4,4,1,49,4.08,3.5,1.17,12.58,1.33,0.332,1.79,0.346,58.40%,5.43,9.6,0.9,206,7,0.3
2004,Jeff Suppan,Cardinals,29,16,9,4.16,31,31,0,0,0,188.0,811,192,98,87,25,65,1,8,4,1,110,5.27,3.11,1.69,9.19,1.2,0.26,1.37,0.277,72.60%,4.77,15.0,1.4,633,8,0.4
2008,Kyle Lohse,Cardinals,29,15,6,3.78,33,33,0,0,0,200.0,839,211,88,84,18,49,3,3,5,0,119,5.36,2.21,2.43,9.5,0.81,0.268,1.3,0.297,73.60%,3.89,28.0,2.8,739,8,-2.1
2000,Steve Trachsel,- - -,29,8,15,4.8,34,34,3,1,0,200.2,882,232,116,107,26,74,2,6,4,0,110,4.93,3.32,1.49,10.41,1.17,0.289,1.52,0.309,71.10%,4.92,25.8,2.4,898,7,-0.4
2002,Terry Adams,Phillies,29,7,9,4.35,46,19,0,0,0,136.2,590,132,76,66,9,58,5,3,8,0,96,6.32,3.82,1.66,8.69,0.59,0.25,1.39,0.29,64.90%,3.75,19.0,1.9,946,7,-0.4
1999,Robb Nen,Giants,29,3,8,3.98,72,0,0,0,37,72.1,320,79,36,32,8,27,3,0,5,0,77,9.58,3.36,2.85,9.83,1.0,0.27,1.47,0.341,73.80%,3.56,13.9,1.3,1123,7,1.2
2001,Esteban Loaiza,Blue Jays,29,11,11,5.02,36,30,1,1,0,190.0,837,239,113,106,27,40,1,9,1,1,110,5.21,1.89,2.75,11.32,1.28,0.303,1.47,0.326,69.90%,4.51,21.9,2.1,1310,7,0.2
2007,Nate Robertson,Tigers,29,9,13,4.76,30,30,0,0,0,177.2,781,199,98,94,22,63,2,3,5,1,119,6.03,3.19,1.89,10.08,1.11,0.278,1.47,0.308,71.30%,4.62,18.9,1.8,1620,5,-0.7
2010,Jorge De La Rosa,Rockies,29,8,7,4.22,20,20,0,0,0,121.2,512,105,62,57,15,55,4,5,9,1,113,8.36,4.07,2.05,7.77,1.11,0.232,1.32,0.278,71.50%,4.3,13.1,1.4,2047,6,0.1
2014,Mark Melancon,Pirates,29,3,5,1.9,72,0,0,0,33,71.0,277,51,15,15,2,11,1,3,3,0,71,9.0,1.39,6.45,6.46,0.25,0.194,0.87,0.258,80.40%,2.09,17.0,1.9,4264,4,-0.5
2015,Wade Davis,Royals,29,8,1,0.94,69,0,0,0,17,67.1,251,33,8,7,3,20,1,0,1,0,78,10.43,2.67,3.9,4.41,0.4,0.143,0.79,0.2,92.20%,2.29,18.8,2.0,7441,7,-0.6
