Name,playerid,WAR23,WAR24,WAR25
Freddy Garcia,1077,1.0,5.3,3.4
Felipe Lira,1007649,1.7,2.2,0.1
Steve Mura,1009337,0.0,0.3,1.3
Dan Petry,1010246,4.4,1.3,4.2
Mel Stottlemyre,1012579,4.5,3.6,2.5
Brian Anderson,44,-0.3,0.4,0.4
Billy Wagner,578,0.0,0.2,2.2
Jaime Cerda,1532,0.3,-0.3,0.5
Esmil Rogers,6317,0.1,1.2,-0.3
Tom Griffin,1005054,0.0,1.0,0.6
Jason Schmidt,1131,0.8,2.5,2.9
Steve Stone,1012573,0.5,1.3,3.1
Jerry Augustine,1000365,1.5,1.2,1.7
Danny Cox,1002695,1.0,1.3,3.2
Storm Davis,1003080,3.0,2.6,1.1
Brian Fisher,1004077,3.1,-0.1,1.0
Vern Ruhle,1011297,0.6,1.8,1.8
Bob Sykes,1012798,0.4,-0.4,0.0
Bobby Jones,1039,0.6,2.3,2.7
Neal Cotts,1797,0.0,-0.2,1.4
Matt Capps,4788,1.8,1.3,-0.1
Hank Fischer,1004068,0.5,1.6,0.1
Frank Pastore,1010048,1.9,2.4,1.2
John Franco,874,0.6,1.0,1.4
Matt Albers,4300,0.3,0.0,0.1
Charlie Leibrandt,1007492,1.0,0.3,0.4
Rich Robertson,1011044,0.2,0.0,0.7
Larry Christenson,1002215,2.7,4.6,1.3
Jimmy Jones,1006569,0.9,2.0,-0.1
Randy Messenger,2658,-0.4,0.2,0.5
Ron Bryant,1001608,1.8,1.6,2.6
Dave Eiland,1003714,0.7,0.2,0.5
Ed Glynn,1004789,-0.2,0.1,-0.1
Curt Schilling,73,0.7,0.9,4.2
Dustin Hermanson,195,-0.1,2.3,3.1
Kent Mercker,439,0.7,0.0,1.1
Scott Bankhead,1000510,0.9,3.6,3.5
Ken Dixon,1003331,0.2,1.3,1.9
Jose Bautista,1000694,1.1,-0.6,-0.1
Pat Clements,1002339,0.2,0.3,0.8
Jim Gott,1004898,2.8,1.5,2.0
Al Hrabosky,1006116,1.1,1.9,2.5
Claude Osteen,1009878,2.3,4.4,3.5
Tom Seaver,1011708,5.8,4.4,8.3
Manny Delcarmen,3180,0.0,1.0,0.4
Don Carman,1001967,0.0,0.0,1.3
Rawly Eastwick,1003648,0.2,1.2,2.3
Jim Maloney,1008039,6.4,4.9,6.5
Sidney Ponson,161,3.2,1.3,1.7
Joel Zumaya,4699,-0.4,-0.2,1.1
Jim Clancy,1002255,0.4,3.2,0.4
Danny Coombs,1002582,0.2,0.1,0.7
Lance McCullers,1008436,1.7,-0.2,0.5
Hal Reniff,1010833,-0.1,0.6,0.4
Jamie Moyer,1091,0.3,1.5,2.1
