Name,playerid,WAR31
Freddy Garcia,1077,0.0
Brandon Lyon,1312,-0.6
Matt Miller,1754,0.1
Mike Cuellar,1002853,3.3
Rich DeLucia,1003185,-0.2
Dan Petry,1010246,0.8
Ed Roebuck,1011118,-0.9
Mel Stottlemyre,1012579,4.1
Brian Anderson,44,1.9
Jim Brower,313,0.7
Billy Wagner,578,2.3
Valerio de los Santos,681,0.1
Chris Capuano,1701,0.3
Chad Qualls,2170,0.0
Tom Griffin,1005054,0.2
Joe Nuxhall,1009665,1.8
Octavio Dotel,555,0.0
Jason Schmidt,1131,6.4
Bryce Florie,1004172,-0.1
John Morris,1009219,0.1
Steve Stone,1012573,0.3
Greg Aquino,1899,-0.2
Todd Coffey,2467,0.1
Jerry Augustine,1000365,0.0
Danny Cox,1002695,-0.2
Storm Davis,1003080,0.8
Andy McGaffigan,1008497,0.8
Vern Ruhle,1011297,1.2
Bobby Jones,1039,0.8
Ben Weber,41,0.3
John Franco,874,0.5
Turk Wendell,975,0.7
Brandon Backe,1529,-0.3
Brian Wilson,6485,0.4
Bob Babcock,1000394,-0.1
Doug Bair,1000439,0.1
Charlie Leibrandt,1007492,3.4
Orlando Pena,1010150,0.9
Bruce Berenyi,1000864,-0.1
Don Cardwell,1001941,1.1
Jerry Reed,1010769,1.3
Francisco Cordero,1243,1.3
Steve Blateric,1001059,0.2
Dave Eiland,1003714,0.0
Jerry Koosman,1007103,5.4
Curt Schilling,73,8.3
Dustin Hermanson,195,1.7
Kent Mercker,439,1.1
Tyler Yates,1527,-0.2
Don Kelly,2216,0.0
Daisuke Matsuzaka,7775,-0.4
Rick Anderson,1000241,0.0
Scott Bankhead,1000510,-0.5
Joe Nelson,108,0.2
C.J. Nitkowski,570,-0.2
Jose Bautista,1000694,-0.3
Jim Gott,1004898,0.7
Al Hrabosky,1006116,0.3
Claude Osteen,1009878,1.6
Tom Seaver,1011708,6.8
Mike Stanton,1012421,1.4
Don Carman,1001967,-0.8
Jim Kern,1006868,-0.3
Jim Maloney,1008039,-0.5
Bob Shaw,1011819,0.5
Mark Whiten,1013886,0.0
Sidney Ponson,161,0.9
Ron Villone,1010,0.8
Jim Clancy,1002255,5.0
Ron Guidry,1005124,4.0
Jack Kralick,1007135,-0.1
Paul Reuschel,1010851,0.6
Efrain Valdez,1013311,-0.1
Mike Magnante,929,0.3
Jamie Moyer,1091,1.9
Ugueth Urbina,216,0.7
Lance Painter,1675,1.0
Brad Ziegler,7293,1.0
Craig Lefferts,1007476,0.6
Brian Williams,1013978,-0.6
Micah Bowie,1561,0.2
Al Fitzmorris,1004119,1.2
Whitey Ford,1004227,2.5
Danny Jackson,1006295,3.2
Duke Maas,1007894,-0.3
Joe Niekro,1009582,0.4
Mike Proly,1010545,0.2
Bill Sampen,1011395,-0.1
Mark Williamson,1014022,0.0
Miguel Batista,46,3.1
Terry Adams,946,0.2
Skip Schumaker,3704,-0.1
Hank Aguirre,1000087,5.2
Dennis Eckersley,1003660,3.7
Ubaldo Heredia,1005687,0.0
John Hiller,1005817,3.0
Gaylord Perry,1010210,6.3
Carl Willis,1013979,1.5
Rick Wise,1014155,1.6
Mike Stanton,849,0.1
Jim Bouton,1001241,0.8
Archie Corbin,1002612,0.2
Art Ditmar,1003328,1.0
Kelly Downs,1003453,0.6
Todd Frohwirth,1004374,-0.2
Al Jackson,1006288,0.7
Geoff Zahn,1014410,2.0
Jon Lieber,287,4.4
Dave Borkowski,2002,-0.5
Don Drysdale,1003516,3.0
Bob Patterson,1010055,1.1
Rich Thompson,1013022,0.0
Ed Whitson,1013911,0.2
Jose Cabrera,679,0.0
Tim Crews,1002765,0.2
Rich Garces,189,-0.4
Gary Glover,234,0.0
Jason Isringhausen,1158,1.7
Terry Leach,1007427,0.7
John Smoltz,115,5.2
Jason Boyd,1020,-0.4
D.J. Carrasco,1666,0.5
Tom Filer,1004040,1.1
Dick Tidrow,1013056,2.2
Mike Morgan,67,4.5
Jeremy Affeldt,583,0.1
Jason Frasor,1906,1.4
Justin Lehr,2163,-0.6
Bill Gullickson,1005136,0.4
Catfish Hunter,1006199,-0.8
Joe Borowski,267,1.4
Dennys Reyes,444,0.4
Julian Tavarez,541,1.3
Al Leiter,883,1.3
Josias Manzanillo,996,0.0
Doyle Alexander,1000122,-0.3
Larry McWilliams,1008700,0.1
Randy Moffitt,1009027,-0.1
Ron Taylor,1012885,0.0
Aaron Heilman,1751,-0.1
J.J. Putz,1795,0.6
Grant Jackson,1006298,0.7
Dorn Taylor,1012866,0.1
Paul Wagner,1013490,-0.1
Troy Percival,29,2.2
Sean Lowe,994,-0.2
Darren Hall,1005240,0.0
Kent Tekulve,1012905,1.4
Armando Reynoso,72,1.0
Juan Cruz,273,0.1
Mark Wohlers,414,0.3
Ben Sheets,710,0.8
Dan Giese,2656,0.5
Manny Acosta,8725,-0.4
Alan Hargesheimer,1005357,-0.1
Lindy McDaniel,1008441,0.4
Pedro Ramos,1010681,0.4
Juan Acevedo,458,0.1
Jamie Walker,502,0.3
Roberto Hernandez,3273,-0.3
Luis Aquino,1000285,-0.2
Bob Johnson,1006430,-0.5
Lerrin LaGrow,1007255,-0.4
A.J. Sager,1011369,1.1
Kris Benson,982,0.6
Buddy Carlyle,2010,-0.5
Scott Rice,2743,0.5
Pete Filson,1004046,-0.4
Woodie Fryman,1004381,3.1
Frank LaCorte,1007239,-0.7
Dave LaRoche,1007354,-0.2
Nate Field,599,0.0
Josh Fogg,989,-0.6
Chan Ho Park,1267,-0.3
Kenny Rogers,1277,2.2
Chris Narveson,2141,0.0
Dane Johnson,1006443,-0.3
Gary Lavelle,1007389,0.9
Terry Mathews,1008241,0.0
Sparky Lyle,1007859,0.8
Shane Rawley,1010719,2.4
Kevin Appier,3,2.7
Scot Shields,35,0.8
Luis Vizcaino,714,0.6
Charlie Hough,1006050,0.0
Vicente Palacios,1009965,-0.2
Amaury Telemaco,1802,-0.1
Porfi Altamirano,1000185,-0.8
Jim Dougherty,1003429,-0.1
John Habyan,1005176,1.3
Bill Short,1011929,0.0
Dean Stone,1012561,0.8
Michael Wuertz,1856,-0.1
Steve Barber,1000530,0.8
Steve Crawford,1002749,0.4
Ed Farmer,1003935,-0.3
Teddy Higuera,1005799,3.0
Carl Morton,1009230,3.5
Jim Palmer,1009973,5.5
Chris Welsh,1013772,1.6
Darrin Winston,1014142,-0.7
Matt Belisle,1837,1.2
Kameron Loe,4422,-1.2
Jim Poole,1010435,-0.5
Curt Simmons,1011980,2.5
Joe Simpson,1011996,0.0
Denny Neagle,441,2.5
Vic Darensbourg,516,-0.7
Hideo Nomo,666,2.1
Rick Reed,750,3.6
Kirk Rueter,1128,1.3
Ike Delock,1003179,1.4
Doc Medich,1008714,3.2
Bruce Sutter,1012743,1.5
Mike Buddie,678,-0.1
Danny Darwin,1002996,2.6
Pat Jarvis,1006363,0.8
Damaso Marte,247,0.6
Jose Lima,475,0.8
Ryan Dempster,517,4.7
Dave Burba,1239,1.8
Marc Kroon,1964,-0.2
Mike Henneman,1005656,1.2
Alejandro Pena,1010140,1.3
Paul Splittorff,1012346,2.9
David Riske,402,-0.4
Todd Jones,436,0.8
Orlando Hernandez,823,0.1
Joel Pineiro,1094,2.1
Hisashi Iwakuma,13048,0.9
Dave Baldwin,1000477,0.3
Ken Brett,1001402,0.1
Billy Hoeft,1005893,-0.7
Bob Scanlan,1011489,-0.5
Dave Wickersham,1013917,0.2
Kevin Gryboski,91,-0.2
Ray King,693,-0.1
Pedro Feliciano,1601,-0.1
Tim Stauffer,6432,0.3
Xavier Hernandez,1005715,-0.1
Mike Mohler,1009033,-0.2
John Smiley,1012084,4.5
John Tudor,1013215,6.4
Chad Paronto,399,0.1
Matt Herges,780,0.5
Juan Agosto,1000084,0.2
Richard Dotson,1003424,-0.1
Charlie Lea,1007423,0.2
Bobby Locke,1007687,-0.1
Scott Proctor,1911,-0.2
Stan Spencer,1012329,0.6
Ramon Ortiz,27,0.8
Tyler Walker,901,0.4
Dennis Higgins,1005788,0.2
Roger McDowell,1008475,0.1
Chuck Smith,1012114,1.0
A.J. Burnett,512,5.0
Ted Abernathy,1000020,0.0
John Cerutti,1002106,-0.1
Ron Davis,1003075,-0.3
Dan Gladden,1004750,0.0
Jeff Parrett,1010019,0.5
Nate Snell,1012228,0.1
Sammy Stewart,1012528,-0.5
Oscar Zamora,1014416,-0.3
Clay Condrey,1579,0.1
Clay Rapada,4831,0.4
Jay Ritchie,1010988,-0.1
Mike Myers,68,0.9
Vicente Romo,1011177,-0.9
Dave Schmidt,1011580,0.7
Mike Torrez,1013134,3.3
Bill Castro,1002077,-0.1
Reggie Cleveland,1002347,-0.7
Dick Drago,1003475,-0.6
Tom Hilgendorf,1005806,0.4
La Marr Hoyt,1006114,-0.8
Billy Loes,1007699,0.7
Rich Monteleone,1009068,-0.3
Wayne Twitchell,1013244,-1.1
Jason Grimsley,602,0.2
John Johnstone,1006475,-0.4
Bob Miller,1008877,0.0
Mel Rojas,1011153,-0.7
Don Rudolph,1011285,0.3
Lary Sorensen,1012279,-0.1
Chad Fox,684,0.0
Carlos Pulido,1815,0.3
Diego Segui,1011725,1.3
Bob Shirley,1011911,2.4
Jack Spring,1012362,-0.3
Jose Parra,70,0.1
Graeme Lloyd,783,0.4
Paul Abbott,1061,1.1
Chris Michalak,1415,-0.1
Tom Cheney,1002177,-0.2
Al Downing,1003450,2.2
Rick Mahler,1007988,2.8
Jeff Suppan,633,1.9
Jack Lamabe,1007266,-0.7
Jim Lonborg,1007724,0.8
Johnny Podres,1010406,-0.2
Bob Purkey,1010572,3.6
Jim Slaton,1012054,0.4
Antonio Osuna,249,0.6
Andy Benes,1144,1.3
Jim Bruske,1001598,0.0
Ryne Duren,1003586,0.0
Danny Graves,326,-0.9
Mike MacDougal,612,0.1
Dave Lee,1843,0.0
Clay Carroll,1001997,0.4
Bennie Daniels,1002968,1.3
Andy Pettitte,840,5.1
Bartolome Fortunato,2213,-0.3
Burt Hooton,1006005,3.3
Chad Bradford,904,1.5
John Tsitouris,1013208,-0.1
Scott Linebrink,564,0.5
Ramiro Mendoza,836,-0.1
David Wells,855,2.3
Casey Janssen,7355,1.2
Mike Jeffcoat,1006378,0.0
Rick Reuschel,1010852,4.7
Mike Jackson,732,0.7
Doug Davis,1244,2.2
Erasmo Ramirez,1699,0.0
Adam Wainwright,2233,6.2
Matt Daley,7952,0.1
Vida Blue,1001094,1.0
Juan Guzman,1005162,2.8
Barry Manuel,1008084,-0.5
Billy Muffett,1009286,0.1
Carlos Silva,973,1.7
Joe Nathan,1122,3.1
Jesse Jefferson,1006380,0.9
Bob Ojeda,1009756,1.0
Jim Rooker,1011183,5.4
Jason Bere,266,0.8
Tim Worrell,1139,0.7
Guillermo Mota,1467,0.6
Bob Forsch,1004233,1.4
Paul Gibson,1004671,-0.4
Gordon Jones,1006558,-0.3
Pascual Perez,1010185,2.9
Dan Spillner,1012342,0.3
Pete Burnside,1001718,1.0
Bud Daley,1002942,-0.4
John Moses,1009243,0.0
Don Schwall,1011657,0.0
Craig Swan,1012754,1.7
Dennis Springer,672,-0.4
Jay Powell,1271,-0.1
Aaron Miles,1844,0.0
Ken Schrom,1011620,0.8
Dave Stewart,1012519,5.1
Derek Lowe,199,2.2
Dan Miceli,1463,0.0
Ken Ray,1986,-0.2
Chris Young,3196,0.3
Dennis Lamp,1007284,0.0
Mike Marshall,1008144,4.4
John Montague,1009060,0.1
Luis Sanchez,1011408,-0.3
Kevin Jarvis,1037,0.8
Doug Johns,1006449,0.8
Les Lancaster,1007287,0.2
Bill Long,1007727,-0.1
Jon Matlack,1008246,0.8
Sean Green,3001,-0.2
Bob Bruce,1001573,4.9
Joe Hoerner,1005895,0.7
Mike McCormick,1008420,-0.8
Rick Waits,1013494,0.6
Wilbur Wood,1014248,7.4
Paul Quantrill,669,0.9
Gil Meche,1089,-0.3
Zach Miner,3193,-0.3
Bob Gibson,1004662,4.3
Neal Heaton,1005568,-0.1
Bill Krueger,1007175,0.8
Mike Munoz,1009328,0.6
Phil Regan,1010785,0.4
Doug Creek,1202,0.1
Tanyon Sturtze,1230,1.4
Jared Burton,8346,0.9
John Candelaria,1001909,1.8
Eric Gunderson,1005144,0.4
John Wyatt,1014303,1.0
Keith Osik,1001,-0.1
Matt Lindstrom,4604,0.8
Ken Forsch,1004234,2.4
Bill Risley,1010986,-0.3
Ted Lilly,833,3.8
John Grabow,1848,-0.4
Francisley Bueno,5980,0.4
Andy Hassler,1005480,0.4
Ray Herbert,1005684,2.4
Dan Schatzeder,1011527,-0.4
Pete Schourek,1011608,0.8
Livan Hernandez,1116,2.0
Don Nottebart,1009651,0.9
Kevin Millwood,106,4.3
Randy Choate,813,0.0
Wandy Rodriguez,2586,3.5
Joe Boever,1001118,0.4
Frank DiPino,1003320,0.8
Kevin Gross,1005088,3.4
Barry Latman,1007377,-1.1
Joe Magrane,1007973,-0.2
Fritz Peterson,1010227,1.3
Bryn Smith,1012104,2.5
Rolando Arrojo,174,2.2
Brian Sikorski,7603,0.1
Paul Maholm,8678,0.5
Billy Brewer,1001404,0.1
Dave Leonhard,1007540,-0.6
Gabe White,360,0.4
Dave Mlicki,569,2.7
David Cone,1680,3.8
Fred Beene,1000774,0.2
Nelson Briles,1001432,0.4
Mark Gubicza,1005115,2.7
Bob Humphreys,1006184,-1.0
Luis Tiant,1013054,3.6
Brad Lidge,563,2.2
Geoff Geary,1813,0.6
Chris Jakubauskas,7831,0.0
Bud Black,1001007,0.6
Jerry Dipoto,1003321,0.7
Steve Farr,1003953,1.5
Mike Garcia,1004507,0.1
Ron Perranoski,1010201,0.3
J.C. Romero,754,0.0
Jorge Sosa,1228,-0.3
Paul Wilson,1234,2.0
Tom Edens,1003671,1.4
Blue Moon Odom,1009726,-0.1
Marty Pattin,1010074,1.0
Walt Terrell,1012924,1.7
Bartolo Colon,375,1.4
Joe Blanton,4849,2.5
Dustin McGowan,8600,0.1
Ryota Igarashi,10232,-0.3
Ray Sadecki,1011360,0.4
Lee Smith,1012175,1.5
Brooks Kieschnick,389,0.3
Eric Gagne,650,0.9
Glendon Rusch,707,-0.9
Kyle Lohse,739,0.5
Carlos Reyes,1721,-0.6
Joe Beckwith,1000758,-0.4
Pedro Borbon,1289,0.0
Oliver Perez,1514,0.8
Bert Blyleven,1001098,0.3
Orel Hershiser,1005741,0.7
Mike Perez,1010184,0.1
Amauri Sanit,5436,0.0
Tim Burke,1001692,0.6
John Frascatore,1004304,-0.2
Rich Gossage,1004894,3.5
Joe Klink,1007012,0.2
Luis Salazar,1011378,0.0
Dave Smith,1012117,0.2
Will Ohman,296,-0.5
Javier Vazquez,801,4.9
Bobby Seay,1225,0.8
C.J. Wilson,3580,2.6
Willie Fraser,1004306,-0.7
Bill Lee,1007448,0.7
Bruce Ruffin,1011294,0.5
Don Wengert,1013777,0.0
Tom Glavine,90,3.6
Mark Redman,491,2.1
Dennis Martinez,1008161,1.0
Ralph Terry,1012929,0.2
Scott Schoeneweis,33,0.9
Joe Dawley,1632,-0.1
Mike Birkbeck,1000981,-0.2
Dave Dravecky,1003486,3.0
Tony Fossas,1004242,0.6
Marvin Freeman,1004326,2.1
Larry Gura,1005150,1.3
Antonio Alfonseca,260,0.3
Jim Mecir,930,1.2
Kevin Correia,1767,0.9
David Cortes,1798,0.1
Marty McLeary,2022,0.3
Hideki Okajima,7763,1.1
Jim Brewer,1001406,0.8
Erik Hanson,1005333,3.0
Greg Harris,1005416,0.2
Larry Sherry,1011883,0.1
Randy St. Claire,1012443,-0.1
Scott Terry,1012930,1.2
Jared Fernandez,324,0.5
Eddie Guardado,727,1.2
Bill Fischer,1004066,2.0
Craig Skok,1012041,0.0
Pablo Torrealba,1013135,-0.1
Jim Umbricht,1013277,1.2
Cecil Upshaw,1013292,0.5
Jason Grilli,521,1.0
