Name,playerid,WAR29,WAR30
Freddy Garcia,1077,3.1,0.2
Aquilino Lopez,1671,-0.3,0.2
Mike Cuellar,1002853,6.1,5.1
Rich DeLucia,1003185,-0.2,0.3
Dan Petry,1010246,0.3,-0.6
Ed Roebuck,1011118,0.2,-0.6
Mel Stottlemyre,1012579,4.4,2.4
Brian Anderson,44,0.3,1.6
Jim Brower,313,0.3,0.6
Billy Wagner,578,2.0,1.7
Valerio de los Santos,681,0.4,-0.4
Chad Qualls,2170,1.8,0.9
Devern Hansack,4939,-0.2,0.1
Tom Griffin,1005054,-0.6,-0.5
Ricky Horton,1006036,0.5,-0.2
Octavio Dotel,555,1.7,1.6
Jason Schmidt,1131,4.5,6.6
Bryce Florie,1004172,1.0,0.3
John Morris,1009219,0.5,-0.2
Steve Stone,1012573,1.7,2.2
Greg Aquino,1899,0.0,-0.1
Jerry Augustine,1000365,-1.0,-0.4
Storm Davis,1003080,0.1,0.8
Dennis Kinney,1006946,0.0,-0.1
Andy McGaffigan,1008497,1.9,2.0
Vern Ruhle,1011297,2.2,1.2
Bobby Jones,1039,1.3,1.0
Ron Meridith,1008782,0.1,-0.5
Victor Santos,446,0.9,-0.8
John Franco,874,1.3,1.3
Turk Wendell,975,0.3,-0.2
Brandon Backe,1529,0.1,-0.4
Bob Babcock,1000394,-0.2,-0.1
Doug Bair,1000439,0.6,0.1
Charlie Leibrandt,1007492,3.7,4.4
Orlando Pena,1010150,3.4,1.3
Keith Atherton,1000348,-0.2,-0.6
Bruce Berenyi,1000864,2.5,0.2
Don Cardwell,1001941,2.2,0.1
Dick Hughes,1006152,3.0,0.1
Jerry Reed,1010769,-0.2,0.4
Francisco Cordero,1243,2.7,1.4
Ed Glynn,1004789,0.4,0.0
Joey Jay,1006373,0.7,0.6
Jerry Koosman,1007103,2.9,4.4
Curt Schilling,73,4.7,8.2
Dustin Hermanson,195,0.0,0.1
Kent Mercker,439,0.9,2.3
Tyler Yates,1527,0.5,0.4
Rick Anderson,1000241,0.5,-0.2
Scott Bankhead,1000510,0.1,0.2
Wally Whitehurst,1013896,1.2,0.6
C.J. Nitkowski,570,0.1,0.0
Jose Bautista,1000694,0.0,-1.6
Pat Clements,1002339,0.1,0.2
Jim Gott,1004898,0.0,-0.1
Al Hrabosky,1006116,0.3,-0.7
Claude Osteen,1009878,5.5,3.1
Tom Seaver,1011708,5.1,7.8
Mike Stanton,1012421,1.8,1.1
Jae Seo,895,0.0,-0.2
Don Carman,1001967,-1.3,-0.9
Jim Coates,1002374,0.8,0.0
Rawly Eastwick,1003648,-0.2,0.3
Jim Kern,1006868,2.0,4.7
Jim Maloney,1008039,2.3,-0.5
Bob Shaw,1011819,3.3,1.7
Sidney Ponson,161,0.5,-0.2
Ron Villone,1010,2.4,0.2
Jim Clancy,1002255,1.6,3.1
Ron Guidry,1005124,3.9,2.8
Jack Kralick,1007135,3.0,0.6
Paul Reuschel,1010851,-0.3,0.7
Mike Magnante,929,0.2,0.1
Ugueth Urbina,216,1.3,0.1
Lance Painter,1675,0.1,-0.2
Craig Lefferts,1007476,-0.2,0.6
Joe Mays,740,0.4,-0.5
Al Fitzmorris,1004119,2.6,3.7
Danny Jackson,1006295,-0.5,2.8
Joe Niekro,1009582,0.1,0.8
Mike Proly,1010545,0.9,-0.3
Bill Sampen,1011395,-0.1,-0.1
Scott Sanders,1011423,0.2,-0.1
Mark Williamson,1014022,1.6,0.7
Miguel Batista,46,-0.9,1.3
Terry Adams,946,1.9,1.5
Hank Aguirre,1000087,2.1,-0.2
Dennis Eckersley,1003660,3.2,4.3
John Hiller,1005817,0.2,2.8
Gaylord Perry,1010210,5.5,5.9
Rick Wise,1014155,2.7,3.1
Mike Stanton,849,0.7,1.4
Jim Bouton,1001241,0.0,0.6
Kelly Downs,1003453,1.0,-0.4
Todd Frohwirth,1004374,1.1,0.3
Al Jackson,1006288,2.3,2.9
Geoff Zahn,1014410,0.7,0.2
Jon Lieber,287,4.5,4.4
Dave Borkowski,2002,0.4,0.1
Don Drysdale,1003516,4.1,4.3
Tim Scott,1011694,-0.3,0.0
Ed Whitson,1013911,2.6,2.0
Jose Cabrera,679,0.0,0.4
Josh Towers,1489,-0.5,0.6
Fernando Arroyo,1000327,1.0,-0.4
Tim Crews,1002765,1.1,0.5
Rich Garces,189,1.3,0.5
Jason Isringhausen,1158,2.5,0.9
John Smoltz,115,8.4,6.7
Jason Boyd,1020,-0.6,0.1
J.R. Richard,1010913,8.9,3.8
Dick Tidrow,1013056,1.5,0.5
Mike Morgan,67,2.5,2.1
Jeremy Affeldt,583,0.4,0.5
Jason Frasor,1906,1.0,-0.1
Catfish Hunter,1006199,5.7,3.9
Kirt Ojala,1009755,0.1,0.0
Earl Stephenson,1012492,0.0,0.0
Dennys Reyes,444,0.9,-0.1
Julian Tavarez,541,1.0,1.1
Al Leiter,883,3.0,3.4
Doyle Alexander,1000122,2.9,1.6
Larry McWilliams,1008700,4.3,2.9
Randy Moffitt,1009027,0.3,-0.6
Scott Ruskin,1011309,0.0,-0.3
Ron Taylor,1012885,0.9,0.5
Aaron Heilman,1751,-0.4,0.3
J.J. Putz,1795,3.4,2.1
Grant Jackson,1006298,0.9,0.7
Paul Wagner,1013490,-0.5,-0.3
Troy Percival,29,0.6,0.2
Mike Porzio,252,-0.6,0.2
Sean Lowe,994,0.1,1.6
Darren Hall,1005240,0.5,0.0
Kent Tekulve,1012905,1.7,1.3
Armando Reynoso,72,0.7,1.4
Juan Cruz,273,0.5,-0.1
Mark Wohlers,414,-0.1,0.0
Lindy McDaniel,1008441,0.5,1.9
Scott Nielsen,1009586,-0.7,0.0
Pedro Ramos,1010681,2.4,0.8
Mike Witt,1014174,1.4,0.0
Juan Acevedo,458,-0.3,0.1
Luis Aquino,1000285,1.5,0.0
Bob Johnson,1006430,0.1,-0.2
Lerrin LaGrow,1007255,-0.8,-0.2
A.J. Sager,1011369,0.3,0.1
Kris Benson,982,4.0,1.3
Buddy Carlyle,2010,0.5,0.5
Woodie Fryman,1004381,3.0,2.4
Frank LaCorte,1007239,0.6,-0.6
Dave LaRoche,1007354,0.3,0.6
Erik Bedard,126,1.0,2.0
Nate Field,599,-0.1,0.0
Josh Fogg,989,1.7,1.3
Chan Ho Park,1267,1.0,-0.4
Kenny Rogers,1277,2.5,3.0
Gary Lavelle,1007389,0.9,1.3
Terry Mathews,1008241,0.3,0.7
Jeff Schwarz,1011658,0.2,0.0
Sparky Lyle,1007859,2.0,2.0
Charles Hudson,1006134,1.0,-1.1
Shane Rawley,1010719,1.6,1.7
Mark Ross,1011233,-0.1,0.0
Dave Stenhouse,1012482,-0.1,0.0
Kevin Appier,3,5.2,0.0
Scot Shields,35,2.2,1.6
Luis Vizcaino,714,0.4,0.3
Charlie Hough,1006050,0.5,0.0
Ron Musselman,1009409,-0.1,0.6
Roger Nelson,1009511,0.0,0.8
Amaury Telemaco,1802,0.5,-0.4
John Habyan,1005176,0.3,0.9
Jack Hamilton,1005274,0.4,-0.3
Bill Short,1011929,0.0,0.3
Travis Harper,1211,-0.9,0.0
Michael Wuertz,1856,0.1,2.3
Steve Barber,1000530,0.6,0.9
Ed Farmer,1003935,1.9,0.1
Teddy Higuera,1005799,5.9,2.2
Carl Morton,1009230,4.4,5.9
Jim Palmer,1009973,6.9,4.2
Charlie Williams,1013980,-0.5,-0.7
Nelson Cruz,554,0.0,-0.2
Kyle Snyder,1689,-0.5,-0.2
Jim Poole,1010435,0.3,0.1
Denny Neagle,441,3.1,0.3
Vic Darensbourg,516,0.5,0.6
Hideo Nomo,666,1.4,2.1
Kirk Rueter,1128,1.2,0.8
Doc Medich,1008714,2.4,1.9
Bruce Sutter,1012743,0.2,0.5
Albert Williams,1013971,0.9,-0.1
Mike Buddie,678,0.1,0.2
Danny Darwin,1002996,1.3,3.2
Pat Jarvis,1006363,5.5,1.3
Damaso Marte,247,0.5,0.2
Jake Westbrook,412,1.7,0.3
Jose Lima,475,0.0,1.0
Ryan Dempster,517,0.9,0.2
Dave Burba,1239,2.3,1.1
Glenn Abbott,1000010,2.5,1.4
Jim Constable,1002546,0.4,0.0
Mike Henneman,1005656,1.8,1.2
Alejandro Pena,1010140,1.7,1.1
Paul Splittorff,1012346,0.9,3.7
David Riske,402,0.0,0.1
Todd Jones,436,1.8,0.3
Orlando Hernandez,823,3.4,2.4
Joel Pineiro,1094,0.6,4.3
Dave Baldwin,1000477,0.9,-0.4
Ken Brett,1001402,-0.3,0.5
Bill Graham,1004926,0.1,0.0
Billy Hoeft,1005893,2.7,1.4
Dave Wickersham,1013917,3.1,0.9
Kevin Gryboski,91,0.1,0.3
Ray King,693,0.6,0.8
Pedro Feliciano,1601,0.9,0.8
Xavier Hernandez,1005715,0.9,0.0
Craig McMurtry,1008651,-0.3,-0.5
Mike Mohler,1009033,0.2,0.4
Tom Phoebus,1010301,0.0,-0.3
John Smiley,1012084,2.6,4.3
John Tudor,1013215,1.8,2.5
Matt Herges,780,-0.1,1.5
Juan Agosto,1000084,0.0,-0.6
Richard Dotson,1003424,-0.4,0.8
Bobby Locke,1007687,0.1,-0.1
Scott Proctor,1911,1.2,-0.5
Bryan Clark,1002270,0.1,0.1
Terry Fox,1004284,-0.3,-0.3
Stan Spencer,1012329,0.5,-0.1
Ramon Ortiz,27,1.6,0.8
Tyler Walker,901,-0.2,0.6
Rigo Beltran,1916,0.2,-0.2
Gil Heredia,1005686,2.4,0.3
Dennis Higgins,1005788,-0.2,0.5
Tim Lollar,1007715,0.1,-0.8
Roger McDowell,1008475,0.8,0.1
A.J. Burnett,512,2.9,2.3
John Cerutti,1002106,1.9,-0.3
Ron Davis,1003075,0.7,-0.8
Jeff Parrett,1010019,-0.1,0.8
Howie Reed,1010766,-0.3,0.5
Sammy Stewart,1012528,0.3,-0.3
Oscar Zamora,1014416,1.4,-1.5
Derrick Turnbow,1694,1.0,-0.4
Jay Ritchie,1010988,0.4,0.2
Mike Myers,68,0.0,0.0
Josh Kinney,3638,0.1,-0.4
Jeff Innis,1006266,-0.3,-0.3
Vicente Romo,1011177,0.3,-0.9
Dave Schmidt,1011580,0.9,2.2
Mike Torrez,1013134,3.3,2.3
John Boozer,1001194,0.7,-0.8
Bill Castro,1002077,-0.1,0.3
Reggie Cleveland,1002347,2.7,1.0
Dick Drago,1003475,1.9,0.8
La Marr Hoyt,1006114,2.9,3.2
Rich Monteleone,1009068,1.1,-0.5
Wayne Twitchell,1013244,1.7,-1.5
John Johnstone,1006475,0.5,0.8
Bob Miller,1008877,0.7,1.7
Mel Rojas,1011153,2.0,-0.2
Chris Booker,2039,-0.1,-0.2
Diego Segui,1011725,0.6,0.3
Bob Shirley,1011911,1.0,0.9
Jack Spring,1012362,-0.4,0.0
