Name,playerid,WAR36,WAR37,WAR38,WAR39
Mike Cuellar,1002853,2.5,3.3,3.3,-0.2
John Franco,874,1.3,0.9,0.9,0.6
Jerry Koosman,1007103,5.5,3.8,2.0,3.7
Curt Schilling,73,5.6,6.5,1.7,4.6
Tom Seaver,1011708,1.8,0.3,2.4,3.2
Ron Villone,1010,-0.1,-0.1,-0.2,-0.5
Jamie Moyer,1091,4.6,1.8,3.0,3.8
Koji Uehara,9227,1.2,0.8,3.1,1.1
Joe Niekro,1009582,2.2,4.2,3.1,2.0
Miguel Batista,46,2.2,-1.3,0.1,-0.5
Dennis Eckersley,1003660,1.7,3.1,2.0,0.9
Gaylord Perry,1010210,7.0,5.1,5.2,5.9
Mike Stanton,849,0.0,0.6,0.3,1.2
Geoff Zahn,1014410,3.5,2.5,3.6,0.2
John Smoltz,115,2.9,2.1,5.2,5.5
Mike Morgan,67,1.0,2.6,0.2,0.4
Takashi Saito,6021,3.1,2.0,1.6,0.3
Al Leiter,883,3.2,2.4,1.5,0.5
Grant Jackson,1006298,-0.7,0.6,0.0,-0.9
Kent Tekulve,1012905,1.9,0.2,0.2,2.0
Lindy McDaniel,1008441,0.3,1.6,1.3,1.1
Woodie Fryman,1004381,2.6,-0.3,1.1,0.5
Kenny Rogers,1277,0.8,2.7,2.5,3.2
Charlie Hough,1006050,3.1,3.6,1.8,3.7
Danny Darwin,1002996,3.1,2.9,0.8,-0.4
Todd Jones,436,0.9,2.4,1.0,0.7
Matt Herges,780,0.3,0.4,0.5,0.3
Ted Abernathy,1000020,0.0,0.3,0.1,0.3
David Wells,855,3.9,6.2,1.7,4.5
Rick Reuschel,1010852,5.2,2.8,5.0,3.9
Joe Nathan,1122,-0.1,1.7,2.4,0.2
Bob Forsch,1004233,2.2,2.5,0.3,-0.6
Derek Lowe,199,1.9,1.8,1.4,1.3
Bob Gibson,1004662,6.4,4.5,1.3,-0.2
Hal Brown,1001520,2.5,-0.1,1.8,-0.1
Luis Tiant,1013054,2.6,2.4,2.8,2.2
Hiroki Kuroda,3283,3.0,3.3,3.3,3.1
Bert Blyleven,1001098,2.2,3.2,5.3,1.7
Orel Hershiser,1005741,2.5,3.8,1.4,1.3
Tom Glavine,90,2.9,1.3,2.6,3.7
Dennis Martinez,1008161,4.2,3.8,1.9,3.6
Tony Fossas,1004242,0.0,1.0,-0.2,-0.2
Jason Grilli,521,1.5,0.3,1.3,0.0
Greg Maddux,104,3.9,3.6,2.6,3.3
Jim Bunning,1001653,0.6,3.8,4.1,0.6
Mark Gardner,1004529,2.0,-0.2,2.0,-0.3
Don McMahon,1008629,0.1,0.3,0.8,0.9
Mike Timlin,1187,-0.3,1.0,0.7,1.8
Trevor Hoffman,1035,1.8,1.7,1.3,1.9
Gene Garber,1004493,0.9,0.8,2.0,0.7
Harvey Haddix,1005184,1.8,0.6,2.0,-0.7
Robin Roberts,1011046,2.0,2.9,2.9,0.8
David Weathers,902,-0.4,1.3,0.0,-0.7
Mike Mussina,837,2.6,5.2,2.6,3.6
Tom Candiotti,1001911,2.5,2.7,1.1,0.2
Mike Remlinger,111,1.5,0.1,0.6,-0.1
Jesse Orosco,667,2.0,0.1,1.0,0.8
Rick Honeycutt,1005992,0.9,0.0,0.8,0.2
Steve Carlton,1001964,5.3,8.2,7.4,3.9
Jim Kaat,1006660,5.1,2.9,1.0,1.7
Stu Miller,1008935,1.1,2.3,1.2,0.3
Al Worthington,1014260,0.5,1.8,0.9,1.1
Brian Shouse,630,0.0,-0.2,1.2,0.4
Mariano Rivera,844,2.2,2.0,3.0,2.0
Dick Hall,1005241,0.9,-0.1,1.0,0.3
Tom Gordon,282,2.8,0.9,0.7,-0.2
R.A. Dickey,1245,2.6,4.6,1.9,1.7
Rudy Seanez,1279,1.5,-0.2,0.5,0.2
Fergie Jenkins,1006388,2.0,2.7,0.3,2.9
Don Sutton,1012745,3.9,4.6,3.4,3.3
Jose Mesa,961,0.6,-0.1,0.6,-0.3
Fernando Rodney,494,1.2,1.0,-0.8,0.4
Terry Mulholland,665,2.1,1.1,-0.1,-0.4
Larry Andersen,1000236,2.3,2.7,1.7,0.8
Tommy John,1006515,6.9,4.7,1.6,3.9
Greg Harris,1005415,0.5,1.2,-0.2,0.3
Jerry Reuss,1010853,2.6,-0.4,0.9,2.3
Tom Burgmeier,1001668,3.0,0.4,1.4,1.4
Jamey Wright,715,-0.1,0.6,0.5,0.3
Lew Burdette,1001662,0.9,0.8,0.4,0.6
Roger Clemens,815,3.2,3.6,5.6,4.3
