"Name","playerid","WAR21","WARextra","Cluster"
"Ken Brett","1001402","2","2","A"
"Jerry Garvin","1004558","1.9","1.9","C"
"Wayne Simpson","1011999","1.7","1.7","B"
"Huston Street","   8258","1.7","1.7","B"
"Zack Greinke","   1943","2","2","A"
"Dave Morehead","1009156","1.9","1.9","C"
"Larry Dierker","1003288","1.9","1.9","C"
"Billy McCool","1008409","1.9","1.9","C"
"Steve Trout","1013197","2.1","2.1","A"
"Jose Rijo","    349","1.7","1.7","B"
"Jerry Reuss","1010853","2","2","A"
"Gary Nolan","1009616","1.7","1.7","B"
"Jerome Williams","   1137","2","2","A"
"Al Santorini","1011444","2","2","A"
"Jake Peavy","   1051","1.7","1.7","B"
"John Mitchell","1009003","1.8","1.8","D"
"Ray Culp","1002869","2.1","2.1","A"
"Mark Lemongello","1007521","1.8","1.8","D"
"Pedro Martinez","    200","1.7","1.7","B"
"Moose Haas","1005172","1.8","1.8","D"
