Name,playerid,WAR21,WARextra,Cluster
Abe Alvarez,6259.0,-0.2,-0.2,A
Joey Nation,1009462.0,-0.1,-0.1,A
Julio Valera,1013331.0,0.0,0.0,A
Dave Dowling,1003446.0,0.0,0.0,A
Rich Robertson,1011044.0,0.0,0.0,A
Gerry Schoen,1011598.0,-0.1,-0.1,A
Ron Bryant,1001608.0,-0.3,-0.3,A
Curt Schilling,73.0,-0.3,-0.3,A
Kent Mercker,439.0,0.0,0.0,A
Bruce Von Hoff,1013452.0,0.0,0.0,A
Fred Holdsworth,1005944.0,-0.1,-0.1,A
Danny Coombs,1002582.0,0.0,0.0,A
Chris Knapp,1007026.0,0.0,0.0,A
Onan Masaoka,1008209.0,-0.2,-0.2,A
Miguel Batista,46.0,-0.1,-0.1,A
Larry Demery,1003192.0,0.0,0.0,A
Bob Kaiser,1006671.0,-0.3,-0.3,A
Steve Dillon,1003308.0,-0.1,-0.1,A
Fred Newman,1009542.0,-0.2,-0.2,A
Chris Batton,1000676.0,-0.1,-0.1,A
Dick Burwell,1001741.0,-0.1,-0.1,A
Julian Tavarez,541.0,-0.1,-0.1,A
Charlie Vaughan,1013379.0,-0.1,-0.1,A
Mike Cosgrove,1002651.0,0.0,0.0,A
John Duffie,1003527.0,0.0,0.0,A
Mark Wohlers,414.0,-0.1,-0.1,A
Tom Carroll,1002007.0,-0.3,-0.3,A
Lerrin LaGrow,1007255.0,-0.1,-0.1,A
Buddy Carlyle,2010.0,0.0,0.0,A
Fred Lasher,1007366.0,-0.1,-0.1,A
Chan Ho Park,1267.0,-0.1,-0.1,A
Mike Darr,1002992.0,-0.2,-0.2,A
Kevin Appier,3.0,-0.2,-0.2,A
Ben McDonald,1008454.0,-0.2,-0.2,A
Ed Farmer,1003935.0,-0.2,-0.2,A
Jim Palmer,1009973.0,-0.1,-0.1,A
John Gelnar,1004608.0,-0.2,-0.2,A
Joey Devine,9862.0,-0.3,-0.3,A
Jose Lima,475.0,0.0,0.0,A
Ryan Dempster,517.0,-0.3,-0.3,A
Ed Barnowski,1000583.0,0.0,0.0,A
Joel Pineiro,1094.0,-0.1,-0.1,A
Rosario Rodriguez,1011112.0,-0.1,-0.1,A
John Smiley,1012084.0,-0.1,-0.1,A
Morrie Steevens,1012458.0,0.0,0.0,A
Mike Torrez,1013134.0,-0.2,-0.2,A
John Cumberland,1002871.0,-0.2,-0.2,A
Tim Drew,380.0,0.0,0.0,A
Jason Grimsley,602.0,-0.3,-0.3,A
Edinson Volquez,3990.0,-0.2,-0.2,A
Victor Cruz,1002845.0,-0.1,-0.1,A
Bob Watkins,1013668.0,-0.2,-0.2,A
Rudy Arroyo,1000329.0,-0.2,-0.2,A
Clint Compton,1002487.0,0.0,0.0,A
Al Downing,1003450.0,0.0,0.0,A
Jim Roland,1011156.0,0.0,0.0,A
Scott Olsen,4529.0,-0.1,-0.1,A
Jim Ray,1010726.0,0.0,0.0,A
Felix Heredia,1304.0,0.0,0.0,A
Ed Sukla,1012676.0,-0.1,-0.1,A
Mike Jackson,732.0,-0.2,-0.2,A
Dave Stewart,1012519.0,0.0,0.0,A
Aaron Myette,1263.0,-0.1,-0.1,A
Jim Gideon,1004678.0,-0.1,-0.1,A
Mike Thompson,1013020.0,0.0,0.0,A
Rick Waits,1013494.0,0.0,0.0,A
Terry Felton,1003979.0,0.0,0.0,A
Livan Hernandez,1116.0,0.0,0.0,A
Al Neiger,1009488.0,-0.3,-0.3,A
Jose Roman,1011166.0,-0.2,-0.2,A
Francisco Barrios,1000603.0,0.0,0.0,A
Bob Garibaldi,1004535.0,0.0,0.0,A
Melido Perez,1010183.0,0.0,0.0,A
Chuck Nieson,1009592.0,0.0,0.0,A
John Papa,1009982.0,0.0,0.0,A
Brian Falkenborg,1859.0,0.0,0.0,A
Dave Fleming,1004145.0,0.0,0.0,A
Scott Munninghoff,1009324.0,0.0,0.0,A
Larry Anderson,1000235.0,0.0,0.0,A
Jim Pittsley,1010379.0,-0.3,-0.3,A
Tom Glavine,90.0,0.0,0.0,A
Byron McLaughlin,1008609.0,-0.1,-0.1,A
Mac Suzuki,1485.0,0.0,0.0,A
Jason Marquis,105.0,-0.1,-0.1,A
Frank MacCormack,1007898.0,-0.2,-0.2,A
Dave Cheadle,1002170.0,-0.2,-0.2,A
Mike Hampton,430.0,-0.1,-0.1,A
Steve Kealey,1006727.0,0.0,0.0,A
Wilson Alvarez,1193.0,-0.2,-0.2,A
Gene Garber,1004493.0,-0.3,-0.3,A
Greg Heydeman,1005760.0,0.0,0.0,A
Rich Hunter,1006206.0,-0.2,-0.2,A
Larry Landreth,1007304.0,-0.1,-0.1,A
Chad Durbin,1442.0,0.0,0.0,A
Odalis Perez,668.0,0.0,0.0,A
John Dopson,1003404.0,-0.2,-0.2,A
Lowell Palmer,1009974.0,-0.3,-0.3,A
Jamie Easterly,1003639.0,0.0,0.0,A
Jack Warner,1013634.0,-0.2,-0.2,A
Lee Tunnell,1013218.0,0.0,0.0,A
