playerid, trueWAR, predWAR 
1157, 1.20, 0.13
1245, 1.60, 0.91
1246, 0.60, 1.11
1581, 1.80, 0.64
1837, 0.60, 0.32
2391, 0.30, 0.81
2608, 2.40, 0.87
3192, 0.80, 0.95
3201, 0.80, 1.59
3284, 0.40, 1.42
3340, 0.90, 0.98
3374, 0.10, 1.29
3548, 1.00, 0.48
3555, 0.50, 0.27
3656, 0.20, 0.72
3990, 1.00, 1.19
4026, -0.20, 1.51
4070, 1.00, 0.55
4090, -0.10, 0.61
4141, -1.00, 0.88
4264, 0.40, 0.92
4301, 1.10, 0.47
4505, 1.00, 1.22
4538, 2.20, 1.50
4662, 2.40, 1.11
4772, 0.40, 1.19
4849, -0.30, 0.75
4869, 1.20, 0.88
4878, 0.70, 0.68
5358, 0.40, 0.18
5640, 0.20, 0.57
6316, 0.60, 1.23
6483, 0.70, 0.71
6570, -0.50, 1.42
6627, 1.10, 0.98
6655, 3.30, 0.84
6661, 1.20, 0.82
6986, -0.20, 1.33
7005, 0.10, 0.30
7146, 0.10, 0.27
7293, 0.50, 0.51
7385, 0.50, 1.05
7441, 1.10, 0.56
7624, -0.30, 0.57
7731, 1.50, 0.98
7738, 0.00, 1.53
7754, 0.10, 1.56
7836, 0.80, 0.33
7841, 0.90, 0.48
8073, -0.10, 0.06
8137, 2.10, 2.28
8173, 0.00, 0.45
8241, 1.90, 0.90
8350, 0.40, 0.73
8490, -0.20, 0.47
8779, 0.80, 2.04
9111, 1.70, 1.19
9227, 0.60, 0.73
9239, 0.40, 0.28
9388, 2.20, 0.82
9425, 1.40, 0.41
9456, 0.20, 0.73
9460, 2.00, 1.09
9490, -0.30, 0.25
9492, 0.70, 0.71
9895, 1.10, 1.03
9939, 1.00, 0.15
10066, -0.20, 0.48
10123, 1.20, 0.91
10190, 0.90, 1.25
10430, 1.10, 0.92
10547, 4.80, 1.93
10756, 0.60, 0.70
10811, 1.80, 1.71
11432, 0.10, 0.19
11674, 2.90, 2.17
11710, -0.80, 0.36
11713, -0.90, 1.87
11720, -0.40, 0.52
11754, -0.30, 0.47
11801, -0.40, 0.49
11804, 1.00, 1.39
11836, 2.50, 1.52
11903, 0.40, 0.99
12076, 2.20, 0.69
12183, 1.50, 1.29
12638, 0.40, 1.30
12768, 2.80, 1.28
12890, 1.70, 0.63
12910, 1.80, 1.03
12917, 2.70, 1.44
12918, 2.10, 1.56
12970, 1.00, 1.73
13071, 0.50, 1.37
13133, 0.00, 0.67
13164, 2.20, 2.06
13194, 1.40, 0.32
13273, 0.70, 0.80
13360, 0.70, 0.73
13449, 0.40, 0.65
13475, 1.20, 1.23
13528, 0.70, 0.60
13533, 0.60, 1.01
13543, 1.80, 1.67
13607, 0.90, 0.49
13696, 0.60, 1.50
13758, 0.70, 1.65
13764, 2.90, 1.38
13781, 3.50, 1.24
13974, 0.00, 0.77
14078, 3.20, 1.60
14457, -0.10, 1.07
14710, 1.00, 2.01
14975, 1.90, 0.89
15440, 1.90, 1.46
15514, 1.10, 1.22
15873, 2.20, 2.36
15890, 5.80, 0.92
16980, 0.60, 0.92
17130, 1.80, 1.44
