playerid, trueWAR, predWAR 
375, 0.60, 1.84
404, 1.90, 1.94
1118, 2.50, 2.04
1246, 0.60, 1.09
1507, 0.50, 2.18
1890, 1.00, 2.10
1943, 5.10, 1.76
1994, 2.00, 1.73
2233, 1.50, 1.99
2608, 2.40, 1.55
3096, 3.60, 1.42
3192, 0.80, 1.11
3200, 2.90, 1.99
3240, 0.60, 1.29
3254, 3.80, 2.09
3374, 0.10, 1.55
3542, 3.50, 2.14
3656, 0.20, 1.08
3830, 0.80, 1.91
3990, 1.00, 1.71
4264, 0.40, 1.16
4338, 1.10, 1.68
4371, 0.10, 2.00
4538, 2.20, 1.79
4776, 0.30, 1.90
4972, 1.60, 2.35
5279, -1.00, 1.85
5372, 1.10, 2.22
5702, -0.70, 1.57
5867, 2.20, 1.89
6033, 0.10, 1.18
6216, 1.30, 1.41
6316, 0.60, 1.36
6345, 4.50, 2.49
6397, 0.10, 2.01
6627, 1.10, 1.22
6632, 5.50, 1.89
6785, 2.30, 1.48
6797, 1.10, 2.14
6902, 2.10, 1.64
6986, -0.20, 2.13
7024, 1.30, 1.54
7385, 0.50, 1.14
7410, 2.80, 2.12
7448, 3.40, 2.01
7531, 1.10, 2.07
7731, 1.50, 1.51
7754, 0.10, 1.71
8350, 0.40, 1.11
8753, 2.50, 2.24
8779, 0.80, 1.67
9111, 1.70, 1.26
9434, 2.40, 1.84
9895, 1.10, 1.25
10130, 3.10, 1.73
10233, 1.60, 1.36
10586, 0.90, 1.23
10587, 0.40, 1.84
10954, 4.30, 1.89
11189, 0.10, 1.78
11426, 3.20, 2.15
11486, 3.20, 2.26
11674, 2.90, 1.41
11682, 3.30, 2.21
11713, -0.90, 1.27
11828, 4.60, 1.68
12022, 0.50, 1.52
12664, 1.80, 2.09
12703, 3.20, 2.05
12763, 1.40, 1.55
12880, 1.10, 1.55
12910, 1.80, 1.18
12918, 2.10, 1.71
12972, 0.40, 1.47
13048, -0.30, 1.92
13074, 3.70, 1.71
13125, 3.10, 1.51
13183, 2.70, 1.81
13218, 3.50, 1.87
13361, 0.30, 1.74
13431, 3.30, 2.12
13543, 1.80, 1.42
13713, 0.60, 1.28
13764, 2.90, 1.19
14078, 3.20, 1.52
14107, 2.50, 2.11
14120, 3.00, 1.50
14457, -0.10, 1.61
14710, 1.00, 1.25
14916, 3.20, 2.14
15514, 1.10, 1.65
15873, 2.20, 1.67
16137, 0.60, 1.98
16149, 4.20, 1.61
17130, 1.80, 1.29
18498, 2.00, 2.12
18719, 0.10, 1.34
