id,real,pred
18, -0.60, 0.28
36, -0.90, 0.91
375, 0.30, 1.19
404, 1.90, 1.10
521, -0.60, 0.25
1118, 2.50, 1.89
1157, 1.20, 0.30
1245, 1.30, 1.25
1247, 0.00, 0.32
1437, 0.20, -0.03
1507, 0.60, 2.65
1514, 0.40, 0.04
1581, 1.80, 0.24
1642, -0.70, 0.35
1837, 0.60, 0.40
1890, 1.00, 3.19
1994, 2.10, 1.94
2036, 4.30, 7.14
2170, 0.00, 0.50
2233, 1.40, 8.27
2391, 0.30, -0.05
2660, 1.10, 0.10
2717, 1.90, 5.13
2873, 0.10, 0.30
2882, 0.60, 0.58
2895, 0.40, 0.77
2929, 0.30, 1.20
2951, -0.20, 0.13
3096, 3.40, 0.50
3132, 0.10, 0.35
3137, 6.30, 4.72
3184, 1.40, 6.77
3192, 0.80, 0.51
3200, 2.90, 2.26
3201, 0.70, 2.19
3237, 0.20, 0.18
3240, 0.60, 1.06
3254, 3.80, 2.71
3281, 1.80, 0.41
3284, 0.60, 0.50
3299, 0.20, 0.37
3321, 0.70, 0.58
3340, 0.90, 0.70
3397, 0.20, 0.00
3542, 3.70, 2.20
3548, 1.00, 0.88
3656, 0.00, 0.71
3815, -0.30, 0.44
3830, 0.50, 1.09
3840, -0.20, 0.20
3926, -0.50, 0.00
3990, 0.90, 0.40
4020, 2.00, 0.40
4064, 0.80, 0.50
4070, 1.00, 1.20
4079, -0.20, 0.46
4090, -0.10, 0.72
4141, -0.90, 0.50
4153, 2.50, 3.26
4264, 0.40, 0.63
4300, 0.90, -0.10
4301, 1.20, 0.84
4363, 0.00, 1.82
4371, 0.20, 2.14
4505, 1.30, 3.45
4662, 2.10, 0.50
4676, 3.10, 0.50
4682, 2.60, 0.00
4696, 0.20, 1.03
4759, -0.10, 0.19
4776, 0.20, 1.79
4806, 2.20, 4.08
4869, 1.30, 0.29
4878, 0.70, 0.98
4930, 2.90, 3.84
4971, 0.30, 0.02
4972, 1.80, 3.01
4994, 0.30, 0.01
5003, 0.00, 0.54
5070, 0.20, 0.83
5114, 0.30, 0.50
5203, -1.00, 0.50
5279, -1.10, 1.55
5358, 0.30, 0.67
5401, 3.20, 0.13
5420, 0.10, 0.55
5448, 0.00, 0.50
5524, 1.60, 4.65
5525, 0.30, 0.55
5640, 0.20, 0.95
5702, -0.70, 1.64
5746, -0.30, 0.16
5867, 2.20, 2.33
5985, 1.20, 0.56
6033, 0.20, 1.13
6216, 1.20, 2.63
6249, 0.20, 0.65
6283, 0.90, 0.50
6316, 0.60, 0.13
6324, 0.30, -0.00
6345, 4.50, 3.54
6397, 0.10, 1.99
6435, 0.10, -0.05
6483, 0.70, 0.19
6499, -0.20, 0.55
6570, -0.60, 1.10
6612, 0.00, 0.26
6627, 1.00, 1.11
6632, 5.40, 1.36
6655, 3.20, 0.50
6661, 1.20, 0.94
6785, 2.30, 1.19
6797, 0.80, 2.56
6819, 0.10, 0.53
6832, 0.60, -0.01
6893, 1.20, 4.46
6895, 3.20, 1.20
6902, 2.30, 2.28
6941, 1.80, 0.57
6983, -0.10, 0.11
6984, 1.30, 0.19
6986, 0.00, 0.96
7005, 0.10, 1.16
7024, 1.50, 0.50
7059, -0.20, 0.20
7293, 0.50, 0.25
7312, -0.50, 0.35
7385, 0.40, 0.70
7396, 0.30, 0.53
7407, 0.10, -0.34
7410, 2.80, 1.98
7441, 1.10, 0.82
7448, 3.70, 3.08
7466, 2.20, 0.10
7501, 0.00, 0.17
7525, -0.20, -0.05
7531, 1.10, 0.75
7550, 1.60, 0.49
7555, 1.80, 0.03
7593, -0.30, 0.10
7608, -0.40, 0.30
7624, -0.30, 0.95
7677, -0.10, 0.35
7731, 1.50, 1.57
7738, 0.00, -0.59
7773, -1.20, 0.91
7836, 0.80, 0.17
7841, 0.90, 0.37
7872, -0.10, 1.26
8007, 0.00, 0.07
8041, -0.10, 0.51
8044, 1.90, 0.50
8073, -0.10, 0.49
8110, 1.50, 0.47
8137, 1.90, 0.94
8180, 0.00, 0.25
8185, -0.50, 1.06
8241, 1.90, 1.51
8245, -0.20, 0.22
