playerid, trueWAR, predWAR 
2233, 1.50, 1.89
7410, 2.80, 2.22
2036, 4.60, 4.71
7448, 3.40, 2.25
3137, 6.10, 3.59
6893, 1.20, 4.64
3201, 0.80, 1.92
3374, 0.10, 0.94
3830, 0.80, 1.51
3990, 1.00, 1.53
4972, 1.60, 2.51
3284, 0.40, 1.75
4538, 2.20, 1.73
4930, 2.70, 3.29
1245, 1.60, 1.29
4235, -1.00, 0.90
8700, 4.10, 3.38
2047, 0.00, 0.95
7059, -0.30, 1.06
1943, 5.10, 1.58
4772, 0.40, 0.93
3200, 2.90, 1.99
1507, 0.50, 2.21
404, 1.90, 1.53
14682, 1.70, 1.44
18498, 2.00, 2.47
13218, 3.50, 1.63
15873, 2.20, 1.78
375, 0.60, 2.05
11486, 3.20, 2.15
16137, 0.60, 2.02
12804, -0.10, 1.75
12918, 2.10, 1.72
13758, 0.70, 2.12
13183, 2.70, 1.36
11762, 1.40, 3.22
14457, -0.10, 0.83
14916, 3.20, 2.63
12664, 1.80, 1.94
11189, 0.10, 2.44
13431, 3.30, 3.03
13361, 0.30, 3.05
15514, 1.10, 1.41
15764, 2.80, 2.85
10547, 4.80, 1.34
12049, 2.40, 3.43
11682, 3.30, 2.68
11490, 0.00, 2.62
6895, 3.20, 1.53
6397, 0.10, 1.94
4776, 0.30, 2.49
12703, 3.20, 2.08
10587, 0.40, 1.59
7531, 1.10, 2.10
10954, 4.30, 3.41
6570, -0.50, 1.50
7738, 0.00, 1.40
4338, 1.10, 1.13
5867, 2.20, 2.35
6797, 1.10, 2.26
8753, 2.50, 2.45
3542, 3.50, 2.41
14107, 2.50, 2.56
9323, 3.00, 2.08
1890, 1.00, 1.86
6345, 4.50, 2.38
10123, 1.20, 1.74
5372, 1.10, 2.05
9460, 2.00, 1.80
14078, 3.20, 1.32
7754, 0.10, 1.38
11426, 3.20, 1.91
2429, 7.30, 3.70
13048, -0.30, 1.82
2929, 0.30, 0.74
6902, 2.10, 1.50
9434, 2.40, 1.62
11423, 3.90, 3.12
4026, -0.20, 1.71
8779, 0.80, 2.24
9388, 2.20, 0.52
10603, 7.70, 3.88
2608, 2.40, 1.17
8782, 2.00, 1.47
1118, 2.50, 1.31
1994, 2.00, 1.53
10131, 5.70, 4.28
6632, 5.50, 3.16
8137, 2.10, 1.49
4371, 0.10, 1.80
4153, 2.40, 2.23
10130, 3.10, 1.29
5524, 1.70, 3.22
3254, 3.80, 2.46
6986, -0.20, 1.65
5279, -1.00, 1.52
2717, 2.10, 3.07
9425, 1.40, 1.07
3184, 1.60, 3.95
