id,real,pred
18, 0.40, -0.01
36, 0.50, -0.02
225, 2.00, 1.58
375, 2.40, 2.57
404, 1.20, 0.42
494, -0.80, -0.01
512, 2.60, 1.30
521, 1.30, 1.12
583, -0.80, -0.23
718, -0.20, 0.52
729, 0.40, 0.69
739, -0.30, 0.50
769, -0.20, 0.50
813, 0.10, -0.40
921, 0.10, 0.47
1011, 0.00, 0.30
1051, 1.20, 1.66
1100, -0.20, 0.38
1118, 1.90, -0.03
1137, -0.10, 0.35
1157, 0.30, 0.34
1245, 1.80, 0.50
1247, 0.40, 1.44
1351, 0.20, 0.48
1370, 0.10, 0.60
1437, 0.20, 1.11
1478, 0.50, 0.15
1507, 3.50, 1.34
1514, 0.50, 0.37
1581, 0.30, 2.58
1642, 1.00, 0.09
1663, 0.30, 0.90
1701, -0.10, 0.90
1757, 1.00, 1.20
1767, 0.00, 1.17
1793, -0.20, 0.73
1797, -0.40, 1.65
1837, 0.10, 1.10
1841, 0.00, 0.50
1890, 0.30, 1.50
1906, 0.00, 0.50
1918, 0.40, 0.74
1943, 5.40, 3.20
1994, 0.50, 1.45
2036, 8.70, 6.58
2038, -0.10, 1.55
2047, 1.80, 1.00
2072, -0.80, 0.68
2155, 1.40, 0.69
2170, 0.40, 0.50
2203, 0.00, 0.48
2233, 0.90, 5.92
2267, -0.40, 0.13
2385, 0.10, 0.65
2391, 1.60, 0.83
2413, 0.10, 0.59
2429, 5.50, 3.49
2520, 3.00, 2.96
2540, -0.30, 0.11
2642, -0.50, 0.57
2646, 0.50, -0.06
2660, 1.30, 0.74
2692, -0.30, 0.40
2717, 1.70, 4.15
2859, -0.90, 0.11
2873, 0.20, -0.12
2882, 0.30, -0.08
2895, 0.90, 1.55
2929, 1.30, 0.53
3096, 1.60, 1.66
3132, 1.30, 0.73
3137, 6.40, 3.45
3184, 6.70, 4.22
3192, 0.40, 0.52
3200, 1.50, 3.41
3201, 3.30, 1.75
3220, -0.50, 0.21
3237, -0.10, 0.59
3240, 2.10, 0.63
3254, 2.30, 3.49
3271, 0.40, 0.92
3273, 0.20, 0.31
3281, 0.90, 0.38
3284, 1.30, 1.20
3292, -0.30, 0.60
3299, 0.40, 0.31
3321, 1.80, 0.97
3340, 0.40, 2.57
3357, 0.60, -0.09
3374, 2.60, 2.79
3507, -0.20, 0.15
3542, 1.20, 2.88
3543, 3.30, 3.00
3548, 1.50, 0.35
3580, 1.50, 0.81
3656, 0.30, 0.71
3762, 0.20, 0.01
3815, 1.60, 2.89
3830, 0.80, 3.07
3840, -0.50, 0.54
3855, 0.20, 1.73
3862, 0.60, 0.43
3886, 0.10, 0.61
3926, 0.80, 0.70
3959, -0.20, 0.58
3970, -0.50, 0.12
3990, 2.70, -0.01
3993, -0.80, 0.35
4020, -0.10, 1.68
4026, 0.60, 0.91
4064, -0.40, 0.07
4070, 1.00, 0.77
4079, 1.10, 0.61
4089, 0.10, 0.10
4090, 1.10, 0.76
4138, 0.20, 0.93
4141, -0.10, 1.34
4153, 7.00, 3.79
4235, 0.80, 1.59
4257, -0.20, 0.35
4264, 1.40, 2.10
4279, 0.40, 0.49
4300, 0.30, 0.17
4301, 1.50, 0.45
4359, 0.00, -0.00
4363, -0.60, 0.50
4371, 1.00, 0.34
4424, 0.60, 2.72
4505, 3.00, 4.16
4538, 2.30, 1.38
4620, 0.20, 0.26
4662, -0.30, 3.29
4664, 0.00, 0.24
4676, 0.70, 0.94
4682, 0.20, 0.80
4684, -0.10, 0.34
