id,real,pred
18, 0.40, 0.05
36, 0.50, 0.45
225, 2.00, 1.15
375, 2.40, 2.46
404, 1.20, 0.00
494, -0.80, 0.50
512, 2.60, 1.30
521, 1.30, 0.39
583, -0.80, 0.08
718, -0.20, 0.50
729, 0.40, 0.90
769, -0.20, 1.50
813, 0.10, 0.86
1051, 1.20, 0.97
1100, -0.20, 0.63
1118, 1.90, 0.50
1122, 0.00, -0.30
1137, -0.10, 0.50
1157, 0.30, 0.36
1245, 1.80, 2.51
1351, 0.20, -0.28
1370, 0.10, 0.85
1437, 0.20, 0.39
1478, 0.50, 0.97
1581, 0.30, 0.89
1642, 1.00, 0.71
1757, 1.00, 2.15
1837, 0.10, 0.57
1841, 0.00, 1.46
1890, 0.30, -0.06
1906, 0.00, 0.50
1918, 0.40, -0.05
1943, 5.40, 4.33
1994, 0.50, 1.93
2036, 8.70, 5.78
2047, 1.80, 2.77
2155, 1.40, 1.59
2170, 0.40, 0.48
2267, -0.40, -0.10
2332, -0.40, 0.05
2385, 0.10, 0.55
2391, 1.60, -0.22
2413, 0.10, 0.58
2429, 5.50, 2.68
2520, 3.00, 4.14
2608, 0.10, 2.19
2642, -0.50, 0.13
2646, 0.50, 0.17
2660, 1.30, 0.43
2692, -0.30, -0.03
2717, 1.70, 4.37
2859, -0.90, 0.35
2873, 0.20, -0.06
2882, 0.30, 0.19
2895, 0.90, 3.33
2929, 1.30, 0.06
3096, 1.60, 1.62
3132, 1.30, 0.94
3137, 6.40, 3.45
3184, 6.70, 5.09
3192, 0.40, 0.38
3200, 1.50, 2.77
3201, 3.30, 1.21
3220, -0.50, -0.02
3237, -0.10, 0.20
3240, 2.10, 0.44
3254, 2.30, 3.17
3271, 0.40, 0.07
3281, 0.90, 0.36
3284, 1.30, 1.85
3299, 0.40, 0.74
3321, 1.80, 0.58
3340, 0.40, 2.58
3357, 0.60, -0.04
3374, 2.60, 0.50
3542, 1.20, 2.46
3543, 3.30, 0.89
3548, 1.50, 1.22
3656, 0.30, 0.23
3815, 1.60, 1.81
3830, 0.80, 4.28
3840, -0.50, 0.89
3855, 0.20, 2.11
3862, 0.60, 0.50
3886, 0.10, 0.50
3959, -0.20, 0.51
3970, -0.50, 0.31
3990, 2.70, 0.50
4026, 0.60, 0.50
4064, -0.40, 0.42
4070, 1.00, 0.71
4079, 1.10, 0.86
4089, 0.10, 0.48
4090, 1.10, 0.50
4138, 0.20, 0.81
4141, -0.10, 1.04
4153, 7.00, 3.23
4235, 0.80, 1.61
4257, -0.20, 0.50
4264, 1.40, 2.59
4300, 0.30, 0.30
4301, 1.50, 0.13
4359, 0.00, -0.17
4363, -0.60, 0.30
4371, 1.00, 0.50
4424, 0.60, 1.65
4505, 3.00, 3.86
4538, 2.30, 1.70
4620, 0.20, 0.12
4662, -0.30, 1.78
4664, 0.00, 0.34
4676, 0.70, 0.71
4682, 0.20, 0.80
4684, -0.10, 0.45
