375, 0.30, 1.20
404, 1.90, 2.06
494, 1.30, 0.50
521, -0.60, 1.40
1051, nan, 1.11
1118, 2.50, 0.50
1157, 1.20, 0.20
1245, 1.30, 1.20
1437, 0.20, 0.35
1507, 0.60, 1.80
1514, 0.40, 0.47
1642, nan, 0.50
1837, 0.60, 0.60
1841, -0.20, 0.92
1943, 4.70, 4.03
2036, 4.30, 5.76
2047, 0.00, 0.33
2155, nan, 0.50
2170, nan, 0.35
2391, 0.30, 0.40
2660, 1.10, 0.45
2717, 1.90, 4.28
2859, nan, -0.32
2873, 0.10, 0.27
2895, 0.40, 0.43
2929, 0.30, 0.76
3096, 3.40, 1.30
3132, 0.10, -0.06
3137, 6.30, 5.61
3200, 2.90, 2.16
3201, 0.70, 1.33
3240, 0.60, 0.83
3254, 3.80, 1.72
3281, 1.80, 0.48
3284, 0.60, 0.50
3299, 0.20, 0.18
3321, 0.70, 0.71
3340, 0.90, 0.04
3357, nan, 0.54
3374, -0.10, 1.39
3397, 0.20, 0.21
3543, 1.70, 0.50
3548, 1.00, 0.88
3656, 0.00, 0.93
3815, nan, 0.82
3830, 0.50, 2.10
3840, 0.90, 0.50
3855, nan, 0.90
3926, nan, 0.28
3990, 0.90, 1.22
4001, 0.40, 0.16
4020, 2.00, 1.06
4026, -0.20, 0.87
4070, 1.00, 0.19
4079, -0.20, 0.32
4090, -0.10, 0.66
4138, nan, 0.24
4141, -0.90, 0.83
4153, 2.50, 3.48
4235, -1.00, 0.50
4264, 0.40, 0.40
4301, 1.20, 1.52
4371, 0.20, 4.06
4424, nan, -0.30
4505, 1.30, 4.12
4538, 2.40, 1.24
4682, 2.60, 0.39
4732, 0.30, 0.10
4759, nan, 0.26
4772, 0.40, 0.69
4776, 0.20, 2.14
4869, 1.30, 0.95
4878, 0.70, 0.60
4897, nan, 1.28
4930, 2.90, 3.62
4972, 1.80, 1.60
4994, 0.30, 0.19
5003, 0.60, 0.33
5070, 0.20, 0.32
5114, 1.90, 1.27
5279, -1.10, 3.27
5420, 0.10, 0.51
5448, 0.00, 0.87
5498, 0.60, 0.61
5524, 1.60, 4.88
5640, 0.20, 1.34
5705, nan, 0.23
5766, nan, 0.12
