375, 0.30, 0.50
404, 1.90, 1.23
494, 1.30, 0.44
521, -0.60, 0.62
1011, nan, 0.49
1051, nan, 0.51
1118, 2.50, 0.60
1157, 1.20, 0.28
1245, 1.30, 0.81
1246, 0.70, 0.26
1437, 0.20, 0.30
1507, 0.60, 0.70
1514, 0.40, 0.41
1642, nan, 0.37
1837, 0.60, 0.35
1841, -0.20, 0.21
1943, 4.70, 1.04
2036, 4.30, 2.04
2047, 0.00, 0.54
2155, nan, 0.29
2170, nan, 0.30
2391, 0.30, 0.26
2429, 7.30, 2.36
2540, nan, 0.11
2429, 7.30, 2.31
2036, 4.30, 2.42
2036, 4.30, 8.04
2036, 4.30, 3.12
2036, 4.30, 5.99
2036, 4.30, 3.06
2429, 7.30, 3.03
2036, 4.30, 6.60
2429, 7.30, 2.84
2036, 4.30, 3.12
2036, 4.30, 8.01
2036, 4.30, 8.06
2036, 4.30, 8.02
2429, 7.30, 3.44
2036, 4.30, 8.33
2429, 7.30, 3.43
10131, 5.80, 1.85
10603, 7.50, 2.45
10603, 7.50, 1.36
10603, 7.50, 5.95
