playerid, trueWAR, predWAR 
4300, 0.90, 0.53
9817, 0.30, 0.40
7293, 0.50, 0.59
2233, 1.50, 2.06
8173, 0.00, 0.54
7410, 2.80, 2.31
2036, 4.60, 4.34
8241, 1.90, 0.62
7448, 3.40, 2.46
3137, 6.10, 3.68
6893, 1.20, 4.54
4662, 2.40, 0.99
6785, 2.30, 2.36
3196, -0.30, 0.70
3201, 0.80, 1.82
3374, 0.10, 0.98
3830, 0.80, 1.73
1852, 1.90, 0.55
3281, 1.80, 0.31
7450, 0.10, 0.83
2873, 0.10, 0.63
1837, 0.60, 0.47
3990, 1.00, 1.61
4972, 1.60, 2.47
1841, -0.30, 0.59
4849, -0.30, 0.77
3284, 0.40, 1.51
521, -0.60, 0.56
4538, 2.20, 1.74
6283, 0.70, 0.49
4930, 2.70, 3.21
1245, 1.60, 1.47
3340, 0.90, 1.32
4235, -1.00, 0.55
8700, 4.10, 3.30
2047, 0.00, 1.31
7059, -0.30, 1.27
4732, 0.30, 0.59
1943, 5.10, 1.48
4772, 0.40, 1.37
494, 1.40, 0.48
3200, 2.90, 2.09
1514, 0.30, 0.51
1507, 0.50, 2.13
1437, 0.10, 0.29
404, 1.90, 1.81
1246, 0.60, 1.23
11467, 0.10, 1.10
14542, 0.30, 0.58
16980, 0.60, 0.84
12447, 1.70, 1.03
5702, -0.70, 1.93
13533, 0.60, 0.83
13974, 0.00, 0.74
16918, 1.40, 1.30
15594, 0.40, 0.79
9456, 0.20, 0.81
10968, -0.40, 1.03
8490, -0.20, 0.55
12808, 2.20, 1.46
3555, 0.50, 0.24
14682, 1.70, 1.26
11528, -0.40, 0.60
10171, -0.40, 0.42
17526, 0.10, 0.94
18719, 0.10, 1.59
15291, 0.30, 1.05
13543, 1.80, 1.87
8302, 1.10, 0.65
13774, -0.30, 0.36
13449, 0.40, 0.52
17233, -0.60, 0.47
12763, 1.40, 1.55
13345, -0.10, 1.26
12890, 1.70, 0.32
16086, 1.20, 0.45
11632, 0.60, 0.42
12970, 1.00, 1.15
13133, 0.00, 0.75
18498, 2.00, 2.24
15552, 2.40, 1.31
11432, 0.10, 0.35
11674, 2.90, 2.08
17432, 1.10, 0.58
13528, 0.70, 0.46
13594, 0.50, 0.73
13218, 3.50, 2.46
14975, 1.90, 1.37
14168, 2.90, 0.56
16400, 0.60, 1.82
14710, 1.00, 2.35
5830, -0.10, 0.36
12880, 1.10, 2.20
13273, 0.70, 0.79
15873, 2.20, 1.70
13194, 1.40, 0.60
13293, 0.10, 0.72
11903, 0.40, 1.15
13696, 0.60, 2.22
13713, 0.60, 1.45
6175, 0.10, 0.85
12917, 2.70, 1.50
13607, 0.90, 1.04
