Name,playerid1,1ySeason,W,L,SV,G,GS,IP,Kd9,BBd9,HRd9,BABIP,LOBp,ERA,FIP15,Age,CG,ShO,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,KdBB,AVG,WHIP,FIP33,RAR,WAR,WPA,nWPA,pWPA,RE24,REW,pLI,gmLI,exLI,Pulls,WPAdLI,Clutch,SD,MD,ERAm,FIPm,RA9WAR,BIPWins,LOBWins,FDPWins,KBBp,kwERA,TTOp,playerid58,ServiceTime,FutureWAR,prediction
Bobby Munoz,1009326,1993,3,3,0,38,0,45.2,6.5,5.12,0.2,0.318,0.647,5.32,3.54,25,0,0,208,48,27,27,1,26,5,0,2,0,33,1.27,0.264,1.62,3.54,5.6,0.6,-0.67,-4.53,3.85,1.16,0.09,1.22,1.15,1.99,26,0.26,-0.82,6,8,125,81,-0.3,-0.3,-0.6,-0.8,0.034,4.56,0.289,1009326,1,1.4,3
Bobby Munoz,1009326,1994,7,5,1,21,14,104.1,5.09,3.02,0.69,0.27,0.771,2.67,4.03,26,1,0,447,101,40,31,8,35,0,1,5,1,59,1.69,0.246,1.3,4.03,14.1,1.4,0.31,-7.68,7.98,8.17,0.77,1.06,0.93,1.27,19,0.53,-0.23,2,3,63,95,2.6,0.7,0.5,1.2,0.054,4.7,0.228,1009326,2,0.1,3
Bobby Munoz,1009326,1997,1,5,0,8,7,33.1,5.4,4.05,1.08,0.358,0.497,8.91,5.0,29,0,0,161,47,35,33,4,15,1,2,3,1,20,1.33,0.326,1.86,5.0,1.2,0.1,-1.51,-3.73,2.22,-18.32,-1.87,0.92,1.12,0.76,7,-1.09,-0.55,0,1,208,118,-1.3,-0.6,-0.8,-1.4,0.031,4.99,0.242,1009326,3,0.0,3
Mike Munoz,1009328,1992,1,2,2,65,0,48.0,4.31,4.69,0.56,0.258,0.818,3.0,4.2,26,0,0,210,44,16,16,3,25,6,0,2,0,23,0.92,0.238,1.44,4.2,0.4,0.0,0.22,-2.42,2.64,9.49,0.99,0.83,1.43,1.54,50,0.35,-0.09,11,9,75,104,1.1,0.2,0.8,1.0,-0.01,4.6,0.243,1009328,1,0.0,3
Mike Munoz,1009328,1994,4,2,1,57,0,45.2,6.31,6.11,0.59,0.254,0.721,3.74,4.62,28,0,0,200,37,22,19,3,31,5,0,2,0,32,1.03,0.219,1.49,4.62,0.5,0.0,1.18,-3.57,4.75,11.99,0.98,1.18,1.44,1.38,49,0.38,0.62,18,8,78,104,0.6,0.5,0.1,0.6,0.005,5.28,0.33,1009328,2,-0.5,3
Mike Munoz,1009328,1995,2,4,2,64,0,43.2,7.63,5.56,1.85,0.336,0.634,7.42,6.01,29,0,0,208,54,38,36,9,27,0,1,5,0,37,1.37,0.3,1.85,6.01,-5.1,-0.5,0.22,-3.64,3.86,-10.1,-0.8,1.12,1.31,1.45,45,0.03,0.17,14,10,144,129,-0.9,-0.4,0.0,-0.3,0.048,4.73,0.351,1009328,3,0.7,3
Mike Munoz,1009328,1996,2,2,0,54,0,44.2,9.07,3.22,0.81,0.372,0.587,6.65,3.46,30,0,0,203,55,33,33,4,16,2,1,0,0,45,2.81,0.296,1.59,3.46,7.4,0.7,-0.14,-3.07,2.92,-4.22,-0.41,0.8,1.05,1.21,47,-0.3,0.12,12,10,128,72,-0.3,-0.7,-0.3,-1.0,0.143,3.79,0.32,1009328,4,0.6,3
Mike Munoz,1009328,1997,3,3,2,64,0,45.2,5.12,2.56,0.79,0.322,0.673,4.53,3.96,31,0,0,192,52,25,23,4,13,0,0,3,0,26,2.0,0.291,1.42,3.96,5.5,0.6,0.96,-2.77,3.72,12.29,1.09,0.93,1.31,1.51,48,0.49,0.53,15,9,88,84,0.5,-0.2,0.1,-0.1,0.068,4.55,0.224,1009328,5,0.5,3
Mike Munoz,1009328,1998,2,2,3,40,0,41.1,5.23,3.48,0.44,0.349,0.566,5.66,3.84,32,0,0,189,53,32,26,2,16,2,1,1,0,24,1.5,0.308,1.67,3.84,4.8,0.5,-0.46,-2.32,1.86,-4.77,-0.62,0.6,0.91,1.07,27,0.06,-0.82,5,7,108,80,-0.4,-0.6,-0.3,-0.9,0.042,4.91,0.222,1009328,6,0.4,3
Steve Mura,1009337,1980,8,7,2,37,23,168.2,5.82,4.59,0.48,0.273,0.728,3.68,3.74,25,3,1,719,149,74,69,9,86,4,3,3,1,109,1.27,0.237,1.39,3.74,11.4,1.3,-0.49,-11.88,11.39,-2.05,-0.26,0.94,0.92,1.41,29,-0.52,0.0,3,3,108,107,1.4,0.4,-0.3,0.1,0.032,3.98,0.284,1009337,1,1.2,3
