Name,playerid,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9,Cluster10
Freddy Garcia,1077.0,K,M,L,M,K,G,I,H,K
Brandon Lyon,1312.0,G,D,D,C,B,C,A,B,A
Mike Cuellar,1002853.0,C,N,M,J,M,L,I,H,K
Dan Petry,1010246.0,I,I,M,J,K,G,G,I,H
Mel Stottlemyre,1012579.0,L,L,K,H,J,G,I,H,F
Brian Anderson,44.0,G,D,D,A,B,D,A,G,D
Billy Wagner,578.0,F,E,H,I,F,I,G,C,I
Chris Capuano,1701.0,A,C,H,I,F,I,D,F,B
Chad Qualls,2170.0,C,B,B,C,B,C,C,A,A
Tom Griffin,1005054.0,K,G,D,G,B,C,C,A,A
Octavio Dotel,555.0,A,H,F,F,F,E,F,F,B
Jason Schmidt,1131.0,F,I,F,F,F,G,H,L,F
Steve Stone,1012573.0,E,H,F,F,F,E,D,F,B
Danny Cox,1002695.0,E,H,F,F,F,E,F,F,B
Storm Davis,1003080.0,L,L,K,L,L,J,J,I,G
Vern Ruhle,1011297.0,E,E,C,B,D,D,B,G,C
Bobby Jones,1039.0,F,I,I,F,F,E,F,F,C
John Franco,874.0,E,E,B,D,B,D,C,B,B
Matt Albers,4300.0,B,A,A,A,A,A,A,A,A
Doug Bair,1000439.0,F,E,C,B,C,A,A,A,A
Charlie Leibrandt,1007492.0,A,D,B,C,G,K,N,D,E
Don Cardwell,1001941.0,L,K,J,H,H,H,B,E,C
Larry Christenson,1002215.0,F,I,I,K,I,F,L,C,I
Francisco Cordero,1243.0,C,E,F,F,F,E,D,F,B
Jerry Koosman,1007103.0,N,M,L,H,N,N,M,H,F
Curt Schilling,73.0,E,H,M,J,K,G,H,N,J
Kent Mercker,439.0,C,B,B,C,B,C,C,B,A
Sergio Romo,9817.0,E,E,B,D,E,C,C,B,A
Jim Gott,1004898.0,I,I,J,H,H,B,B,B,C
Al Hrabosky,1006116.0,E,I,I,B,D,B,B,A,A
Claude Osteen,1009878.0,F,E,M,I,M,G,I,J,F
Tom Seaver,1011708.0,N,O,O,N,O,O,O,O,O
Jim Maloney,1008039.0,D,C,M,O,M,L,K,J,L
Sidney Ponson,161.0,E,H,I,F,G,G,E,D,H
Ron Villone,1010.0,B,A,B,D,E,A,A,A,A
Jim Clancy,1002255.0,J,F,J,B,G,G,E,C,I
Ron Guidry,1005124.0,O,O,N,N,N,N,M,M,N
Mike Magnante,929.0,A,B,A,A,A,A,A,A,A
Jamie Moyer,1091.0,E,E,E,E,D,D,D,G,D
Brad Ziegler,7293.0,E,B,B,D,C,A,A,A,A
Craig Lefferts,1007476.0,C,B,C,B,C,A,A,A,A
Danny Jackson,1006295.0,J,L,K,L,J,M,L,I,I
Joe Niekro,1009582.0,G,J,G,D,E,A,A,B,A
Miguel Batista,46.0,C,C,E,E,B,K,D,D,D
Hank Aguirre,1000087.0,G,H,F,F,F,E,F,F,G
Dennis Eckersley,1003660.0,L,L,K,L,N,M,M,H,K
John Hiller,1005817.0,H,G,D,G,B,D,D,G,D
Gaylord Perry,1010210.0,D,H,F,K,M,L,K,N,J
Rick Wise,1014155.0,F,I,F,K,J,G,H,L,F
Mike Stanton,849.0,A,D,D,A,A,A,A,A,A
Charlie Morton,4676.0,F,B,B,D,E,D,C,G,D
Joakim Soria,6941.0,H,J,G,G,D,B,B,B,C
Geoff Zahn,1014410.0,H,J,H,I,G,F,G,C,E
Jon Lieber,287.0,H,J,H,I,G,K,H,C,F
Don Drysdale,1003516.0,O,O,N,N,N,M,M,M,N
Bob Patterson,1010055.0,G,C,D,E,A,A,A,A,A
Ed Whitson,1013911.0,E,H,E,F,D,E,D,F,D
Jason Isringhausen,1158.0,I,F,C,C,B,C,E,B,C
John Smoltz,115.0,J,L,K,L,J,G,I,N,J
Dick Tidrow,1013056.0,I,J,G,G,D,H,B,E,C
Mike Morgan,67.0,C,B,B,I,I,I,D,C,E
Jeremy Affeldt,583.0,F,F,C,B,C,B,B,A,A
Jason Frasor,1906.0,A,B,B,A,A,A,A,A,A
Bill Gullickson,1005136.0,L,M,L,M,L,H,J,I,I
Steve Howe,1006107.0,H,J,F,F,D,E,F,B,A
Catfish Hunter,1006199.0,F,N,I,F,F,G,H,H,F
Dennys Reyes,444.0,E,E,C,A,C,A,A,A,A
Julian Tavarez,541.0,F,E,C,B,C,A,A,G,A
Al Leiter,883.0,A,C,H,I,G,F,H,C,E
Doyle Alexander,1000122.0,E,B,C,C,B,D,D,G,D
Larry McWilliams,1008700.0,E,B,B,C,G,K,E,D,H
Randy Moffitt,1009027.0,C,B,A,A,A,A,A,A,A
Ron Taylor,1012885.0,F,F,C,B,C,A,A,A,A
Grant Jackson,1006298.0,A,H,F,F,F,E,F,F,G
Troy Percival,29.0,I,K,G,G,H,H,B,E,C
Kent Tekulve,1012905.0,F,E,C,C,D,C,C,B,B
Juan Cruz,273.0,A,D,D,A,A,A,A,A,A
Ben Sheets,710.0,J,L,O,O,O,M,I,M,L
Wade Davis,7441.0,E,E,E,C,G,D,E,D,D
Lindy McDaniel,1008441.0,K,J,G,G,D,D,B,B,C
Mike Witt,1014174.0,J,K,M,O,O,L,K,J,L
Woodie Fryman,1004381.0,K,J,F,F,G,F,G,C,H
Dave LaRoche,1007354.0,C,B,A,A,A,D,A,G,A
Erik Bedard,126.0,L,M,K,J,K,J,J,I,G
Chan Ho Park,1267.0,E,I,I,K,J,F,E,K,H
Kenny Rogers,1277.0,E,B,B,C,I,K,D,D,E
Gary Lavelle,1007389.0,B,H,E,E,D,E,F,F,B
Sparky Lyle,1007859.0,A,C,E,E,B,D,D,G,D
Andrew Miller,6785.0,F,F,C,B,C,B,A,G,D
Shane Rawley,1010719.0,E,E,C,C,G,F,E,D,E
Kevin Appier,3.0,L,O,O,N,O,N,O,M,N
Charlie Hough,1006050.0,D,A,A,A,A,A,A,A,A
Steve Barber,1000530.0,J,I,M,J,K,G,L,I,I
Jim Palmer,1009973.0,F,F,H,K,M,L,N,J,J
Matt Belisle,1837.0,A,H,E,E,B,D,D,B,B
Denny Neagle,441.0,B,C,H,I,M,L,G,C,H
Hideo Nomo,666.0,O,M,L,M,L,H,J,E,M
Rick Reed,750.0,A,C,H,I,I,I,G,C,E
Kirk Rueter,1128.0,H,G,D,C,I,C,C,B,B
Brett Cecil,2660.0,F,F,C,B,C,B,B,G,A
Doc Medich,1008714.0,M,M,L,M,L,H,J,E,G
Bruce Sutter,1012743.0,L,L,K,J,L,J,L,I,G
Danny Darwin,1002996.0,F,I,J,H,G,F,E,C,E
Jake Westbrook,412.0,A,C,H,I,G,F,G,D,H
Jose Lima,475.0,A,D,H,K,I,I,C,B,B
Ryan Dempster,517.0,C,H,F,F,F,E,F,F,B
Dave Burba,1239.0,C,A,A,A,B,C,D,G,D
Glenn Abbott,1000010.0,G,D,B,D,E,D,D,G,D
Mike Henneman,1005656.0,H,G,G,C,B,C,C,B,C
Alejandro Pena,1010140.0,J,L,I,H,L,J,J,E,G
Paul Splittorff,1012346.0,M,M,L,M,L,H,J,E,G
Todd Jones,436.0,C,B,C,C,C,C,A,A,A
Joel Pineiro,1094.0,I,I,I,H,L,J,F,E,G
Ken Brett,1001402.0,F,F,C,C,G,F,E,D,E
Matt Cain,4732.0,J,L,K,L,J,G,I,H,K
John Smiley,1012084.0,J,I,I,H,J,F,E,C,F
John Tudor,1013215.0,G,H,F,F,G,F,G,K,H
Richard Dotson,1003424.0,H,J,F,F,F,E,D,F,B
Ramon Ortiz,27.0,A,H,E,F,D,E,F,B,A
Gil Heredia,1005686.0,D,C,B,C,B,C,D,G,E
Roger McDowell,1008475.0,E,B,C,A,C,A,A,A,A
A.J. Burnett,512.0,E,E,H,I,M,F,G,J,F
Tommy Hunter,1157.0,H,G,D,A,A,A,A,A,A
Ted Abernathy,1000020.0,A,C,A,C,A,A,A,A,A
Mike Myers,68.0,G,D,D,A,A,A,A,A,A
Dave Schmidt,1011580.0,F,F,C,B,C,D,B,B,C
Mike Torrez,1013134.0,E,B,B,D,B,D,D,C,E
Reggie Cleveland,1002347.0,M,M,L,M,L,H,J,E,G
Dick Drago,1003475.0,L,L,L,M,L,J,L,I,G
Jason Grimsley,602.0,A,D,B,D,E,A,A,A,A
Edinson Volquez,3990.0,C,H,E,E,D,E,F,F,D
Bob Miller,1008877.0,G,D,H,D,E,I,C,B,B
Lary Sorensen,1012279.0,L,K,J,H,H,H,J,E,C
Diego Segui,1011725.0,E,E,J,B,D,B,B,B,C
Bob Shirley,1011911.0,I,J,G,B,D,B,B,G,C
Graeme Lloyd,783.0,A,B,B,A,A,A,A,A,A
Al Downing,1003450.0,M,M,L,M,L,H,J,E,G
Rick Mahler,1007988.0,I,I,F,J,F,G,H,F,M
Jeff Suppan,633.0,H,H,F,F,F,E,D,F,B
Jim Lonborg,1007724.0,I,N,I,M,L,J,J,E,G
Jim Slaton,1012054.0,B,H,F,F,G,E,G,C,H
Andy Benes,1144.0,J,I,K,J,J,G,I,J,F
Huston Street,8258.0,I,F,G,G,H,B,B,B,C
Clay Carroll,1001997.0,C,B,C,B,C,C,A,A,A
Andy Pettitte,840.0,L,O,N,L,N,N,M,H,N
Burt Hooton,1006005.0,N,M,L,M,N,N,M,M,N
David Wells,855.0,F,H,F,F,F,E,H,C,F
Rick Reuschel,1010852.0,N,O,N,N,N,N,M,M,N
Mike Jackson,732.0,C,B,A,C,A,C,A,A,A
Doug Davis,1244.0,J,F,J,H,G,K,E,D,E
Adam Wainwright,2233.0,J,I,K,O,J,N,K,H,L
Vida Blue,1001094.0,C,N,F,L,J,G,K,N,J
Dean Chance,1002130.0,L,O,N,L,N,N,M,H,K
Joe Nathan,1122.0,B,C,H,I,G,F,G,D,H
Bob Ojeda,1009756.0,A,C,H,I,G,F,H,C,E
Jim Rooker,1011183.0,I,K,J,H,G,F,E,K,H
Tim Worrell,1139.0,F,F,C,B,C,B,A,G,A
Guillermo Mota,1467.0,B,A,A,C,B,C,C,A,A
Bob Forsch,1004233.0,I,F,J,H,H,K,E,D,C
Dan Spillner,1012342.0,E,B,C,A,C,C,A,G,D
Jordan Zimmermann,4505.0,G,H,F,K,M,L,G,K,H
Jonathan Broxton,4759.0,I,J,H,F,F,E,F,B,C
Yovani Gallardo,8173.0,I,M,L,M,L,J,J,E,G
Dave Stewart,1012519.0,A,C,E,E,A,D,H,L,F
Derek Lowe,199.0,F,I,I,F,G,F,E,C,F
Dan Miceli,1463.0,D,A,B,D,A,A,A,A,A
Chris Young,3196.0,J,I,K,J,F,J,L,I,C
J.A. Happ,7410.0,E,E,C,C,B,C,D,G,E
Dennis Lamp,1007284.0,F,I,I,H,G,F,E,F,G
Mike Marshall,1008144.0,C,B,A,C,B,K,D,D,D
Jon Matlack,1008246.0,J,L,O,L,O,M,K,M,L
Joe Hoerner,1005895.0,A,D,D,A,A,A,A,A,A
Mike McCormick,1008420.0,M,K,G,G,H,H,E,E,C
Rick Waits,1013494.0,E,E,H,I,G,F,E,D,B
Wilbur Wood,1014248.0,A,C,B,D,B,K,H,L,J
Paul Quantrill,669.0,E,B,B,D,E,D,C,B,D
Gil Meche,1089.0,E,E,C,B,B,D,H,G,D
