Name,playerid,Cluster6,Cluster7,Cluster8,Cluster9,Cluster10
Freddy Garcia,1077.0,K,G,I,H,K
Brandon Lyon,1312.0,B,C,A,B,A
Mike Cuellar,1002853.0,M,L,I,H,K
Dan Petry,1010246.0,K,G,G,I,H
Mel Stottlemyre,1012579.0,J,G,I,H,F
Brian Anderson,44.0,B,D,A,G,D
Billy Wagner,578.0,F,I,G,C,I
Chris Capuano,1701.0,F,I,D,F,B
Chad Qualls,2170.0,B,C,C,A,A
Tom Griffin,1005054.0,B,C,C,A,A
Octavio Dotel,555.0,F,E,F,F,B
Jason Schmidt,1131.0,F,G,H,L,F
Steve Stone,1012573.0,F,E,D,F,B
Danny Cox,1002695.0,F,E,F,F,B
Storm Davis,1003080.0,L,J,J,I,G
Vern Ruhle,1011297.0,D,D,B,G,C
Bobby Jones,1039.0,F,E,F,F,C
John Franco,874.0,B,D,C,B,B
Matt Albers,4300.0,A,A,A,A,A
Doug Bair,1000439.0,C,A,A,A,A
Charlie Leibrandt,1007492.0,G,K,N,D,E
Don Cardwell,1001941.0,H,H,B,E,C
Larry Christenson,1002215.0,I,F,L,C,I
Francisco Cordero,1243.0,F,E,D,F,B
Jerry Koosman,1007103.0,N,N,M,H,F
Curt Schilling,73.0,K,G,H,N,J
Kent Mercker,439.0,B,C,C,B,A
Sergio Romo,9817.0,E,C,C,B,A
Jim Gott,1004898.0,H,B,B,B,C
Al Hrabosky,1006116.0,D,B,B,A,A
Claude Osteen,1009878.0,M,G,I,J,F
Tom Seaver,1011708.0,O,O,O,O,O
Jim Maloney,1008039.0,M,L,K,J,L
Sidney Ponson,161.0,G,G,E,D,H
Ron Villone,1010.0,E,A,A,A,A
Jim Clancy,1002255.0,G,G,E,C,I
Ron Guidry,1005124.0,N,N,M,M,N
Mike Magnante,929.0,A,A,A,A,A
Jamie Moyer,1091.0,D,D,D,G,D
Brad Ziegler,7293.0,C,A,A,A,A
Craig Lefferts,1007476.0,C,A,A,A,A
Danny Jackson,1006295.0,J,M,L,I,I
Joe Niekro,1009582.0,E,A,A,B,A
Miguel Batista,46.0,B,K,D,D,D
Hank Aguirre,1000087.0,F,E,F,F,G
Dennis Eckersley,1003660.0,N,M,M,H,K
John Hiller,1005817.0,B,D,D,G,D
Gaylord Perry,1010210.0,M,L,K,N,J
Rick Wise,1014155.0,J,G,H,L,F
Mike Stanton,849.0,A,A,A,A,A
Charlie Morton,4676.0,E,D,C,G,D
Joakim Soria,6941.0,D,B,B,B,C
Geoff Zahn,1014410.0,G,F,G,C,E
Jon Lieber,287.0,G,K,H,C,F
Don Drysdale,1003516.0,N,M,M,M,N
Bob Patterson,1010055.0,A,A,A,A,A
Ed Whitson,1013911.0,D,E,D,F,D
Jason Isringhausen,1158.0,B,C,E,B,C
John Smoltz,115.0,J,G,I,N,J
Dick Tidrow,1013056.0,D,H,B,E,C
Mike Morgan,67.0,I,I,D,C,E
Jeremy Affeldt,583.0,C,B,B,A,A
Jason Frasor,1906.0,A,A,A,A,A
Bill Gullickson,1005136.0,L,H,J,I,I
Steve Howe,1006107.0,D,E,F,B,A
Catfish Hunter,1006199.0,F,G,H,H,F
Dennys Reyes,444.0,C,A,A,A,A
Julian Tavarez,541.0,C,A,A,G,A
Al Leiter,883.0,G,F,H,C,E
Doyle Alexander,1000122.0,B,D,D,G,D
Larry McWilliams,1008700.0,G,K,E,D,H
Randy Moffitt,1009027.0,A,A,A,A,A
Ron Taylor,1012885.0,C,A,A,A,A
Grant Jackson,1006298.0,F,E,F,F,G
Troy Percival,29.0,H,H,B,E,C
Kent Tekulve,1012905.0,D,C,C,B,B
Juan Cruz,273.0,A,A,A,A,A
Ben Sheets,710.0,O,M,I,M,L
Wade Davis,7441.0,G,D,E,D,D
Lindy McDaniel,1008441.0,D,D,B,B,C
Mike Witt,1014174.0,O,L,K,J,L
Woodie Fryman,1004381.0,G,F,G,C,H
Dave LaRoche,1007354.0,A,D,A,G,A
Erik Bedard,126.0,K,J,J,I,G
Chan Ho Park,1267.0,J,F,E,K,H
Kenny Rogers,1277.0,I,K,D,D,E
Gary Lavelle,1007389.0,D,E,F,F,B
Sparky Lyle,1007859.0,B,D,D,G,D
Andrew Miller,6785.0,C,B,A,G,D
Shane Rawley,1010719.0,G,F,E,D,E
Kevin Appier,3.0,O,N,O,M,N
Charlie Hough,1006050.0,A,A,A,A,A
Steve Barber,1000530.0,K,G,L,I,I
Jim Palmer,1009973.0,M,L,N,J,J
Matt Belisle,1837.0,B,D,D,B,B
Denny Neagle,441.0,M,L,G,C,H
Hideo Nomo,666.0,L,H,J,E,M
Rick Reed,750.0,I,I,G,C,E
Kirk Rueter,1128.0,I,C,C,B,B
Brett Cecil,2660.0,C,B,B,G,A
Doc Medich,1008714.0,L,H,J,E,G
Bruce Sutter,1012743.0,L,J,L,I,G
Danny Darwin,1002996.0,G,F,E,C,E
Jake Westbrook,412.0,G,F,G,D,H
Jose Lima,475.0,I,I,C,B,B
Ryan Dempster,517.0,F,E,F,F,B
Dave Burba,1239.0,B,C,D,G,D
Glenn Abbott,1000010.0,E,D,D,G,D
Mike Henneman,1005656.0,B,C,C,B,C
Alejandro Pena,1010140.0,L,J,J,E,G
Paul Splittorff,1012346.0,L,H,J,E,G
Todd Jones,436.0,C,C,A,A,A
Joel Pineiro,1094.0,L,J,F,E,G
Ken Brett,1001402.0,G,F,E,D,E
Matt Cain,4732.0,J,G,I,H,K
John Smiley,1012084.0,J,F,E,C,F
John Tudor,1013215.0,G,F,G,K,H
Richard Dotson,1003424.0,F,E,D,F,B
Ramon Ortiz,27.0,D,E,F,B,A
Gil Heredia,1005686.0,B,C,D,G,E
Roger McDowell,1008475.0,C,A,A,A,A
A.J. Burnett,512.0,M,F,G,J,F
Tommy Hunter,1157.0,A,A,A,A,A
Ted Abernathy,1000020.0,A,A,A,A,A
Mike Myers,68.0,A,A,A,A,A
Dave Schmidt,1011580.0,C,D,B,B,C
Mike Torrez,1013134.0,B,D,D,C,E
Reggie Cleveland,1002347.0,L,H,J,E,G
Dick Drago,1003475.0,L,J,L,I,G
Jason Grimsley,602.0,E,A,A,A,A
Edinson Volquez,3990.0,D,E,F,F,D
Bob Miller,1008877.0,E,I,C,B,B
Lary Sorensen,1012279.0,H,H,J,E,C
Diego Segui,1011725.0,D,B,B,B,C
Bob Shirley,1011911.0,D,B,B,G,C
Graeme Lloyd,783.0,A,A,A,A,A
Al Downing,1003450.0,L,H,J,E,G
Rick Mahler,1007988.0,F,G,H,F,M
Jeff Suppan,633.0,F,E,D,F,B
Jim Lonborg,1007724.0,L,J,J,E,G
Jim Slaton,1012054.0,G,E,G,C,H
Andy Benes,1144.0,J,G,I,J,F
Huston Street,8258.0,H,B,B,B,C
Clay Carroll,1001997.0,C,C,A,A,A
Andy Pettitte,840.0,N,N,M,H,N
Burt Hooton,1006005.0,N,N,M,M,N
David Wells,855.0,F,E,H,C,F
Rick Reuschel,1010852.0,N,N,M,M,N
Mike Jackson,732.0,A,C,A,A,A
Doug Davis,1244.0,G,K,E,D,E
Adam Wainwright,2233.0,J,N,K,H,L
Vida Blue,1001094.0,J,G,K,N,J
Dean Chance,1002130.0,N,N,M,H,K
Joe Nathan,1122.0,G,F,G,D,H
Bob Ojeda,1009756.0,G,F,H,C,E
Jim Rooker,1011183.0,G,F,E,K,H
Tim Worrell,1139.0,C,B,A,G,A
Guillermo Mota,1467.0,B,C,C,A,A
Bob Forsch,1004233.0,H,K,E,D,C
Dan Spillner,1012342.0,C,C,A,G,D
Jordan Zimmermann,4505.0,M,L,G,K,H
Jonathan Broxton,4759.0,F,E,F,B,C
Yovani Gallardo,8173.0,L,J,J,E,G
Dave Stewart,1012519.0,A,D,H,L,F
Derek Lowe,199.0,G,F,E,C,F
Dan Miceli,1463.0,A,A,A,A,A
Chris Young,3196.0,F,J,L,I,C
J.A. Happ,7410.0,B,C,D,G,E
Dennis Lamp,1007284.0,G,F,E,F,G
Mike Marshall,1008144.0,B,K,D,D,D
Jon Matlack,1008246.0,O,M,K,M,L
Joe Hoerner,1005895.0,A,A,A,A,A
Mike McCormick,1008420.0,H,H,E,E,C
Rick Waits,1013494.0,G,F,E,D,B
Wilbur Wood,1014248.0,B,K,H,L,J
Paul Quantrill,669.0,E,D,C,B,D
Gil Meche,1089.0,B,D,H,G,D
Francisco Liriano,3201.0,K,I,G,C,I
Bob Gibson,1004662.0,O,N,K,N,J
Neal Heaton,1005568.0,H,B,C,B,C
Bill Krueger,1007175.0,A,D,D,G,D
Phil Regan,1010785.0,A,D,A,A,A
Jason Vargas,8044.0,I,I,D,D,B
John Candelaria,1001909.0,G,F,E,C,F
Bruce Chen,769.0,C,A,A,A,A
Ken Forsch,1004234.0,D,H,F,E,C
Ted Lilly,833.0,F,G,H,C,F
Carlos Villanueva,4138.0,A,A,A,A,A
Cole Hamels,4972.0,J,N,I,H,J
Andy Hassler,1005480.0,B,C,C,B,B
Dan Schatzeder,1011527.0,D,D,B,A,A
Pete Schourek,1011608.0,I,C,C,B,B
Livan Hernandez,1116.0,K,G,H,C,M
Kevin Millwood,106.0,J,G,I,H,F
Edwin Jackson,1841.0,G,F,G,D,H
Wandy Rodriguez,2586.0,M,F,G,K,H
Kevin Gross,1005088.0,F,E,F,F,D
Fritz Peterson,1010227.0,O,M,M,M,L
Bryn Smith,1012104.0,K,G,G,C,I
Zack Greinke,1943.0,M,L,N,J,L
Ubaldo Jimenez,3374.0,K,M,L,I,I
Ricky Nolasco,3830.0,J,G,J,I,K
Paul Maholm,8678.0,I,F,G,D,B
David Cone,1680.0,O,N,K,M,L
Nelson Briles,1001432.0,I,I,D,C,E
Mark Gubicza,1005115.0,M,L,N,K,L
Luis Tiant,1013054.0,I,M,L,K,I
Bud Black,1001007.0,F,E,F,F,G
Steve Farr,1003953.0,B,D,D,G,A
Ron Perranoski,1010201.0,C,B,A,A,A
J.C. Romero,754.0,A,A,A,A,A
Blue Moon Odom,1009726.0,E,E,F,F,B
Marty Pattin,1010074.0,I,F,G,F,H
Walt Terrell,1012924.0,F,E,F,F,G
Bartolo Colon,375.0,J,N,I,H,K
Joe Blanton,4849.0,L,J,J,E,G
Ray Sadecki,1011360.0,I,C,C,C,E
Lee Smith,1012175.0,F,H,E,D,I
Glendon Rusch,707.0,F,G,J,F,G
Kyle Lohse,739.0,F,D,D,F,D
Felix Hernandez,4772.0,O,L,K,N,J
Oliver Perez,1514.0,D,E,F,F,A
Bert Blyleven,1001098.0,O,O,O,O,O
Orel Hershiser,1005741.0,N,M,M,M,N
Anibal Sanchez,3284.0,G,K,H,L,E
Rich Gossage,1004894.0,G,F,G,C,H
Dave Smith,1012117.0,A,A,A,G,A
Javier Vazquez,801.0,O,L,I,J,L
C.J. Wilson,3580.0,B,K,D,L,D
Bill Lee,1007448.0,I,K,N,D,H
Bruce Ruffin,1011294.0,H,B,B,E,C
Tom Glavine,90.0,M,L,N,J,F
Dennis Martinez,1008161.0,L,J,J,E,G
Scott Schoeneweis,33.0,D,B,B,A,A
Larry Gura,1005150.0,E,D,D,G,D
Kevin Correia,1767.0,B,C,C,B,A
Jim Brewer,1001406.0,A,A,A,A,A
Erik Hanson,1005333.0,J,G,I,H,K
Eddie Guardado,727.0,A,A,A,A,A
Jason Grilli,521.0,A,A,A,A,A
Jason Hammel,4538.0,I,I,D,D,B
Randy Myers,1009427.0,D,D,B,B,C
John Lackey,1507.0,M,L,N,J,L
Matt Thornton,1918.0,B,D,D,D,D
Homer Bailey,8362.0,B,K,D,D,D
Jimmy Key,1006885.0,K,G,I,H,F
Jason Marquis,105.0,E,A,A,G,A
Ryan Vogelsong,1011.0,B,C,C,A,A
Tom Browning,1001566.0,H,H,E,E,C
Frank Viola,1013435.0,M,L,K,N,J
Greg Swindell,76.0,J,G,I,H,K
Greg Maddux,104.0,M,L,K,N,J
Rafael Soriano,1100.0,B,C,C,B,A
Don Aase,1000003.0,D,B,B,E,C
Jim Bunning,1001653.0,N,N,O,M,N
Mark Gardner,1004529.0,D,B,B,G,C
Sonny Siebert,1011951.0,L,H,J,H,M
Jarrod Washburn,40.0,I,I,D,D,E
LaTroy Hawkins,729.0,C,D,D,G,D
Clayton Kershaw,2036.0,O,O,O,O,O
Mike Hampton,430.0,G,G,I,H,K
Trevor Cahill,6249.0,F,B,B,B,B
Tim Leary,1007438.0,I,K,D,D,H
Bob Veale,1013391.0,K,M,K,J,L
Armando Benitez,865.0,E,I,C,B,B
Steve Trachsel,898.0,G,D,D,C,D
Ian Kennedy,6986.0,F,E,F,F,G
Don McMahon,1008629.0,A,A,A,A,A
Joe Hesketh,1005747.0,C,B,B,G,C
Matt Young,1014385.0,D,H,J,F,C
Barry Zito,944.0,J,M,M,I,K
Mike Timlin,1187.0,B,C,C,B,A
Ryan Madson,1852.0,B,C,D,G,A
Jeff Brantley,1001358.0,C,A,A,A,A
Mark Eichhorn,1003712.0,H,H,E,E,C
Jack McDowell,1008473.0,J,L,I,H,K
Dave Stieb,1012532.0,O,N,I,H,L
Rick Aguilera,1000086.0,F,I,F,B,B
Dick Ruthven,1011330.0,G,F,E,C,I
Scott Downs,773.0,B,C,A,B,A
Trevor Hoffman,1035.0,G,I,E,D,E
Wilson Alvarez,1193.0,G,K,G,C,H
Jim Acker,1000030.0,E,D,A,A,A
Gene Garber,1004493.0,B,C,C,B,B
Bruce Hurst,1006222.0,G,K,H,L,F
Tippy Martinez,1008200.0,B,C,C,B,A
Javier Lopez,1663.0,A,A,A,A,A
Scott Feldman,6283.0,E,I,D,G,B
Larry Dierker,1003288.0,M,L,N,K,L
Dave Righetti,1010958.0,J,J,J,I,G
Bob Stanley,1012409.0,F,E,F,F,G
Dennis Leonard,1007531.0,N,M,M,I,K
Ray Burris,1001729.0,F,E,F,B,B
Mike Moore,1009122.0,K,G,I,H,L
Bob Walk,1013507.0,E,D,D,G,D
Brett Tomko,1056.0,H,B,B,E,C
Jack Billingham,1000970.0,K,G,G,F,H
Bill Campbell,1001874.0,B,C,C,B,C
Gary Peters,1010228.0,N,M,M,M,M
Joaquin Benoit,1437.0,B,C,C,B,A
Ramon Martinez,1008193.0,F,E,F,F,G
Bob Welch,1013750.0,G,F,G,C,F
Bob Wickman,413.0,D,D,A,G,D
Jim Abbott,1000012.0,L,G,J,I,G
Norm Charlton,1002160.0,F,E,F,F,B
Josh Beckett,510.0,J,G,I,H,M
Arthur Rhodes,1097.0,C,D,A,A,A
Steve Kline,1164.0,B,C,A,A,A
Ismael Valdez,1283.0,L,J,J,E,G
J.P. Howell,8245.0,E,A,A,A,A
Mark Langston,1007323.0,K,L,I,J,J
Tim Stoddard,1012556.0,C,A,A,A,A
Gene Nelson,1009501.0,A,D,A,G,A
Darold Knowles,1007058.0,A,A,A,A,A
