"Name","playerid","WAR1","WAR2","WAR3","WAR4","WAR5","WAR6","WAR7","WAR8","WAR9","WAR10","Cluster"
"Freddy Garcia","   1077","3.8","1","5.3","3.4","1.6","4.8","4","3.1","0.2","1.5","K"
"Brandon Lyon","   1312","1.1","-0.2","0.6","0.7","1.5","0.7","0.8","1.1","0.8","0","A"
"Mike Cuellar","1002853","0.4","0.8","6.1","5.1","3.3","6.6","4.8","2.8","2.4","2.5","K"
"Dan Petry","1010246","1.1","2.5","2.1","4.4","1.3","4.2","2.9","0.4","0.1","0.3","H"
"Mel Stottlemyre","1012579","1.8","4.5","3.6","2.5","2.9","3.7","3.1","4.4","2.4","4.1","F"
"Brian Anderson","     44","1.3","-0.3","0.4","0.4","1","1.7","2","0.3","1.6","1.9","D"
"Billy Wagner","    578","0.2","2.2","1.8","3.6","2","1.7","2.3","1.5","2.1","1.9","I"
"Chris Capuano","   1701","0.4","0.4","2.2","4","1.9","0.3","2","2.9","1.4","0.7","B"
"Chad Qualls","   2170","0.3","0.7","0.2","0.8","1.8","0.9","0","0","-0.4","0.5","A"
"Tom Griffin","1005054","2.4","0.5","0","1","0.6","2.1","-0.4","0","-0.6","-0.5","A"
"Octavio Dotel","    555","0.6","0.8","3.3","2.8","1.7","1.6","0.3","0.7","0.7","0.2","B"
"Jason Schmidt","   1131","0.8","2.5","2.9","3","0.7","3","4.5","6.6","6.4","3","F"
"Steve Stone","1012573","0.5","1.3","3.1","1.4","2.4","0.9","1.7","2.2","0.3","2.9","B"
"Danny Cox","1002695","1","1.3","3.2","3.1","2.2","1","-0.2","0.4","1.4","0","B"
"Storm Davis","1003080","1.8","3.7","4.7","3","2.6","1.1","2.1","0.5","1.4","0.1","G"
"Vern Ruhle","1011297","0.6","1.8","1.8","0.5","1.3","0.4","2.2","1.2","1.2","-0.7","C"
"Bobby Jones","   1039","0.6","2.3","2.7","1.9","1.8","1.8","1.3","1","0.8","0.4","C"
"John Franco","    874","0.6","1","1.4","1.5","1.1","1.3","1.3","1.3","0.5","-0.5","B"
"Matt Albers","   4300","0","0.1","0.6","0.1","0.1","-0.5","0.3","0.3","-0.8","0.9","A"
"Doug Bair","1000439","-0.7","2","0.6","0.1","0.1","0.3","-0.2","0.3","0.4","0.4","A"
"Charlie Leibrandt","1007492","1","0.3","0.4","1.9","4.1","3.7","4.4","3.4","1.2","3.2","E"
"Don Cardwell","1001941","2.3","4.3","1.4","1.5","2.2","0.1","1.1","1.3","0.6","-0.5","C"
"Larry Christenson","1002215","0","2.9","2.4","2.7","4.6","1.3","1.2","1.7","4.2","1.3","I"
"Francisco Cordero","   1243","-0.4","1.2","2.1","2.7","1.4","1.3","2.4","0.7","1.3","0.3","B"
"Jerry Koosman","1007103","3.6","5.4","2.3","2.2","2.9","4.4","5.4","3.1","4.9","4.6","F"
"Curt Schilling","     73","0.7","0.9","4.2","4.5","0.8","2.8","4.7","8.2","8.3","3.3","J"
"Kent Mercker","    439","-0.2","0.7","0","1.1","1.6","1.5","-0.3","0.9","2.3","1.1","A"
"Sergio Romo","   9817","0.5","1.1","1.2","2","1","1","-0.2","1.8","0.1","0.3","A"
"Jim Gott","1004898","1","2.8","1.5","2","2","0.7","-0.1","0.7","0.8","1.8","C"
"Al Hrabosky","1006116","1.1","1.9","2.5","0.8","-0.6","0.8","0.3","-0.7","0.3","-0.4","A"
"Claude Osteen","1009878","-0.5","2.1","2.3","4.4","3.5","4.8","3.8","1.9","5.5","3.1","F"
"Tom Seaver","1011708","3.3","5.8","4.4","8.3","9.1","5.6","7.3","5.1","7.8","6.8","O"
"Jim Maloney","1008039","0.7","-0.6","1.5","6.4","4.9","6.5","4.9","4.5","2.9","2.3","L"
"Sidney Ponson","    161","1.2","1.4","3.2","1.3","1.7","4.4","3","1","0.5","-0.2","H"
"Ron Villone","   1010","-0.6","-0.2","0.1","2.4","0.2","0.8","0.4","1.2","0.3","0.7","A"
"Jim Clancy","1002255","0.5","3","0.4","3.2","0.4","4.3","2.8","1.8","1.6","3.1","I"
"Ron Guidry","1005124","5.7","9.1","6.2","3.9","2.8","4","3.9","2.8","4.9","3","N"
"Mike Magnante","    929","0.5","0.5","0.4","0.2","0.1","0.3","1.1","0.3","1","0.1","A"
"Jamie Moyer","   1091","0.3","1.5","2.1","0.2","1","-0.2","3.2","1.9","1.2","1.6","D"
"Brad Ziegler","   7293","0.5","1.1","0.1","1","0.6","0.5","0","0.7","1.3","0.5","A"
"Craig Lefferts","1007476","0.1","1.4","0.3","0.8","-0.2","0.6","0.6","0.5","1.4","2.6","A"
"Danny Jackson","1006295","0.7","4.6","2.9","4.3","5.2","0.9","1.7","-0.5","2.8","3.2","I"
"Joe Niekro","1009582","2","-0.1","1.6","1.6","0.2","0.8","0.1","0.8","0.4","1.6","A"
"Miguel Batista","     46","0","0.7","2","-0.9","1.3","3.1","4.3","1.6","0.5","2.9","D"
"Hank Aguirre","1000087","2.1","-0.2","5.2","2.6","1.8","2.4","0.4","0.5","0.2","0.4","G"
"Dennis Eckersley","1003660","2.8","4.6","4.6","3.9","4.4","2.9","3.2","3.1","0.8","3.2","K"
"John Hiller","1005817","1.6","1","0.5","0.9","0.2","2.8","3","1.6","1.6","1.5","D"
"Gaylord Perry","1010210","0.5","-0.3","3.6","2.3","7.3","5.6","5.5","5.9","6.3","4.7","J"
"Rick Wise","1014155","0","1.9","3.4","2","3.7","3.8","4.6","4.8","5.1","1","F"
"Mike Stanton","    849","0.8","0.1","0.3","0.3","-0.1","0.7","1.4","0.1","1.5","1.6","A"
"Charlie Morton","   4676","0","1.6","-0.3","2","0.4","1.4","1.3","0.7","3.1","2.9","D"
"Joakim Soria","   6941","2.1","1.3","1.6","1.9","0.9","1.5","0.4","0.2","1.8","1.9","C"
"Geoff Zahn","1014410","1.6","0.7","2","3.4","2.7","3.6","1.1","3.5","2.5","3.6","E"
"Jon Lieber","    287","1.7","1.2","1.4","3.2","2.6","4.5","4.4","4.4","3.1","3.5","F"
"Don Drysdale","1003516","6.2","3.5","6.5","5.8","6.9","3.4","4.1","4.3","3","-0.2","N"
"Bob Patterson","1010055","1.2","0.2","1.1","0.7","-0.3","0.3","0.1","0.7","0.6","0.8","A"
"Ed Whitson","1013911","0.5","1.2","3.2","0.7","1.1","-0.1","2.6","2","0.2","1.1","D"
"Jason Isringhausen","   1158","1.5","2.1","0.1","0.9","1.8","2.5","0.9","1.7","0.7","-0.9","C"
"John Smoltz","    115","-0.4","4","3.6","3.7","5","3.9","2.1","4.6","8.4","6.7","J"
"Dick Tidrow","1013056","2.5","2.5","2.4","0.1","1.5","0.5","2.2","0.7","0.4","-0.1","C"
"Mike Morgan","     67","-0.2","0.9","-0.1","2.5","3.1","0.5","2.5","2.1","4.5","3.2","E"
"Jeremy Affeldt","    583","0.9","2.5","1","0.3","-0.5","0.4","0.4","0.5","0.1","0","A"
"Jason Frasor","   1906","0.8","0.6","0.2","1","-0.1","1.4","0.9","0.1","0.2","0.7","A"
"Bill Gullickson","1005136","3.2","4.8","2.8","3.4","1.8","3","3.2","1.1","0.4","3.4","I"
"Steve Howe","1006107","1.7","0.7","2","2.2","0.2","0.5","1.2","-0.2","1","-0.1","A"
"Catfish Hunter","1006199","0.3","1.8","5.2","1.4","1.3","3.1","3.2","4.5","0.5","6.3","F"
"Dennys Reyes","    444","0.5","1.2","0.9","0","0.5","0.2","1.1","-0.2","0.9","0.4","A"
"Julian Tavarez","    541","-0.1","1.6","0.9","0","0.3","-0.3","1.5","2.2","1","1.1","A"
"Al Leiter","    883","0.5","0.3","0.9","2.5","3","3.4","1.3","4.8","3.3","4.8","E"
"Doyle Alexander","1000122","0.9","1.1","0.8","0.6","1.2","1.3","1.7","1.4","1.2","2.9","D"
"Larry McWilliams","1008700","0.7","1.1","0.5","0.9","2.6","4.3","2.9","0.1","0.1","0.8","H"
"Randy Moffitt","1009027","-0.1","0.7","0.2","-0.4","0.2","1.1","0.3","-0.6","-0.3","0.4","A"
"Ron Taylor","1012885","-0.1","2.1","-0.2","0","0.2","0.9","0.5","0","0.4","0.1","A"
"Grant Jackson","1006298","1.1","0.6","4.3","1.5","1.1","0.9","0.7","0.7","0.7","0.9","G"
"Troy Percival","     29","2.4","2.3","1.1","1.7","0.6","0.2","2.2","1.6","0.2","0.1","C"
"Kent Tekulve","1012905","0.3","1.7","1.3","1.4","2.1","0","1.2","0.6","1.9","0.2","B"
"Juan Cruz","    273","0.9","0.1","0.7","0.5","-0.2","1.6","0.6","0.5","-0.1","0.3","A"
"Ben Sheets","    710","1.3","3.8","3.8","8","3.7","4","2.5","4.7","0.8","0.3","L"
"Wade Davis","   7441","1","1.1","1.4","1","1.5","3.1","2","1.4","1.1","0.9","D"
"Lindy McDaniel","1008441","2.6","0.7","1.3","0.6","1.6","0.5","1.9","0.4","0.1","1.3","C"
"Mike Witt","1014174","1.6","3.8","0.7","5.9","4.7","6.7","4","4.4","2.7","1.4","L"
"Woodie Fryman","1004381","3","0.3","2.9","3","2.4","3.1","2.7","1.7","0.9","2.3","H"
"Dave LaRoche","1007354","0","1","0.1","-0.3","-0.1","1.3","2.6","0.3","0.6","-0.2","A"
"Erik Bedard","    126","2.4","3.4","4.6","5","1","2","2.1","1.4","1.4","0.1","G"
"Chan Ho Park","   1267","1.1","2.1","3.7","1.2","3.9","4.3","1","-0.3","1.9","0.8","H"
"Kenny Rogers","   1277","0.8","1.3","-0.5","1.1","3.6","2.5","3","2.2","0.6","4.5","E"
"Gary Lavelle","1007389","0","0.1","3","0.9","1.3","0.9","0.7","1.3","2.1","0.7","B"
"Sparky Lyle","1007859","0.6","0.8","1.3","0.6","0.2","1.5","1.5","2","2","0.8","D"
"Andrew Miller","   6785","0.3","1.9","0.7","-0.4","-0.1","0.5","0.3","2.2","2.1","2.9","D"
"Shane Rawley","1010719","0.9","1.9","1.6","0.9","3.2","3.2","1.6","1.6","1.7","2.4","E"
"Kevin Appier","      3","3.2","4.7","4.8","6.8","4","5.3","6.3","5.2","2.7","2","N"
"Charlie Hough","1006050","0.3","-0.5","-0.3","-0.4","0.5","0","0","0.2","1.4","3.1","A"
"Steve Barber","1000530","1.7","3.5","2.3","5.4","1.1","2.9","2.6","0.6","0.9","0.8","I"
"Jim Palmer","1009973","0.6","2","-0.1","3.7","6.2","4.6","4.4","4.6","1.9","6.9","J"
"Matt Belisle","   1837","0.4","0","2.4","0","2","1.2","1.8","1.3","0.4","0.1","B"
"Denny Neagle","    441","-0.1","0.4","1.8","4.2","3.4","5.2","3.1","0.3","2.5","2.3","H"
"Hideo Nomo","    666","5.2","4.4","3.4","1.4","2.1","2.1","3","2.9","3.3","-0.4","M"
"Rick Reed","    750","0.6","0.4","1.1","3.6","3","1.5","2.6","3.3","2","1.2","E"
"Kirk Rueter","   1128","1.4","1","1","0.9","3","0.9","1.4","1.2","0.8","1.3","B"
"Brett Cecil","   2660","0.3","2.5","0.5","0.1","0.9","1.2","1.3","0.4","1.1","-0.6","A"
"Doc Medich","1008714","3.5","3.4","3.7","2.7","1.8","2.4","1.9","3.2","2.6","1.4","G"
"Bruce Sutter","1012743","1.9","5.2","2.3","4.8","1.9","1.1","0.2","0.5","1.5","-0.6","G"
"Danny Darwin","1002996","1","2.5","1.7","1","3.2","3.7","1.3","3.2","2.6","1","E"
"Jake Westbrook","    412","0.8","0.1","1","3","2.9","3.6","1.7","0.3","1.9","0.7","H"
"Jose Lima","    475","0.9","0.6","0.4","2.7","4.7","-0.1","-0.2","0","1","0.8","B"
"Ryan Dempster","    517","-0.3","0.7","3.4","2.2","1.4","0.7","1.8","0.9","0.2","4.7","B"
"Dave Burba","   1239","-0.2","0.5","0.1","0.6","1.2","2.3","1.1","1.8","3","4.2","D"
"Glenn Abbott","1000010","1.5","0.3","0.4","1.5","1.2","0.2","2.5","1.4","1.8","-0.3","D"
"Mike Henneman","1005656","1.9","1.3","0.5","1.2","1.8","1.2","1.2","0","1.7","0.4","C"
"Alejandro Pena","1010140","-0.2","4.1","4.7","0.4","0.8","1.7","1.1","1.3","1","-0.3","G"
"Paul Splittorff","1012346","3.7","3.9","4.1","1.4","2","0.9","3.7","2.9","1.8","2.4","G"
"Todd Jones","    436","-0.1","1.4","0.4","-0.4","1.8","0.3","0.8","1.4","0.1","0.9","A"
"Joel Pineiro","   1094","2","2.5","3.5","1.8","1.8","0.4","0.4","0.6","4.3","2.1","G"
"Ken Brett","1001402","0","2","0.2","0.7","2.6","4","0.7","3.3","2","-0.3","E"
"Matt Cain","   4732","0.7","3.8","4.1","3.7","3.3","4","4.5","3.2","1.2","-0.2","K"
"John Smiley","1012084","-0.1","3.5","2.2","1.9","3.4","5","0.8","2.6","4.3","4.5","F"
"John Tudor","1013215","1.8","0.2","3.5","1.8","2.5","6.4","2.1","0.9","3.1","2.3","H"
"Richard Dotson","1003424","1.5","1.3","2.4","2.9","2","0.8","2.1","2.4","-0.4","0.8","B"
"Ramon Ortiz","     27","0.6","0.7","2.3","1.6","0.8","0.8","0.3","0.2","0.1","-0.3","A"
"Gil Heredia","1005686","0.2","-0.2","1","1.3","2.4","0.3","1","4.2","2.6","-0.7","E"
"Roger McDowell","1008475","0.9","1.4","0","0.8","0.4","0.8","0.1","0.1","0.1","0","A"
"A.J. Burnett","    512","0.6","0.9","1.4","4.8","2.9","5","2.9","2.3","5","2.8","F"
"Tommy Hunter","   1157","1.7","1","0.5","-0.4","0.7","0.7","0.3","0.6","1.2","0.6","A"
"Ted Abernathy","1000020","0.5","0","1.2","-0.6","1.8","-0.7","0","0.3","0.1","0.3","A"
"Mike Myers","     68","1.1","-0.5","0","0","0.9","0.6","0.3","-0.3","-0.1","0.1","A"
"Dave Schmidt","1011580","0.3","2.5","0.6","1.5","1.2","0.9","2.2","0.7","-0.2","0.3","C"
"Mike Torrez","1013134","0.4","1.6","-0.4","2.2","1","2.4","2.4","3.3","2.3","3.3","E"
"Reggie Cleveland","1002347","3.5","3.5","4.3","1.5","1.6","2.6","2.7","1","-0.7","1.3","G"
"Dick Drago","1003475","2.5","3.8","4.7","2.9","2.8","1.9","0.8","-0.6","0.5","0.6","G"
"Jason Grimsley","    602","0.6","0.2","0.5","1.4","-0.4","0.9","0.2","0.3","0.9","0.8","A"
"Edinson Volquez","   3990","-0.2","0.5","3.6","0.2","0.7","-0.3","1.4","0.7","0.7","2.7","D"
"Bob Miller","1008877","1.2","0.3","0.7","2.7","1.1","0.4","0.3","-1","0.7","1.7","B"
"Lary Sorensen","1012279","2.3","5","1.9","2.4","3","2","2.2","0.9","0.1","-0.1","C"
"Diego Segui","1011725","1","2","1.7","1.6","0.8","0.6","0.3","1.3","2.2","0.6","C"
"Bob Shirley","1011911","1.6","1.9","2.3","-0.1","0.1","0.1","1","0.9","2.4","0.2","C"
"Graeme Lloyd","    783","0.6","0.6","0.1","0.7","-0.1","0.4","0.1","0.5","0","0.5","A"
"Al Downing","1003450","4.7","4.2","3","1.8","3.9","0.2","1.5","0.5","3.1","2.2","G"
"Rick Mahler","1007988","1.4","2.4","3.4","2.8","2.1","1","4.3","3.2","0.8","0.2","M"
