Name,playerid,WAR24,WAR25,WAR26,WAR27,WAR28
Freddy Garcia,1077,5.3,3.4,1.6,4.8,4.0
Dan Petry,1010246,1.3,4.2,2.9,0.4,0.1
Mel Stottlemyre,1012579,3.6,2.5,2.9,3.7,3.1
Brian Anderson,44,0.4,0.4,1.0,1.7,2.0
Chris Capuano,1701,0.4,0.4,2.2,4.0,1.9
Esmil Rogers,6317,1.2,-0.3,1.1,0.1,-0.2
Tom Griffin,1005054,1.0,0.6,2.1,-0.4,0.0
Ricky Horton,1006036,0.6,0.7,1.1,-0.2,0.3
Jason Schmidt,1131,2.5,2.9,3.0,0.7,3.0
Steve Stone,1012573,1.3,3.1,1.4,2.4,0.9
Jerry Augustine,1000365,1.2,1.7,1.0,-0.5,0.3
Danny Cox,1002695,1.3,3.2,3.1,2.2,1.0
Storm Davis,1003080,2.6,1.1,2.1,0.5,1.4
Vern Ruhle,1011297,1.8,1.8,0.5,1.3,0.4
Bobby Jones,1039,2.3,2.7,1.9,1.8,1.8
Frank Pastore,1010048,2.4,1.2,0.2,0.9,-0.1
John Franco,874,1.0,1.4,1.5,1.1,1.3
Brian Matusz,2646,-1.1,0.9,1.0,0.2,0.5
Zack Britton,3240,0.6,0.1,1.0,2.1,2.5
Matt Albers,4300,0.0,0.1,0.6,0.1,0.1
Keith Atherton,1000348,0.2,-0.4,-0.4,0.2,0.2
Larry Christenson,1002215,4.6,1.3,1.2,1.7,4.2
Jimmy Jones,1006569,2.0,-0.1,-0.2,1.5,0.7
Joey Jay,1006373,0.8,3.6,3.4,0.8,3.4
Curt Schilling,73,0.9,4.2,4.5,0.8,2.8
Dustin Hermanson,195,2.3,3.1,4.0,1.4,0.5
Kent Mercker,439,0.0,1.1,1.6,1.5,-0.3
Al Hrabosky,1006116,1.9,2.5,0.8,-0.6,0.8
Claude Osteen,1009878,4.4,3.5,4.8,3.8,1.9
Tom Seaver,1011708,4.4,8.3,9.1,5.6,7.3
Manny Delcarmen,3180,1.0,0.4,1.1,0.0,-0.6
Rawly Eastwick,1003648,1.2,2.3,0.3,-0.2,0.2
Jim Maloney,1008039,4.9,6.5,4.9,4.5,2.9
Sidney Ponson,161,1.3,1.7,4.4,3.0,1.0
Jim Clancy,1002255,3.2,0.4,4.3,2.8,1.8
Hal Reniff,1010833,0.6,0.4,0.4,1.0,0.3
Jamie Moyer,1091,1.5,2.1,0.2,1.0,-0.2
Al Fitzmorris,1004119,0.0,1.3,0.0,1.4,2.3
Danny Jackson,1006295,2.9,4.3,5.2,0.9,1.7
Scott Sanders,1011423,0.8,2.1,1.1,3.6,0.1
Terry Adams,946,1.0,0.5,0.3,0.8,4.3
Gavin Floyd,3886,-0.1,2.3,4.0,4.2,3.1
Ryan Webb,7474,0.7,0.2,0.7,0.5,0.7
Dennis Eckersley,1003660,4.4,2.9,3.2,3.1,0.8
Gaylord Perry,1010210,-0.3,3.6,2.3,7.3,5.6
Rick Wise,1014155,3.8,4.6,4.8,5.1,1.0
Mike Stanton,849,0.8,0.1,0.3,0.3,-0.1
Charlie Morton,4676,0.0,1.6,-0.3,2.0,0.4
Tom Gorzelanny,6244,3.1,-0.7,0.7,1.8,0.7
Jim Bouton,1001241,3.6,2.4,0.0,0.9,-0.2
Jon Lieber,287,1.7,1.2,1.4,3.2,2.6
Don Drysdale,1003516,3.5,6.5,5.8,6.9,3.4
Jim McGlothlin,1008532,1.7,2.1,1.4,1.6,0.4
Ed Whitson,1013911,1.2,3.2,0.7,1.1,-0.1
Mike Thurman,852,0.4,1.7,0.9,1.5,0.4
Mike Kekich,1006764,0.5,0.0,0.8,0.2,-0.5
Allen Watson,1013675,-0.1,1.0,1.1,0.9,0.2
Jim Willoughby,1014047,-0.3,-0.3,0.0,0.4,0.4
John Smoltz,115,3.7,5.0,3.9,2.1,4.6
