Name,playerid,WAR25,WAR26,WAR27,WAR28
Freddy Garcia,1077,3.4,1.6,4.8,4.0
Rich DeLucia,1003185,0.8,-0.3,0.1,0.4
Dan Petry,1010246,4.2,2.9,0.4,0.1
Mel Stottlemyre,1012579,2.5,2.9,3.7,3.1
Brian Anderson,44,0.4,1.0,1.7,2.0
Chris Capuano,1701,0.4,2.2,4.0,1.9
Chad Qualls,2170,0.3,0.7,0.2,0.8
Esmil Rogers,6317,-0.3,1.1,0.1,-0.2
Tom Griffin,1005054,0.6,2.1,-0.4,0.0
Ricky Horton,1006036,0.7,1.1,-0.2,0.3
Octavio Dotel,555,0.6,0.8,3.3,2.8
Jason Schmidt,1131,2.9,3.0,0.7,3.0
Bryce Florie,1004172,0.0,0.4,0.9,1.4
Steve Stone,1012573,3.1,1.4,2.4,0.9
Pat Misch,5909,0.5,-0.1,-0.2,0.6
Masahiro Tanaka,15764,2.9,2.3,4.6,2.7
Jerry Augustine,1000365,1.7,1.0,-0.5,0.3
Danny Cox,1002695,3.2,3.1,2.2,1.0
Storm Davis,1003080,1.1,2.1,0.5,1.4
Vern Ruhle,1011297,1.8,0.5,1.3,0.4
Bobby Jones,1039,2.7,1.9,1.8,1.8
Nick Masset,7267,0.1,0.1,1.2,0.9
Frank Pastore,1010048,1.2,0.2,0.9,-0.1
John Franco,874,1.4,1.5,1.1,1.3
Brandon Backe,1529,-0.1,0.5,1.1,0.4
Brian Matusz,2646,0.9,1.0,0.2,0.5
Zack Britton,3240,0.1,1.0,2.1,2.5
Matt Albers,4300,0.1,0.6,0.1,0.1
Keith Atherton,1000348,-0.4,-0.4,0.2,0.2
Larry Christenson,1002215,1.3,1.2,1.7,4.2
Jimmy Jones,1006569,-0.1,-0.2,1.5,0.7
Joey Jay,1006373,3.6,3.4,0.8,3.4
Jerry Koosman,1007103,3.6,5.4,2.3,2.2
Curt Schilling,73,4.2,4.5,0.8,2.8
Dustin Hermanson,195,3.1,4.0,1.4,0.5
Kent Mercker,439,1.1,1.6,1.5,-0.3
Ray Lamb,1007278,-0.2,2.0,1.9,0.4
C.J. Nitkowski,570,0.2,0.5,1.0,-0.6
Sergio Romo,9817,0.5,1.1,1.2,2.0
Al Hrabosky,1006116,2.5,0.8,-0.6,0.8
Claude Osteen,1009878,3.5,4.8,3.8,1.9
Tom Seaver,1011708,8.3,9.1,5.6,7.3
Manny Delcarmen,3180,0.4,1.1,0.0,-0.6
Don Carman,1001967,1.3,1.6,1.0,1.2
Rawly Eastwick,1003648,2.3,0.3,-0.2,0.2
Jim Maloney,1008039,6.5,4.9,4.5,2.9
