Name,playerid1,1ySeason,W,L,SV,G,GS,IP,Kd9,BBd9,HRd9,BABIP,LOBp,ERA,FIP15,Age,CG,ShO,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,KdBB,AVG,WHIP,FIP33,RAR,WAR,WPA,nWPA,pWPA,RE24,REW,pLI,gmLI,exLI,Pulls,WPAdLI,Clutch,SD,MD,ERAm,FIPm,RA9WAR,BIPWins,LOBWins,FDPWins,KBBp,kwERA,TTOp,playerid58,ServiceTime,FutureWAR,prediction
Don Aase,1000003,1980,8,13,2,40,21,175.0,3.81,3.39,0.67,0.297,0.732,4.06,4.02,25,5,1,761,193,83,79,13,66,3,1,2,1,74,1.12,0.278,1.48,4.02,18.2,1.9,-0.16,-13.28,13.12,-3.99,-0.39,1.0,1.24,1.42,29,-0.12,-0.04,7,5,102,100,2.5,-0.6,1.2,0.6,0.011,4.24,0.201,1000003,1,0.7,1
Don Aase,1000003,1981,4,4,11,39,0,65.1,5.23,3.31,0.55,0.261,0.847,2.34,3.33,26,0,0,265,56,17,17,4,24,2,0,2,0,38,1.58,0.232,1.22,3.33,6.4,0.7,1.95,-4.92,6.87,13.45,1.37,1.37,1.82,3.34,7,0.94,0.49,15,8,66,89,2.1,0.2,1.2,1.4,0.053,3.44,0.249,1000003,2,0.6,1
Don Aase,1000003,1982,3,3,4,24,0,52.0,6.92,3.98,0.87,0.278,0.787,3.46,3.76,27,0,0,212,45,20,20,5,23,2,0,2,0,40,1.74,0.238,1.31,3.76,5.4,0.6,2.27,-5.21,7.47,6.15,0.6,1.9,1.85,1.75,6,0.91,0.28,9,3,85,89,1.0,0.0,0.5,0.5,0.08,3.49,0.321,1000003,3,0.8,1
Don Aase,1000003,1984,4,1,8,23,0,39.0,6.46,4.38,0.23,0.259,0.882,1.62,3.13,29,0,0,160,30,7,7,1,19,5,0,0,0,28,1.47,0.213,1.26,3.13,7.4,0.8,1.51,-4.81,6.32,7.63,0.82,2.1,1.86,3.15,6,0.74,-0.02,12,3,41,76,2.0,0.2,1.0,1.2,0.056,3.82,0.3,1000003,4,1.5,1
Don Aase,1000003,1985,10,6,14,54,0,88.0,6.85,3.58,0.61,0.3,0.678,3.78,3.28,30,0,0,366,83,44,37,6,35,7,1,0,1,67,1.91,0.252,1.34,3.28,14.3,1.5,1.26,-8.88,10.14,7.72,0.69,1.53,1.77,1.64,11,1.12,-0.3,22,11,93,80,0.3,-0.5,-0.7,-1.2,0.087,3.49,0.295,1000003,5,1.9,1
Don Aase,1000003,1986,6,7,34,66,0,81.2,7.38,3.09,0.66,0.275,0.773,2.98,3.11,31,0,0,337,71,29,27,6,28,2,0,4,0,67,2.39,0.23,1.21,3.11,18.7,1.9,0.08,-11.36,11.44,6.79,0.64,1.9,2.1,2.62,8,0.74,-0.69,32,14,73,74,2.3,0.3,0.1,0.4,0.116,3.37,0.3,1000003,6,-0.4,1
Don Aase,1000003,1988,0,0,0,35,0,46.2,5.4,7.14,0.77,0.257,0.77,4.05,5.06,33,0,0,209,40,22,21,4,37,5,0,1,0,28,0.76,0.233,1.65,5.06,-4.2,-0.4,-1.14,-3.05,1.9,-6.01,-0.63,0.62,0.81,0.98,19,-0.03,-1.8,1,7,104,127,0.1,0.3,0.3,0.5,-0.043,5.03,0.33,1000003,7,-0.3,1
Don Aase,1000003,1989,1,5,2,49,0,59.1,5.16,3.94,0.76,0.262,0.737,3.94,4.08,34,0,0,261,56,27,26,5,26,3,1,0,1,34,1.31,0.239,1.38,4.08,-2.7,-0.3,-0.4,-4.29,3.89,0.15,0.08,0.95,1.16,1.95,27,-0.6,0.18,10,8,116,116,-0.1,0.2,0.0,0.2,0.031,4.1,0.249,1000003,8,-0.4,1
Glenn Abbott,1000010,1980,12,12,0,31,31,215.0,3.27,2.05,1.13,0.269,0.702,4.1,4.38,29,7,2,903,228,110,98,27,49,4,3,1,1,78,1.59,0.268,1.29,4.38,24.6,2.5,-1.75,-15.62,13.87,-5.97,-0.49,0.9,0.88,1.15,24,-0.45,-1.49,0,0,98,101,2.6,0.8,-0.7,0.1,0.032,3.98,0.171,1000010,1,1.4,1
Glenn Abbott,1000010,1981,4,9,0,22,20,130.1,2.42,1.93,0.97,0.249,0.672,3.94,4.1,30,1,0,530,127,64,57,14,28,1,0,1,0,35,1.25,0.253,1.19,4.1,12.7,1.4,-1.1,-9.5,8.39,-1.55,-0.15,0.91,0.8,1.46,20,0.07,-1.28,0,0,104,104,1.0,0.8,-1.2,-0.3,0.013,3.92,0.145,1000010,2,1.8,1
