Name,Playerid,WAR1,WAR2,WAR3,WAR4,WAR5
Tom Seaver,1011708,3.3,5.8,4.4,8.3,9.1
Bert Blyleven,1001098,3.6,7.5,5.9,10.8,8.5
Bob Veale,1013391,1,1.4,6.5,8,5.3
Brandon Webb,1692,4.3,2.6,4.8,6.5,6.2
Fergie Jenkins,1006388,1.8,4.5,6.3,8.2,9.5
Roger Clemens,815,3.4,2.3,7.1,8.4,9.2
Justin Verlander,8700,2.8,3.7,3.2,8.5,6.6
Ben Sheets,710,1.3,3.8,3.8,8,3.7
Kevin Appier,3,3.2,4.7,4.8,6.8,4
Josh Johnson,4567,2.6,2,5.6,6.1,1.7
Jon Matlack,1008246,0.5,4.9,4.7,7.5,4.4
Fritz Peterson,1010227,3.5,2.8,3.6,6.8,4.4
