Name,playerid,WAR25,WAR26,WAR27,WAR28,Diff,WAR29
Kevin Appier,3,6.8,4,5.3,6.3,-1.1,5.2
CC Sabathia,404,5,6.4,7.4,5.8,-0.3,5.5
Roy Oswalt,571,2.6,6.5,6.1,6.1,-1.2,4.9
Johan Santana,755,6.8,7.1,6.7,4,1.3,5.3
Mike Mussina,837,3.4,5.1,5.3,5.4,-0.3,5.1
Tim Hudson,921,5.1,4.7,5.8,4.6,-2.8,1.8
Brandon Webb,1692,2.6,4.8,6.5,6.2,-0.8,5.4
Dan Haren,1757,3.8,4.7,6.1,5.3,-1.7,3.6
Don Drysdale,1003516,6.5,5.8,6.9,3.4,0.7,4.1
Bob Gibson,1004662,3.9,6,4.4,5.8,-0.7,5.1
Jim Kaat,1006660,4.7,4.3,6.4,6.4,-2.5,3.9
Mark Langston,1007323,4.1,6.4,4,4.8,-0.2,4.6
Dennis Leonard,1007531,3.8,7.9,4.7,2.5,1,3.5
Jack McDowell,1008473,5.2,4.8,5.2,4.9,-1.4,3.5
Sam McDowell,1008476,6.8,9.4,7.6,1.4,0.2,1.6
Rick Reuschel,1010852,4.7,4.7,4.8,6.5,-2,4.5
Steve Rogers,1011138,4.2,4.8,7,3.7,0.5,4.2
Nolan Ryan,1011348,5.4,8.7,6.8,2.4,2.9,5.3
Chris Short,1011931,3.4,5.6,6.5,3.3,0.1,3.4
Don Sutton,1012745,1.9,7.1,6.8,6,-1.3,4.7
